road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.683333333333334,31.951905165114308,-0.7833333333333333,Blue,2024-10-02T05:00:29.830548,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.366666666666666,22.589528795811518,-0.6166666666666667,Blue,2024-10-02T05:00:29.948925,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.916666666666668,36.85857740585774,0.016666666666666666,Blue,2024-10-02T05:00:30.066351,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.95,85.42300884955753,-1.3,Blue,2024-10-02T05:00:30.187660,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,15.316666666666666,68.52143634385202,3.033333333333333,Orange,2024-10-02T05:00:30.291990,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.85,42.26493506493507,-0.25,Blue,2024-10-02T05:00:30.391515,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.116666666666667,48.15139607032057,-0.35,Blue,2024-10-02T05:00:30.474818,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.816666666666666,94.38560179977503,-0.36666666666666664,Blue,2024-10-02T05:00:30.526272,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.083333333333333,54.9172602739726,-0.2833333333333333,Blue,2024-10-02T05:00:30.634698,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.35,51.26873857404022,-4.016666666666667,Blue,2024-10-02T05:00:30.727165,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.433333333333334,44.001413427561836,-0.16666666666666666,Blue,2024-10-02T05:00:30.796797,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.383333333333333,63.503367496339685,-1.2666666666666666,Blue,2024-10-02T05:00:30.886709,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7333333333333334,44.517073170731706,-0.31666666666666665,Blue,2024-10-02T05:00:30.957244,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.383333333333333,46.67518959913326,-1.95,Blue,2024-10-02T05:00:31.041758,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.883333333333333,43.767354596622894,-0.7166666666666667,Blue,2024-10-02T05:00:31.128252,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.266666666666667,41.78515283842794,0.31666666666666665,Blue,2024-10-02T05:00:31.204193,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
