road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.6,32.08775510204081,-0.8666666666666667,Blue,2024-10-02T06:00:30.282567,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.85,24.584615384615386,-1.1333333333333333,Blue,2024-10-02T06:00:30.392830,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.433333333333334,37.77530017152658,-0.4666666666666667,Blue,2024-10-02T06:00:30.488599,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.316666666666666,83.61424446583254,-0.9333333333333333,Blue,2024-10-02T06:00:30.613530,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.116666666666667,94.4095952023988,-1.1666666666666667,Blue,2024-10-02T06:00:30.730462,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.8666666666666667,42.08275862068966,-0.23333333333333334,Blue,2024-10-02T06:00:30.830626,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.183333333333334,47.95303810504634,-0.2833333333333333,Blue,2024-10-02T06:00:30.929356,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.5,90.22451612903225,0.31666666666666665,Blue,2024-10-02T06:00:30.980649,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,5.883333333333334,56.7841359773371,-0.48333333333333334,Blue,2024-10-02T06:00:31.073214,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.283333333333335,51.39401343921808,-4.083333333333333,Blue,2024-10-02T06:00:31.173720,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.633333333333333,43.08788927335641,0.03333333333333333,Blue,2024-10-02T06:00:31.279502,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.616666666666667,62.22783357245337,-1.0333333333333334,Blue,2024-10-02T06:00:31.367128,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.716666666666667,44.790184049079755,-0.3333333333333333,Blue,2024-10-02T06:00:31.443403,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.9,42.48639053254439,-0.43333333333333335,Blue,2024-10-02T06:00:31.529169,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.15,42.49180327868853,-0.45,Blue,2024-10-02T06:00:31.614063,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.75,43.24881355932204,-0.2,Blue,2024-10-02T06:00:31.688804,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.55,41.06294820717132,-0.55,Blue,2024-10-02T06:00:31.767738,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,14.233333333333333,41.13864168618267,-0.13333333333333333,Blue,2024-10-02T06:00:31.852828,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.583333333333334,43.45381294964028,0.2833333333333333,Blue,2024-10-02T06:00:31.933464,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.8,54.757627118644066,-1.85,Blue,2024-10-02T06:00:32.045793,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
