road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.883333333333333,31.630511316010054,-0.5833333333333334,Blue,2024-10-02T07:00:29.758199,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.0,23.969999999999995,-0.9833333333333333,Blue,2024-10-02T07:00:29.874604,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.1,38.43455497382198,-0.8,Blue,2024-10-02T07:00:29.984289,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.283333333333335,83.775506268081,-0.9666666666666667,Blue,2024-10-02T07:00:30.103851,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.65,90.08755364806866,-0.6333333333333333,Blue,2024-10-02T07:00:30.234051,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.8,42.82105263157896,-0.3,Blue,2024-10-02T07:00:30.335208,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.066666666666666,48.301244813278004,-0.4,Blue,2024-10-02T07:00:30.435916,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.05,92.92225913621262,-0.13333333333333333,Blue,2024-10-02T07:00:30.504046,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.416666666666667,52.06441558441558,0.05,Blue,2024-10-02T07:00:30.606139,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,28.4,49.37323943661972,-2.966666666666667,Blue,2024-10-02T07:00:30.698289,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.683333333333334,42.86540447504303,0.08333333333333333,Blue,2024-10-02T07:00:30.809110,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.533333333333333,62.67745664739885,-1.1166666666666667,Blue,2024-10-02T07:00:30.921357,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.816666666666667,43.199999999999996,-0.23333333333333334,Blue,2024-10-02T07:00:31.020457,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,21.766666666666666,32.98713629402757,4.433333333333334,Orange,2024-10-02T07:00:31.123013,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.316666666666666,41.731663685152064,-0.2833333333333333,Blue,2024-10-02T07:00:31.248252,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.45,44.14671280276817,-0.5,Blue,2024-10-02T07:00:31.336675,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.8,40.2609375,-0.3,Blue,2024-10-02T07:00:31.411648,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.474,15.45,60.09320388349514,0.43333333333333335,Blue,2024-10-02T07:00:31.489644,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.816666666666666,42.59576868829337,0.5166666666666667,Blue,2024-10-02T07:00:31.571945,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.966666666666667,53.994986072423394,-1.6833333333333333,Blue,2024-10-02T07:00:31.665485,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.366666666666667,48.77960954446855,-1.5166666666666666,Blue,2024-10-02T07:00:31.763319,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,13.85,66.48519855595667,0.5333333333333333,Blue,2024-10-02T07:00:31.864420,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.033333333333333,44.24900662251656,0.2,Blue,2024-10-02T07:00:31.945653,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.283333333333333,43.30341113105924,-0.2833333333333333,Blue,2024-10-02T07:00:32.028167,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-10-02T07:00:32.122241,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.533333333333333,72.50625,-0.3,Blue,2024-10-02T07:00:32.233950,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.183333333333334,68.84322845417236,-1.4666666666666666,Blue,2024-10-02T07:00:32.306336,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.916666666666667,72.06101694915255,-0.3333333333333333,Blue,2024-10-02T07:00:32.386764,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,45.0,73.336,4.716666666666667,Yellow,2024-10-02T07:00:32.564848,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.4,80.77435897435898,-2.2666666666666666,Blue,2024-10-02T07:00:32.663719,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.183333333333334,90.21151586368977,-0.4,Blue,2024-10-02T07:00:32.737294,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.0,72.46615384615384,-1.5333333333333334,Blue,2024-10-02T07:00:32.822427,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.433333333333334,85.27588932806323,-0.05,Blue,2024-10-02T07:00:32.921802,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.2,43.34634146341464,-0.7333333333333333,Blue,2024-10-02T07:00:33.001675,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.4166666666666665,37.65073170731708,0.23333333333333334,Yellow,2024-10-02T07:00:33.083964,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,11.183333333333334,102.54366616989567,-0.65,Blue,2024-10-02T07:00:33.163491,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,17.1,68.2421052631579,1.4833333333333334,Yellow,2024-10-02T07:00:33.242796,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,8.683333333333334,17.86180422264875,4.333333333333333,Red,2024-10-02T07:00:33.345188,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.85,65.21556420233463,-0.7166666666666667,Blue,2024-10-02T07:00:33.427250,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,12.816666666666666,84.25123537061118,-1.15,Blue,2024-10-02T07:00:33.530337,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,14.433333333333334,32.79907621247113,3.7666666666666666,Orange,2024-10-02T07:00:33.607868,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,8.816666666666666,74.9671077504726,0.6666666666666666,Yellow,2024-10-02T07:00:33.684437,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.3,103.93805309734512,-0.85,Blue,2024-10-02T07:00:33.739682,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,6.933333333333334,65.93365384615385,-0.6,Blue,2024-10-02T07:00:33.820814,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,10.5,63.16000000000001,-0.1,Blue,2024-10-02T07:00:33.897135,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,15.566,17.683333333333334,52.815834118755895,4.1,Orange,2024-10-02T07:00:34.002481,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
