road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.4,32.41855670103093,-1.0666666666666667,Blue,2024-10-02T08:00:30.360195,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.0,23.969999999999995,-0.9833333333333333,Blue,2024-10-02T08:00:30.471620,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.983333333333334,38.670763827919224,-0.9166666666666666,Blue,2024-10-02T08:00:30.582095,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.783333333333335,81.42005623242736,-0.4666666666666667,Blue,2024-10-02T08:00:30.689384,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.316666666666666,92.74108983799705,-0.9666666666666667,Blue,2024-10-02T08:00:30.804532,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.75,34.25684210526316,0.65,Yellow,2024-10-02T08:00:30.913813,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.35,47.46422018348623,-0.11666666666666667,Blue,2024-10-02T08:00:30.993626,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.35,97.45505226480836,-0.8333333333333334,Blue,2024-10-02T08:00:31.064351,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.15,54.32195121951219,-0.21666666666666667,Blue,2024-10-02T08:00:31.165419,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.7,50.62093862815885,-3.6666666666666665,Blue,2024-10-02T08:00:31.285162,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.816666666666666,42.283191850594235,0.21666666666666667,Blue,2024-10-02T08:00:31.375792,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.6,62.317241379310346,-1.05,Blue,2024-10-02T08:00:31.473095,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7666666666666666,43.980722891566266,-0.2833333333333333,Blue,2024-10-02T08:00:31.585107,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,20.4,35.19705882352942,3.066666666666667,Yellow,2024-10-02T08:00:31.739902,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.3,41.80645161290323,-0.3,Blue,2024-10-02T08:00:31.831746,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.066666666666666,45.34976303317536,-0.8833333333333333,Blue,2024-10-02T08:00:31.917543,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.65,40.73833992094862,-0.45,Blue,2024-10-02T08:00:32.007044,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,14.648,15.65,56.158466453674116,0.6666666666666666,Blue,2024-10-02T08:00:32.091561,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.1,41.598347107438016,0.8,Yellow,2024-10-02T08:00:32.210293,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
