road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.8,30.23653846153846,0.3333333333333333,Blue,2024-10-02T09:00:29.600929,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.166666666666667,23.322162162162158,-0.8166666666666667,Blue,2024-10-02T09:00:29.709702,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.233333333333334,38.16811091854419,-0.6666666666666666,Blue,2024-10-02T09:00:29.825504,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.4,83.21379310344828,-0.85,Blue,2024-10-02T09:00:29.938391,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.5,91.26260869565218,-0.7833333333333333,Blue,2024-10-02T09:00:30.042621,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.416666666666667,36.8422641509434,0.31666666666666665,Yellow,2024-10-02T09:00:30.139268,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.35,47.46422018348623,-0.11666666666666667,Blue,2024-10-02T09:00:30.237866,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.233333333333333,98.25386416861828,-0.95,Blue,2024-10-02T09:00:30.309857,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.033333333333333,55.37237569060773,-0.3333333333333333,Blue,2024-10-02T09:00:30.427509,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,29.0,48.351724137931036,-2.3666666666666667,Blue,2024-10-02T09:00:30.517903,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.666666666666666,42.93931034482759,0.06666666666666667,Blue,2024-10-02T09:00:30.612735,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.416666666666666,63.31795620437956,-1.2333333333333334,Blue,2024-10-02T09:00:30.694291,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.6666666666666665,45.63,-0.38333333333333336,Blue,2024-10-02T09:00:30.790214,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,19.966666666666665,35.96093489148581,2.6333333333333333,Yellow,2024-10-02T09:00:30.900327,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,10.4,37.38461538461539,0.8,Yellow,2024-10-02T09:00:30.982736,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.316666666666666,44.557857974388824,-0.6333333333333333,Blue,2024-10-02T09:00:31.062219,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.583333333333334,40.954172185430465,-0.5166666666666667,Blue,2024-10-02T09:00:31.147105,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,14.648,14.816666666666666,59.316985376827894,-0.16666666666666666,Blue,2024-10-02T09:00:31.237742,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
