road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.1,29.806635071090046,0.6333333333333333,Blue,2024-09-22T18:00:30.129180,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.95,24.17142857142857,-1.0333333333333334,Blue,2024-09-22T18:00:30.258433,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.233333333333334,38.16811091854419,-0.6666666666666666,Blue,2024-09-22T18:00:30.379657,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,19.0,76.20631578947369,0.75,Blue,2024-09-22T18:00:30.488185,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,24.333333333333332,43.13095890410959,12.05,Red,2024-09-22T18:00:30.584245,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.433333333333334,36.70375939849624,0.3333333333333333,Yellow,2024-09-22T18:00:30.682290,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.216666666666665,47.85447070914697,-0.25,Blue,2024-09-22T18:00:30.786015,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,16.683333333333334,83.82497502497502,1.5,Yellow,2024-09-22T18:00:30.852108,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,8.279,6.883333333333334,72.16561743341404,-0.03333333333333333,Blue,2024-09-22T18:00:30.952264,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.546,31.4,66.01146496815286,-3.75,Blue,2024-09-22T18:00:31.046161,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.883333333333333,41.997976391231035,0.2833333333333333,Blue,2024-09-22T18:00:31.138980,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.25,59.01061224489796,-0.4,Blue,2024-09-22T18:00:31.247680,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.966666666666667,41.01573033707865,-0.08333333333333333,Blue,2024-09-22T18:00:31.340705,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,20.583333333333332,34.883562753036436,3.25,Yellow,2024-09-22T18:00:31.448975,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.683333333333334,40.15146299483649,0.08333333333333333,Blue,2024-09-22T18:00:31.535683,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.533333333333333,43.893577981651376,-0.4166666666666667,Blue,2024-09-22T18:00:31.609838,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.0,39.64153846153846,-0.1,Blue,2024-09-22T18:00:31.702585,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.85,45.56731517509728,-1.5166666666666666,Blue,2024-09-22T18:00:31.779352,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.05,41.77095435684647,0.75,Yellow,2024-09-22T18:00:31.857718,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.8,50.4796875,-0.85,Blue,2024-09-22T18:00:31.940825,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.05,46.702803738317755,-0.8333333333333334,Blue,2024-09-22T18:00:32.021462,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.85,77.70632911392406,-1.4666666666666666,Blue,2024-09-22T18:00:32.099572,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.716666666666667,47.21978798586572,-0.11666666666666667,Blue,2024-09-22T18:00:32.201838,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.916666666666666,45.084112149532714,-0.65,Blue,2024-09-22T18:00:32.319836,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-22T18:00:32.412905,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.55,72.36491228070174,-0.2833333333333333,Blue,2024-09-22T18:00:32.496563,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.283333333333333,63.14228356336261,-0.36666666666666664,Blue,2024-09-22T18:00:32.572870,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.316666666666666,66.63949843260188,0.06666666666666667,Blue,2024-09-22T18:00:32.651611,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,63.457,65.85,57.819589977220964,16.716666666666665,Orange,2024-09-22T18:00:33.063147,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,24.783333333333335,76.26577000672495,-0.8833333333333333,Blue,2024-09-22T18:00:33.178947,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.3,89.47552447552447,-0.2833333333333333,Blue,2024-09-22T18:00:33.280563,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
