road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.216666666666665,31.108985985160757,-0.25,Blue,2024-09-22T19:00:30.279392,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.95,24.17142857142857,-1.0333333333333334,Blue,2024-09-22T19:00:30.386848,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.35,37.93798449612403,-0.55,Blue,2024-09-22T19:00:30.520199,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.142,21.433333333333334,67.58258164852255,2.8666666666666667,Yellow,2024-09-22T19:00:30.632146,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,13.0,80.7323076923077,0.7166666666666667,Yellow,2024-09-22T19:00:30.719300,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.25,38.287058823529414,0.15,Blue,2024-09-22T19:00:30.810131,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.183333333333334,47.95303810504634,-0.2833333333333333,Blue,2024-09-22T19:00:30.920882,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,21.783333333333335,64.19954093343534,6.6,Orange,2024-09-22T19:00:30.998931,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.366666666666666,52.47329842931937,0.0,Blue,2024-09-22T19:00:31.097913,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.546,31.766666666666666,65.2495278069255,-3.3833333333333333,Blue,2024-09-22T19:00:31.198595,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.616666666666667,43.162564991334484,0.016666666666666666,Blue,2024-09-22T19:00:31.313491,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.633333333333333,62.13868194842407,-1.0166666666666666,Blue,2024-09-22T19:00:31.397797,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.9833333333333334,40.78659217877095,-0.06666666666666667,Blue,2024-09-22T19:00:31.477409,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,17.033333333333335,42.15381604696673,-0.3,Blue,2024-09-22T19:00:31.563933,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.016666666666667,43.12014787430684,-0.5833333333333334,Blue,2024-09-22T19:00:31.642245,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.516666666666667,43.94397244546498,-0.43333333333333335,Blue,2024-09-22T19:00:31.721477,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.483333333333333,41.28224299065421,-0.6166666666666667,Blue,2024-09-22T19:00:31.794452,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.583333333333334,46.532980132450334,-1.7833333333333334,Blue,2024-09-22T19:00:31.888178,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.766666666666667,42.77677053824362,0.4666666666666667,Blue,2024-09-22T19:00:31.968912,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.55,51.485258964143426,-1.1,Blue,2024-09-22T19:00:32.048764,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.066666666666666,46.65435684647303,-0.8166666666666667,Blue,2024-09-22T19:00:32.134482,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
