road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.416666666666668,34.149502262443434,-2.05,Blue,2024-09-22T23:00:30.051998,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.8,24.79655172413793,-1.1833333333333333,Blue,2024-09-22T23:00:30.146916,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.35,37.93798449612403,-0.55,Blue,2024-09-22T23:00:30.240971,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,20.2,71.67920792079208,1.95,Yellow,2024-09-22T23:00:30.347793,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.633333333333333,83.0754617414248,0.35,Blue,2024-09-22T23:00:30.443027,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.566666666666667,45.62242990654206,-0.5333333333333333,Blue,2024-09-22T23:00:30.525384,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.066666666666666,48.301244813278004,-0.4,Blue,2024-09-22T23:00:30.624563,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,16.65,83.9927927927928,1.4666666666666666,Yellow,2024-09-22T23:00:30.682974,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.533333333333333,51.13469387755102,0.16666666666666666,Blue,2024-09-22T23:00:30.766764,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,7.916666666666667,49.164631578947365,-1.3,Blue,2024-09-22T23:00:30.855353,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.4,44.157446808510635,-0.2,Blue,2024-09-22T23:00:30.928376,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.283333333333333,64.06617429837519,-1.3666666666666667,Blue,2024-09-22T23:00:31.002140,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.85,42.694736842105264,-0.2,Blue,2024-09-22T23:00:31.079052,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,14.666666666666666,48.955909090909095,-2.6666666666666665,Blue,2024-09-22T23:00:31.150327,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.45,46.011834319526635,-1.15,Blue,2024-09-22T23:00:31.239561,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.95,42.670234113712375,0.0,Blue,2024-09-22T23:00:31.310075,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.283333333333333,38.79598494353827,0.18333333333333332,Blue,2024-09-22T23:00:31.399876,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.733333333333333,45.98481675392671,-1.6333333333333333,Blue,2024-09-22T23:00:31.473097,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.65,43.205150214592265,0.35,Blue,2024-09-22T23:00:31.545939,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.083333333333334,53.47365517241379,-1.5666666666666667,Blue,2024-09-22T23:00:31.618235,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.033333333333335,46.751351351351346,-0.85,Blue,2024-09-22T23:00:31.692371,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.416666666666666,74.16,-0.9,Blue,2024-09-22T23:00:31.759581,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.483333333333333,49.67732342007435,-0.35,Blue,2024-09-22T23:00:31.832680,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.683333333333334,46.29558541266795,-0.8833333333333333,Blue,2024-09-22T23:00:31.896842,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-22T23:00:31.974192,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.916666666666666,69.38915887850467,0.08333333333333333,Blue,2024-09-22T23:00:32.068740,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,14.15,59.27491166077738,0.5,Blue,2024-09-22T23:00:32.133187,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.183333333333334,68.35369774919614,-0.06666666666666667,Blue,2024-09-22T23:00:32.198956,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,56.705,48.15,70.66043613707166,1.3166666666666667,Blue,2024-09-22T23:00:32.412591,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.4,80.77435897435898,-2.2666666666666666,Blue,2024-09-22T23:00:32.489884,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.216666666666667,89.99999999999999,-0.36666666666666664,Blue,2024-09-22T23:00:32.575142,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,29.933333333333334,62.94387527839644,2.4,Yellow,2024-09-22T23:00:32.661838,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.733333333333333,82.34656488549619,0.25,Blue,2024-09-22T23:00:32.746014,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.283333333333333,42.910261569416505,-0.65,Blue,2024-09-22T23:00:32.817900,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.05,42.17704918032788,-0.13333333333333333,Blue,2024-09-22T23:00:32.906481,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,11.183333333333334,102.54366616989567,-0.65,Blue,2024-09-22T23:00:32.973811,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,14.6,79.92739726027398,-1.0166666666666666,Blue,2024-09-22T23:00:33.064811,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,3.7333333333333334,41.54464285714286,-0.6166666666666667,Blue,2024-09-22T23:00:33.131606,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,13.266666666666667,63.16733668341708,-0.3,Blue,2024-09-22T23:00:33.207053,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,14.333333333333334,75.33627906976744,0.36666666666666664,Blue,2024-09-22T23:00:33.275053,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,16.15,29.31269349845201,5.483333333333333,Red,2024-09-22T23:00:33.341577,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,8.166666666666666,80.93387755102042,0.016666666666666666,Blue,2024-09-22T23:00:33.411375,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.55,101.68831168831169,-0.6,Blue,2024-09-22T23:00:33.457736,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,7.716666666666667,59.24060475161986,0.18333333333333332,Blue,2024-09-22T23:00:33.547249,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,10.466666666666667,63.36114649681529,-0.13333333333333333,Blue,2024-09-22T23:00:33.618212,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,16.756,20.2,49.770297029702974,4.0,Orange,2024-09-22T23:00:33.776726,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,9.516666666666667,73.68966725043782,-0.45,Blue,2024-09-22T23:00:33.848744,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.366666666666667,37.45372050816697,-0.31666666666666665,Blue,2024-09-22T23:00:33.930176,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,11.066666666666666,71.42530120481928,0.38333333333333336,Blue,2024-09-22T23:00:33.994978,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,11.895,17.033333333333335,41.90019569471624,6.083333333333333,Red,2024-09-22T23:00:34.062129,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.6,39.98333333333333,-0.11666666666666667,Blue,2024-09-22T23:00:34.147098,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.745,31.65,33.639810426540286,13.183333333333334,Red,2024-09-22T23:00:34.294441,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.602,21.816666666666666,34.65790679908327,8.7,Red,2024-09-22T23:00:34.428106,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
East Ring Road,2.072,4.616666666666666,26.92851985559567,-0.7666666666666667,Blue,2024-09-22T23:00:34.506341,"(24.6280957, 46.7049403)","(24.6217419, 46.716629)"
Western Ring Rd,31.578,29.316666666666666,64.62808413871518,6.166666666666667,Orange,2024-09-22T23:00:34.676400,"(24.7396285, 46.6461567)","(24.5622416, 46.5102615)"
Western Ring Rd,6.121,8.166666666666666,44.970612244897964,-1.2833333333333334,Blue,2024-09-22T23:00:34.743866,"(24.5622416, 46.5102615)","(24.5537007, 46.5576904)"
شارع المدينة المنورة,16.691,14.316666666666666,69.95064027939465,-2.033333333333333,Blue,2024-09-22T23:00:34.820303,"(24.6637137, 46.7962236)","(24.5854047, 46.71030630000001)"
