road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.583333333333332,32.11506382978723,-0.8833333333333333,Blue,2024-09-23T03:00:30.331044,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.783333333333333,24.868011527377522,-1.2,Blue,2024-09-23T03:00:30.453159,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.983333333333334,38.670763827919224,-0.9166666666666666,Blue,2024-09-23T03:00:30.545062,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.233333333333334,89.19425051334703,-2.0166666666666666,Blue,2024-09-23T03:00:30.638193,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.416666666666666,100.75392000000001,-1.8666666666666667,Blue,2024-09-23T03:00:30.707465,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.533333333333333,35.89411764705883,0.43333333333333335,Yellow,2024-09-23T03:00:30.792706,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.916666666666666,48.75643979057591,-0.55,Blue,2024-09-23T03:00:30.872620,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.133333333333333,98.94905660377358,-1.05,Blue,2024-09-23T03:00:30.929139,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,5.766666666666667,57.93294797687861,-0.6,Blue,2024-09-23T03:00:31.013586,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,29.723,30.866666666666667,57.77688984881209,-4.6,Blue,2024-09-23T03:00:31.137150,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.366666666666667,44.31459074733096,-0.23333333333333334,Blue,2024-09-23T03:00:31.208576,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.1,65.12432432432432,-1.55,Blue,2024-09-23T03:00:31.284255,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.783333333333333,43.71736526946108,-0.26666666666666666,Blue,2024-09-23T03:00:31.354403,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.5,46.32387096774193,-1.8333333333333333,Blue,2024-09-23T03:00:31.427235,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.133333333333333,42.56934306569344,-0.4666666666666667,Blue,2024-09-23T03:00:31.512310,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.966666666666667,42.62271714922049,0.016666666666666666,Blue,2024-09-23T03:00:31.579323,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.033333333333333,39.54015345268542,-0.06666666666666667,Blue,2024-09-23T03:00:31.658768,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.383333333333333,47.28452220726784,-1.9833333333333334,Blue,2024-09-23T03:00:31.742346,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.733333333333333,46.895031055900624,-0.5666666666666667,Blue,2024-09-23T03:00:31.812788,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.116666666666667,53.32654745529573,-1.5333333333333334,Blue,2024-09-23T03:00:31.890138,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.15,46.413622291021674,-0.7333333333333333,Blue,2024-09-23T03:00:31.961661,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.9,77.3798319327731,-1.4166666666666667,Blue,2024-09-23T03:00:32.031058,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.566666666666666,48.77080291970804,-0.26666666666666666,Blue,2024-09-23T03:00:32.123508,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.066666666666666,44.338235294117645,-0.5,Blue,2024-09-23T03:00:32.211584,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-23T03:00:32.292942,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.066666666666666,76.70082644628098,-0.7666666666666667,Blue,2024-09-23T03:00:32.372144,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.083333333333334,69.41296551724137,-1.5666666666666667,Blue,2024-09-23T03:00:32.434200,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
