road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.15,32.84177545691906,-1.3166666666666667,Blue,2024-09-23T04:00:30.271178,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.966666666666667,24.103910614525137,-1.0166666666666666,Blue,2024-09-23T04:00:30.370559,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.1,38.43455497382198,-0.8,Blue,2024-09-23T04:00:30.471795,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.416666666666668,88.19817258883248,-1.8333333333333333,Blue,2024-09-23T04:00:30.571997,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.35,101.40289855072466,-1.9333333333333333,Blue,2024-09-23T04:00:30.652932,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.683333333333333,44.177375565610866,-0.4166666666666667,Blue,2024-09-23T04:00:30.754502,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.216666666666665,47.85447070914697,-0.25,Blue,2024-09-23T04:00:30.846096,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.1,99.18297872340426,-1.0833333333333333,Blue,2024-09-23T04:00:30.897519,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,5.85,57.10769230769231,-0.5166666666666667,Blue,2024-09-23T04:00:30.987512,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,30.933333333333334,67.12370689655172,-3.5,Blue,2024-09-23T04:00:31.088791,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.416666666666666,44.07929203539823,-0.18333333333333332,Blue,2024-09-23T04:00:31.171658,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.416666666666666,63.31795620437956,-1.2333333333333334,Blue,2024-09-23T04:00:31.264700,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
