road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.15,34.651239669421486,-2.316666666666667,Blue,2024-09-23T05:00:29.551705,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.833333333333333,24.65485714285714,-1.15,Blue,2024-09-23T05:00:29.653513,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.95,38.73878627968338,-0.95,Blue,2024-09-23T05:00:29.747350,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.483333333333334,87.84145601617796,-1.7666666666666666,Blue,2024-09-23T05:00:29.860055,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.566666666666666,99.3236593059937,-1.7166666666666666,Blue,2024-09-23T05:00:29.960745,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.4833333333333334,46.713875598086126,-0.6166666666666667,Blue,2024-09-23T05:00:30.045474,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.95,48.654545454545456,-0.5166666666666667,Blue,2024-09-23T05:00:30.133737,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.233333333333333,98.25386416861828,-0.95,Blue,2024-09-23T05:00:30.191644,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,5.85,57.10769230769231,-0.5166666666666667,Blue,2024-09-23T05:00:30.294430,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,30.55,67.96595744680852,-3.8833333333333333,Blue,2024-09-23T05:00:30.415282,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.383333333333333,44.23587921847247,-0.21666666666666667,Blue,2024-09-23T05:00:30.515661,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.283333333333333,63.329659643435974,-1.1833333333333333,Blue,2024-09-23T05:00:30.618290,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7666666666666666,43.980722891566266,-0.2833333333333333,Blue,2024-09-23T05:00:30.699163,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.166666666666666,47.34197802197803,-2.1666666666666665,Blue,2024-09-23T05:00:30.796759,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.933333333333334,43.52238805970149,-0.6666666666666666,Blue,2024-09-23T05:00:30.872849,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.016666666666667,42.48079911209767,0.06666666666666667,Blue,2024-09-23T05:00:30.945537,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.383333333333333,41.61561238223419,-0.7166666666666667,Blue,2024-09-23T05:00:31.013253,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.283333333333333,47.66947082767978,-2.0833333333333335,Blue,2024-09-23T05:00:31.089187,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.65,47.26197183098591,-0.65,Blue,2024-09-23T05:00:31.167817,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.033333333333333,53.69584487534627,-1.6166666666666667,Blue,2024-09-23T05:00:31.247630,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.133333333333333,46.461570247933885,-0.75,Blue,2024-09-23T05:00:31.331476,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.066666666666666,76.31104972375691,-1.25,Blue,2024-09-23T05:00:31.411118,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
