road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.75,33.5424,-1.7166666666666666,Blue,2024-09-23T06:00:30.230489,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.95,24.17142857142857,-1.0333333333333334,Blue,2024-09-23T06:00:30.332337,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.05,38.53543307086614,-0.85,Blue,2024-09-23T06:00:30.444882,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.566666666666666,87.39959758551309,-1.6833333333333333,Blue,2024-09-23T06:00:30.552279,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.766666666666667,97.47863777089783,-1.5166666666666666,Blue,2024-09-23T06:00:30.644926,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.9833333333333334,40.850209205020924,-0.11666666666666667,Blue,2024-09-23T06:00:30.736910,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.016666666666666,48.452029136316334,-0.45,Blue,2024-09-23T06:00:30.822591,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.616666666666667,95.67708095781072,-0.5666666666666667,Blue,2024-09-23T06:00:30.867557,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.016666666666667,55.52576177285319,-0.35,Blue,2024-09-23T06:00:30.953380,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,30.983333333333334,67.01538461538462,-3.45,Blue,2024-09-23T06:00:31.076966,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.316666666666666,44.552415026833636,-0.2833333333333333,Blue,2024-09-23T06:00:31.171537,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
