road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.516666666666666,33.965076507650764,-1.95,Blue,2024-09-23T08:00:30.157409,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.966666666666667,24.103910614525137,-1.0166666666666666,Blue,2024-09-23T08:00:30.283312,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.016666666666666,38.60297984224365,-0.8833333333333333,Blue,2024-09-23T08:00:30.379358,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.116666666666667,84.59123661148978,-1.1333333333333333,Blue,2024-09-23T08:00:30.513534,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.883333333333333,96.43369065849924,-1.4,Blue,2024-09-23T08:00:30.614081,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.7666666666666666,43.2,-0.3333333333333333,Blue,2024-09-23T08:00:30.701917,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.416666666666668,47.27147208121826,-0.05,Blue,2024-09-23T08:00:30.781605,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.383333333333333,97.22920046349942,-0.8,Blue,2024-09-23T08:00:30.852163,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.283333333333333,53.169230769230765,-0.08333333333333333,Blue,2024-09-23T08:00:30.943249,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,7.916666666666667,49.164631578947365,-1.3,Blue,2024-09-23T08:00:31.071171,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,10.05,41.30149253731343,0.45,Blue,2024-09-23T08:00:31.146446,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.45,62.31961722488038,-1.0166666666666666,Blue,2024-09-23T08:00:31.241843,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.683333333333333,45.34658385093168,-0.36666666666666664,Blue,2024-09-23T08:00:31.324437,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.45,43.64863221884499,-0.8833333333333333,Blue,2024-09-23T08:00:31.416384,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.933333333333334,43.52238805970149,-0.6666666666666666,Blue,2024-09-23T08:00:31.497862,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.55,43.84329896907216,-0.4,Blue,2024-09-23T08:00:31.591190,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.666666666666666,40.684736842105266,-0.43333333333333335,Blue,2024-09-23T08:00:31.663242,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,14.15,41.380918727915194,-0.21666666666666667,Blue,2024-09-23T08:00:31.740667,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.566666666666666,47.63470031545741,-0.7333333333333333,Blue,2024-09-23T08:00:31.819930,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.15,53.18024691358024,-1.5,Blue,2024-09-23T08:00:31.906527,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.9,47.14339622641509,-0.9833333333333333,Blue,2024-09-23T08:00:31.989414,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.033333333333333,76.5224376731302,-1.2833333333333334,Blue,2024-09-23T08:00:32.087413,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.716666666666667,47.21978798586572,-0.11666666666666667,Blue,2024-09-23T08:00:32.171595,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.95,44.916201117318444,-0.6166666666666667,Blue,2024-09-23T08:00:32.258398,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-23T08:00:32.448429,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.766666666666667,70.57642585551329,-0.06666666666666667,Blue,2024-09-23T08:00:32.538295,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.483333333333333,67.18878504672897,-1.1666666666666667,Blue,2024-09-23T08:00:32.601252,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
