road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.983333333333334,29.972359015091342,0.5166666666666667,Blue,2024-09-23T14:00:30.387917,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.166666666666667,23.322162162162158,-0.8166666666666667,Blue,2024-09-23T14:00:30.505045,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.066666666666666,38.50174825174825,-0.8333333333333334,Blue,2024-09-23T14:00:30.636643,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,20.766666666666666,69.72327447833067,2.5166666666666666,Yellow,2024-09-23T14:00:30.741577,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.966666666666667,87.70362116991643,-0.31666666666666665,Blue,2024-09-23T14:00:30.846022,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.9,41.723076923076924,-0.2,Blue,2024-09-23T14:00:30.944317,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.133333333333333,48.10165289256198,-0.3333333333333333,Blue,2024-09-23T14:00:31.060767,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,16.833333333333332,83.07801980198019,1.65,Yellow,2024-09-23T14:00:31.151270,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.516666666666667,51.26547314578004,0.15,Blue,2024-09-23T14:00:31.299473,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,30.516666666666666,68.0401966138722,-3.9166666666666665,Blue,2024-09-23T14:00:31.411865,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.5,43.69263157894737,-0.1,Blue,2024-09-23T14:00:31.501300,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,12.783333333333333,50.94445893089961,1.3166666666666667,Yellow,2024-09-23T14:00:31.586467,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.1166666666666667,39.04171122994652,0.06666666666666667,Blue,2024-09-23T14:00:31.665840,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,18.166666666666668,39.5240366972477,0.8333333333333334,Blue,2024-09-23T14:00:31.753218,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.816666666666666,39.60611205432938,0.21666666666666667,Blue,2024-09-23T14:00:31.835991,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.8,43.1027027027027,-0.15,Blue,2024-09-23T14:00:31.923286,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.383333333333333,41.61561238223419,-0.7166666666666667,Blue,2024-09-23T14:00:32.003185,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,14.648,14.083333333333334,62.40568047337278,-0.9,Blue,2024-09-23T14:00:32.095570,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.4,44.152631578947364,0.1,Blue,2024-09-23T14:00:32.239554,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,21.016666666666666,30.744171292624905,7.366666666666666,Red,2024-09-23T14:00:32.364712,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.216666666666665,46.222816032887984,-0.6666666666666666,Blue,2024-09-23T14:00:32.477854,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,15.766666666666667,58.402959830866806,2.45,Yellow,2024-09-23T14:00:32.559257,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.333333333333333,41.760000000000005,0.5,Yellow,2024-09-23T14:00:32.644551,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.983333333333333,44.74953617810761,-0.5833333333333334,Blue,2024-09-23T14:00:32.788767,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-23T14:00:32.885249,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.45,73.22130177514794,-0.38333333333333336,Blue,2024-09-23T14:00:32.975782,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.483333333333333,62.205686032138445,-0.16666666666666666,Blue,2024-09-23T14:00:33.044183,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.05,70.15841584158416,-0.2,Blue,2024-09-23T14:00:33.129350,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,44.7,73.82818791946309,4.416666666666667,Yellow,2024-09-23T14:00:33.297752,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.383333333333333,80.83193157519601,-2.283333333333333,Blue,2024-09-23T14:00:33.403728,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.633333333333333,93.85085574572128,-0.95,Blue,2024-09-23T14:00:33.483590,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,30.1,62.5953488372093,2.566666666666667,Yellow,2024-09-23T14:00:33.570094,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.316666666666666,86.47214428857717,-0.16666666666666666,Blue,2024-09-23T14:00:33.654196,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.633333333333333,41.17065637065638,-0.3,Blue,2024-09-23T14:00:33.738000,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.183333333333333,40.41047120418849,0.0,Blue,2024-09-23T14:00:33.819658,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.733333333333333,106.84285714285714,-1.1,Blue,2024-09-23T14:00:33.898508,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,21.333333333333332,54.70031250000001,5.716666666666667,Orange,2024-09-23T14:00:33.997519,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.783333333333333,32.42508710801393,0.43333333333333335,Yellow,2024-09-23T14:00:34.082999,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.383333333333333,67.67321668909825,-1.1833333333333333,Blue,2024-09-23T14:00:34.189074,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,15.516666666666667,69.59097744360902,1.55,Yellow,2024-09-23T14:00:34.344445,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,16.733333333333334,28.29083665338645,6.066666666666666,Red,2024-09-23T14:00:34.456478,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.65,86.4,-0.5,Blue,2024-09-23T14:00:34.554100,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.116666666666667,105.65217391304347,-1.0333333333333334,Blue,2024-09-23T14:00:34.600847,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,6.95,65.77553956834532,-0.5833333333333334,Blue,2024-09-23T14:00:34.706698,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,10.0,66.31800000000001,-0.6,Blue,2024-09-23T14:00:34.795666,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,15.0,58.048,3.9166666666666665,Orange,2024-09-23T14:00:34.877148,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,12.45,56.3277108433735,2.4833333333333334,Orange,2024-09-23T14:00:34.982333,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,17.983333333333334,38.252085264133456,-0.7,Blue,2024-09-23T14:00:35.078495,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,10.983333333333333,71.96722306525038,0.3,Blue,2024-09-23T14:00:35.154559,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,11.066666666666666,58.776506024096385,2.6166666666666667,Orange,2024-09-23T14:00:35.288085,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.7666666666666666,38.2141592920354,0.05,Blue,2024-09-23T14:00:35.389516,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.745,19.583333333333332,54.367659574468085,1.1166666666666667,Yellow,2024-09-23T14:00:35.474202,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.602,11.983333333333333,63.09763560500696,-1.1333333333333333,Blue,2024-09-23T14:00:35.557042,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
