road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.8,28.849541284403667,1.3333333333333333,Yellow,2024-09-23T15:00:30.460763,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.216666666666667,23.134584450402144,-0.7666666666666667,Blue,2024-09-23T15:00:30.573135,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.233333333333334,38.16811091854419,-0.6666666666666666,Blue,2024-09-23T15:00:30.689803,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,39.888,35.266666666666666,67.86238185255199,4.4,Yellow,2024-09-23T15:00:30.881835,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,13.966666666666667,75.14463007159905,1.6833333333333333,Yellow,2024-09-23T15:00:30.980764,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.8333333333333335,42.44869565217391,-0.26666666666666666,Blue,2024-09-23T15:00:31.074115,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.966666666666667,48.60375782881002,-0.5,Blue,2024-09-23T15:00:31.194714,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,32.233333333333334,43.38614270941054,17.05,Dark Red,2024-09-23T15:00:31.375324,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,7.283333333333333,45.86910755148741,0.9166666666666666,Yellow,2024-09-23T15:00:31.487920,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,30.45,68.18916256157637,-3.9833333333333334,Blue,2024-09-23T15:00:31.592880,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.566666666666666,43.38815331010453,-0.03333333333333333,Blue,2024-09-23T15:00:31.688260,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,22.15,29.401354401805868,10.683333333333334,Red,2024-09-23T15:00:31.769313,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,6.083333333333333,20.002191780821917,3.033333333333333,Red,2024-09-23T15:00:31.849075,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,17.65,40.68101983002833,0.31666666666666665,Blue,2024-09-23T15:00:31.934291,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.7,40.08247422680413,0.1,Blue,2024-09-23T15:00:32.023031,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.8,43.1027027027027,-0.15,Blue,2024-09-23T15:00:32.112012,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.616666666666667,40.84597093791282,-0.48333333333333334,Blue,2024-09-23T15:00:32.245504,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.566666666666666,43.16019656019657,-0.8,Blue,2024-09-23T15:00:32.424023,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.516666666666667,40.21358189081224,1.2166666666666666,Yellow,2024-09-23T15:00:32.511473,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,14.483333333333333,44.6126582278481,0.8333333333333334,Yellow,2024-09-23T15:00:32.618499,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.216666666666665,46.222816032887984,-0.6666666666666666,Blue,2024-09-23T15:00:32.705547,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.433333333333334,80.53819241982507,-1.8833333333333333,Blue,2024-09-23T15:00:32.813010,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.516666666666667,49.31070110701107,-0.31666666666666665,Blue,2024-09-23T15:00:32.891091,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.033333333333333,44.50184501845018,-0.5333333333333333,Blue,2024-09-23T15:00:32.981649,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-23T15:00:33.085908,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.233333333333333,75.14817813765183,-0.6,Blue,2024-09-23T15:00:33.240240,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.0,64.51846153846154,-0.65,Blue,2024-09-23T15:00:33.350657,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.233333333333333,67.70063694267516,-0.016666666666666666,Blue,2024-09-23T15:00:33.432292,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,49.083333333333336,67.23504244482173,8.8,Orange,2024-09-23T15:00:33.574736,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.9,79.08451882845188,-1.7666666666666666,Blue,2024-09-23T15:00:33.667742,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.833333333333334,92.49397590361446,-0.75,Blue,2024-09-23T15:00:33.774763,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,35.811,44.4,48.39324324324324,7.55,Orange,2024-09-23T15:00:33.961699,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,10.116666666666667,71.08665568369028,1.6333333333333333,Yellow,2024-09-23T15:00:34.038936,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.816666666666666,40.31455576559547,-0.11666666666666667,Blue,2024-09-23T15:00:34.117777,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.7,34.76756756756757,0.5166666666666667,Yellow,2024-09-23T15:00:34.304662,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.8,106.18333333333332,-1.0333333333333334,Blue,2024-09-23T15:00:34.419052,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,19.183333333333334,60.830929626411816,3.566666666666667,Orange,2024-09-23T15:00:34.507307,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,5.1,30.411764705882355,0.75,Yellow,2024-09-23T15:00:34.617663,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
