road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,22.266666666666666,28.244910179640716,1.8,Yellow,2024-09-23T16:00:30.334400,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.15,23.385365853658534,-0.8333333333333334,Blue,2024-09-23T16:00:30.468898,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.416666666666668,37.807725321888405,-0.48333333333333334,Blue,2024-09-23T16:00:30.574571,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,33.766666666666666,42.880157946693,15.516666666666667,Red,2024-09-23T16:00:30.712787,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,18.0,58.30666666666667,5.716666666666667,Orange,2024-09-23T16:00:30.822241,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.8333333333333335,42.44869565217391,-0.26666666666666666,Blue,2024-09-23T16:00:30.921580,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.216666666666665,47.85447070914697,-0.25,Blue,2024-09-23T16:00:31.012598,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,31.016666666666666,45.08801719505642,15.833333333333334,Dark Red,2024-09-23T16:00:31.111905,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,7.033333333333333,47.49952606635071,0.6666666666666666,Yellow,2024-09-23T16:00:31.272959,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.05,48.3503105590062,-1.1666666666666667,Blue,2024-09-23T16:00:31.391211,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.483333333333333,43.769420035149395,-0.11666666666666667,Blue,2024-09-23T16:00:31.493649,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,18.05,36.079778393351795,6.583333333333333,Red,2024-09-23T16:00:31.579185,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,5.483333333333333,22.190881458966565,2.433333333333333,Red,2024-09-23T16:00:31.688673,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,17.783333333333335,40.37600749765698,0.45,Blue,2024-09-23T16:00:31.782196,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
