road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.5,29.25209302325581,1.0333333333333334,Yellow,2024-09-23T17:00:30.131459,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.066666666666666,23.706593406593406,-0.9166666666666666,Blue,2024-09-23T17:00:30.275935,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.183333333333334,38.26759339704604,-0.7166666666666667,Blue,2024-09-23T17:00:30.433573,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,31.616666666666667,45.796099103848185,13.366666666666667,Red,2024-09-23T17:00:30.555140,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.5,83.9616,0.21666666666666667,Blue,2024-09-23T17:00:30.660937,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.0,40.68000000000001,-0.1,Blue,2024-09-23T17:00:30.779598,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.3,47.60981595092024,-0.16666666666666666,Blue,2024-09-23T17:00:30.881755,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,28.416666666666668,49.21337243401759,13.233333333333333,Red,2024-09-23T17:00:30.986665,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,7.283333333333333,45.86910755148741,0.9166666666666666,Yellow,2024-09-23T17:00:31.107084,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.546,31.6,65.59367088607594,-3.55,Blue,2024-09-23T17:00:31.225399,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.566666666666666,43.38815331010453,-0.03333333333333333,Blue,2024-09-23T17:00:31.344502,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,23.916666666666668,27.22954703832752,12.45,Dark Red,2024-09-23T17:00:31.449689,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.021,3.2666666666666666,37.12040816326531,0.21666666666666667,Yellow,2024-09-23T17:00:31.537387,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,17.45,41.14727793696275,0.11666666666666667,Blue,2024-09-23T17:00:31.622863,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.6,40.5,0.0,Blue,2024-09-23T17:00:31.716870,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.866666666666667,42.90941704035874,-0.08333333333333333,Blue,2024-09-23T17:00:31.808055,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.733333333333333,40.47172774869111,-0.36666666666666664,Blue,2024-09-23T17:00:31.910918,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.883333333333333,45.44941785252264,-1.4833333333333334,Blue,2024-09-23T17:00:32.017720,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
