road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.666666666666668,29.027076923076923,1.2,Yellow,2024-09-23T18:00:30.286050,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.983333333333333,24.03676880222841,-1.0,Blue,2024-09-23T18:00:30.423957,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.466666666666665,37.71061643835616,-0.43333333333333335,Blue,2024-09-23T18:00:30.530107,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,27.167,23.233333333333334,70.1586800573888,3.5166666666666666,Yellow,2024-09-23T18:00:30.645904,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.816666666666666,88.81692524682651,-0.4666666666666667,Blue,2024-09-23T18:00:30.735189,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.183333333333334,38.897211155378486,0.08333333333333333,Blue,2024-09-23T18:00:30.867949,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.15,48.05201238390092,-0.31666666666666665,Blue,2024-09-23T18:00:30.951343,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,19.466666666666665,71.83972602739726,4.283333333333333,Orange,2024-09-23T18:00:31.032356,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.733333333333333,49.61584158415841,0.36666666666666664,Yellow,2024-09-23T18:00:31.130385,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.546,32.15,64.47153965785381,-3.0,Blue,2024-09-23T18:00:31.243803,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.833333333333334,42.211525423728816,0.23333333333333334,Blue,2024-09-23T18:00:31.339144,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,15.266666666666667,42.65764192139737,3.8,Orange,2024-09-23T18:00:31.421425,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.1,39.251612903225805,0.05,Blue,2024-09-23T18:00:31.501515,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.95,42.36106194690266,-0.38333333333333336,Blue,2024-09-23T18:00:31.599623,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.35,41.58288770053476,-0.25,Blue,2024-09-23T18:00:31.687431,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.466666666666667,44.09585253456221,-0.48333333333333334,Blue,2024-09-23T18:00:31.838227,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.916666666666666,39.89729032258065,-0.18333333333333332,Blue,2024-09-23T18:00:31.922970,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.833333333333334,45.6264935064935,-1.5333333333333334,Blue,2024-09-23T18:00:32.019574,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.666666666666666,39.73736842105263,1.3666666666666667,Yellow,2024-09-23T18:00:32.114517,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,14.683333333333334,44.0049943246311,1.0333333333333334,Yellow,2024-09-23T18:00:32.248290,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.15,46.413622291021674,-0.7333333333333333,Blue,2024-09-23T18:00:32.348317,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.166666666666666,75.68383561643836,-1.15,Blue,2024-09-23T18:00:32.443090,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.65,47.89677419354839,-0.18333333333333332,Blue,2024-09-23T18:00:32.526735,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.033333333333333,44.50184501845018,-0.5333333333333333,Blue,2024-09-23T18:00:32.608718,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-23T18:00:32.834686,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
