road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.65,32.00610687022901,-0.8166666666666667,Blue,2024-09-23T19:00:30.549310,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.016666666666667,23.90360110803324,-0.9666666666666667,Blue,2024-09-23T19:00:30.655476,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.383333333333333,37.87274290627687,-0.5166666666666667,Blue,2024-09-23T19:00:30.771047,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,27.18,30.833333333333332,52.89081081081081,10.2,Orange,2024-09-23T19:00:30.897311,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,19.533333333333335,53.7296928327645,7.25,Red,2024-09-23T19:00:30.995518,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.066666666666666,40.01311475409837,-0.03333333333333333,Blue,2024-09-23T19:00:31.106325,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.25,47.75630769230769,-0.21666666666666667,Blue,2024-09-23T19:00:31.216769,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.321,27.366666666666667,51.13008526187576,11.266666666666667,Red,2024-09-23T19:00:31.296784,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,8.279,6.966666666666667,71.3023923444976,0.05,Blue,2024-09-23T19:00:31.395693,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.546,31.85,65.07880690737834,-3.3,Blue,2024-09-23T19:00:31.556757,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.75,42.57230769230769,0.15,Blue,2024-09-23T19:00:31.639831,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,13.533333333333333,48.121182266009846,2.066666666666667,Yellow,2024-09-23T19:00:31.738664,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.021,5.316666666666666,22.807523510971784,2.2666666666666666,Red,2024-09-23T19:00:31.825635,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.783333333333335,42.78172790466733,-0.55,Blue,2024-09-23T19:00:31.907584,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.1,42.72527472527473,-0.5,Blue,2024-09-23T19:00:31.999305,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.566666666666666,43.79313501144164,-0.38333333333333336,Blue,2024-09-23T19:00:32.085993,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.45,41.392771084337355,-0.65,Blue,2024-09-23T19:00:32.172007,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.783333333333333,45.804954367666234,-1.5833333333333333,Blue,2024-09-23T19:00:32.285038,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.55,40.10677290836653,1.25,Yellow,2024-09-23T19:00:32.372183,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,13.95,46.318279569892475,0.3,Blue,2024-09-23T19:00:32.455678,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
