road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.3,30.98128078817734,-0.16666666666666666,Blue,2024-09-23T21:00:30.286838,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.0,23.969999999999995,-0.9833333333333333,Blue,2024-09-23T21:00:30.402867,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.5,37.646153846153844,-0.4,Blue,2024-09-23T21:00:30.500656,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.142,27.8,52.105035971223025,9.233333333333333,Orange,2024-09-23T21:00:30.605978,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,25.266666666666666,41.5377308707124,12.983333333333333,Dark Red,2024-09-23T21:00:30.691750,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.9,41.723076923076924,-0.2,Blue,2024-09-23T21:00:30.775598,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.15,48.05201238390092,-0.31666666666666665,Blue,2024-09-23T21:00:30.844927,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.319,26.05,53.709788867562374,10.566666666666666,Red,2024-09-23T21:00:30.984072,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,8.279,7.183333333333334,69.15174013921113,0.26666666666666666,Blue,2024-09-23T21:00:31.070016,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.383333333333333,46.42783300198807,-0.8333333333333334,Blue,2024-09-23T21:00:31.160392,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.616666666666667,43.162564991334484,0.016666666666666666,Blue,2024-09-23T21:00:31.245289,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.666666666666666,61.96114285714285,-0.9833333333333333,Blue,2024-09-23T21:00:31.330121,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.933333333333333,41.481818181818184,-0.11666666666666667,Blue,2024-09-23T21:00:31.404748,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.383333333333333,43.82624618514751,-0.95,Blue,2024-09-23T21:00:31.483675,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.783333333333333,44.265654648956364,-0.8166666666666667,Blue,2024-09-23T21:00:31.571126,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.75,43.24881355932204,-0.2,Blue,2024-09-23T21:00:31.661392,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.416666666666666,38.410434782608704,0.31666666666666665,Blue,2024-09-23T21:00:31.737547,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.866666666666667,42.22644230769231,-0.5,Blue,2024-09-23T21:00:31.824779,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.366666666666667,40.70134770889488,1.0666666666666667,Yellow,2024-09-23T21:00:31.896980,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.516666666666667,51.622370173102524,-1.1333333333333333,Blue,2024-09-23T21:00:31.973103,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.133333333333333,46.461570247933885,-0.75,Blue,2024-09-23T21:00:32.050270,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.316666666666666,74.76211096075778,-1.0,Blue,2024-09-23T21:00:32.125070,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.65,47.89677419354839,-0.18333333333333332,Blue,2024-09-23T21:00:32.199035,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.0,44.66666666666667,-0.5666666666666667,Blue,2024-09-23T21:00:32.280948,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-23T21:00:32.365094,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.866666666666667,69.78045112781955,0.03333333333333333,Blue,2024-09-23T21:00:32.450252,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.816666666666666,60.7049457177322,0.16666666666666666,Blue,2024-09-23T21:00:32.510406,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.283333333333333,67.05993690851736,0.03333333333333333,Blue,2024-09-23T21:00:32.604401,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,67.872,53.983333333333334,75.43661623958012,0.8833333333333333,Blue,2024-09-23T21:00:32.907035,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,25.15,75.15387673956263,-0.5166666666666667,Blue,2024-09-23T21:00:33.010662,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.85,92.3826714801444,-0.7333333333333333,Blue,2024-09-23T21:00:33.094933,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.412,40.81666666666667,46.17525520620661,12.966666666666667,Orange,2024-09-23T21:00:33.263705,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,20.5,35.0809756097561,12.016666666666667,Dark Red,2024-09-23T21:00:33.340236,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.7,40.855172413793106,-0.23333333333333334,Blue,2024-09-23T21:00:33.416794,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,5.316666666666666,24.19561128526646,2.1333333333333333,Red,2024-09-23T21:00:33.496295,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,11.066666666666666,103.62469879518072,-0.7666666666666667,Blue,2024-09-23T21:00:33.565684,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,13.85,84.25559566787004,-1.7666666666666666,Blue,2024-09-23T21:00:33.652346,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.133333333333334,37.52419354838709,-0.21666666666666667,Blue,2024-09-23T21:00:33.725956,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,13.133333333333333,63.80862944162437,-0.43333333333333335,Blue,2024-09-23T21:00:33.802294,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.933333333333334,77.49904306220095,-0.03333333333333333,Blue,2024-09-23T21:00:33.874298,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,9.89,21.2,27.99056603773585,5.916666666666667,Orange,2024-09-23T21:00:33.961367,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,8.55,77.30526315789473,0.4,Blue,2024-09-23T21:00:34.043509,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.433333333333334,102.72594752186588,-0.7166666666666667,Blue,2024-09-23T21:00:34.081303,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,7.133333333333334,64.08504672897196,-0.4,Blue,2024-09-23T21:00:34.161831,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,10.833333333333334,61.21661538461539,0.23333333333333334,Blue,2024-09-23T21:00:34.237679,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,17.964,31.816666666666666,33.87658459926663,12.6,Red,2024-09-23T21:00:34.708395,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,10.55,66.47203791469194,0.5833333333333334,Yellow,2024-09-23T21:00:34.786434,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.483333333333334,37.21731289449954,-0.2,Blue,2024-09-23T21:00:34.892349,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,10.5,75.28,-0.18333333333333332,Blue,2024-09-23T21:00:34.960236,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
