road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.316666666666666,34.33594176524113,-2.15,Blue,2024-09-24T02:00:30.220858,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.65,25.454867256637165,-1.3333333333333333,Blue,2024-09-24T02:00:30.318023,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.35,37.93798449612403,-0.55,Blue,2024-09-24T02:00:30.464068,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.133333333333333,84.50894941634242,-1.1166666666666667,Blue,2024-09-24T02:00:30.568834,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.983333333333333,95.5556904400607,-1.3,Blue,2024-09-24T02:00:30.658896,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.566666666666667,45.62242990654206,-0.5333333333333333,Blue,2024-09-24T02:00:30.743639,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.366666666666667,47.41588594704684,-0.1,Blue,2024-09-24T02:00:30.832168,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.616666666666667,95.67708095781072,-0.5666666666666667,Blue,2024-09-24T02:00:30.897722,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.116666666666666,54.61798365122616,-0.25,Blue,2024-09-24T02:00:31.010636,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.033333333333333,48.450622406639006,-1.1833333333333333,Blue,2024-09-24T02:00:31.148953,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.416666666666666,44.07929203539823,-0.18333333333333332,Blue,2024-09-24T02:00:31.220556,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.5,62.85913043478261,-1.15,Blue,2024-09-24T02:00:31.300115,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8,43.45714285714286,-0.25,Blue,2024-09-24T02:00:31.374017,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.633333333333333,45.92878464818764,-1.7,Blue,2024-09-24T02:00:31.468771,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.4,41.361702127659576,-0.2,Blue,2024-09-24T02:00:31.543716,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.933333333333334,42.71785714285714,-0.016666666666666666,Blue,2024-09-24T02:00:31.609803,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.883333333333333,40.00051746442433,-0.21666666666666667,Blue,2024-09-24T02:00:31.697634,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.966666666666667,45.1573264781491,-1.4,Blue,2024-09-24T02:00:31.785184,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.666666666666666,47.188125,-0.6333333333333333,Blue,2024-09-24T02:00:31.865772,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.2,52.96229508196722,-1.45,Blue,2024-09-24T02:00:31.959673,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.366666666666667,45.79918533604888,-0.5166666666666667,Blue,2024-09-24T02:00:32.031385,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,13.5,68.20888888888888,0.18333333333333332,Blue,2024-09-24T02:00:32.116515,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.683333333333334,47.555871886121,-0.15,Blue,2024-09-24T02:00:32.193530,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.983333333333333,40.26711185308849,0.4166666666666667,Blue,2024-09-24T02:00:32.286225,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-24T02:00:32.372399,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.1,67.99120879120879,0.26666666666666666,Blue,2024-09-24T02:00:32.455499,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.083333333333334,64.10751592356688,-0.5666666666666667,Blue,2024-09-24T02:00:32.518767,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.166666666666667,68.5741935483871,-0.08333333333333333,Blue,2024-09-24T02:00:32.590880,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,37.483333333333334,88.04232992441085,-2.8,Blue,2024-09-24T02:00:32.677465,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.183333333333334,81.5292595255212,-2.4833333333333334,Blue,2024-09-24T02:00:32.779317,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.933333333333334,91.83014354066985,-0.65,Blue,2024-09-24T02:00:32.845524,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,25.966666666666665,72.55917843388961,-1.5666666666666667,Blue,2024-09-24T02:00:32.940704,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.066666666666666,89.15206611570248,-0.4166666666666667,Blue,2024-09-24T02:00:33.014453,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.566666666666666,41.49105058365759,-0.36666666666666664,Blue,2024-09-24T02:00:33.094537,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.8666666666666667,33.268965517241384,0.6833333333333333,Orange,2024-09-24T02:00:33.170073,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,12.283333333333333,93.3606512890095,0.45,Blue,2024-09-24T02:00:33.256799,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,13.583333333333334,85.90969325153375,-2.033333333333333,Blue,2024-09-24T02:00:33.331331,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.083333333333333,37.98367346938776,-0.26666666666666666,Blue,2024-09-24T02:00:33.408935,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,13.3,63.009022556390974,-0.26666666666666666,Blue,2024-09-24T02:00:33.481779,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.166666666666666,82.01164556962026,-0.8,Blue,2024-09-24T02:00:33.570032,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,9.35,50.63101604278075,-1.3166666666666667,Blue,2024-09-24T02:00:33.645503,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,8.633333333333333,76.55907335907337,0.48333333333333334,Yellow,2024-09-24T02:00:33.734342,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,12.633333333333333,92.96833773087072,0.48333333333333334,Blue,2024-09-24T02:00:33.780998,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,6.95,65.77553956834532,-0.5833333333333334,Blue,2024-09-24T02:00:33.862742,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,10.216666666666667,64.9115823817292,-0.38333333333333336,Blue,2024-09-24T02:00:33.944412,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,9.3,93.6258064516129,-1.7833333333333334,Blue,2024-09-24T02:00:34.024339,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,9.7,72.29690721649486,-0.26666666666666666,Blue,2024-09-24T02:00:34.103424,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.266666666666666,37.658759124087595,-0.4166666666666667,Blue,2024-09-24T02:00:34.190512,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,10.1,78.26138613861386,-0.5833333333333334,Blue,2024-09-24T02:00:34.263855,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,6.65,97.81353383458645,-1.8,Blue,2024-09-24T02:00:34.340956,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.566666666666667,40.357009345794395,-0.15,Blue,2024-09-24T02:00:34.418791,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
