road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.033333333333335,33.0430823117338,-1.4333333333333333,Blue,2024-09-24T06:00:30.427089,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.2,23.196774193548386,-0.7833333333333333,Blue,2024-09-24T06:00:30.555034,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.383333333333333,37.87274290627687,-0.5166666666666667,Blue,2024-09-24T06:00:30.655650,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.316666666666666,83.61424446583254,-0.9333333333333333,Blue,2024-09-24T06:00:30.765263,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.25,93.29066666666667,-1.0333333333333334,Blue,2024-09-24T06:00:30.856107,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.6,45.2,-0.5,Blue,2024-09-24T06:00:30.958737,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.0,48.5025,-0.4666666666666667,Blue,2024-09-24T06:00:31.061208,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.366666666666667,91.00737527114967,0.18333333333333332,Blue,2024-09-24T06:00:31.122296,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.266666666666667,53.31063829787234,-0.1,Blue,2024-09-24T06:00:31.214867,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.333333333333334,46.7064,-0.8833333333333333,Blue,2024-09-24T06:00:31.352804,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.433333333333334,44.001413427561836,-0.16666666666666666,Blue,2024-09-24T06:00:31.425979,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.716666666666667,61.696728307254624,-0.9333333333333333,Blue,2024-09-24T06:00:31.499653,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7666666666666666,43.980722891566266,-0.2833333333333333,Blue,2024-09-24T06:00:31.595203,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.65,43.124324324324334,-0.6833333333333333,Blue,2024-09-24T06:00:31.679542,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.333333333333334,41.65714285714286,-0.26666666666666666,Blue,2024-09-24T06:00:31.757077,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.833333333333334,43.00584269662921,-0.11666666666666667,Blue,2024-09-24T06:00:31.832612,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.666666666666666,40.684736842105266,-0.43333333333333335,Blue,2024-09-24T06:00:31.895697,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,14.55,40.243298969072164,0.18333333333333332,Blue,2024-09-24T06:00:31.973867,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.266666666666667,44.67514792899408,-0.03333333333333333,Blue,2024-09-24T06:00:32.052081,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.4,52.10806451612903,-1.25,Blue,2024-09-24T06:00:32.133089,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.7,47.74394904458599,-1.1833333333333333,Blue,2024-09-24T06:00:32.225352,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,13.2,69.7590909090909,-0.11666666666666667,Blue,2024-09-24T06:00:32.300910,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.716666666666667,47.21978798586572,-0.11666666666666667,Blue,2024-09-24T06:00:32.373562,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.316666666666666,43.1484794275492,-0.25,Blue,2024-09-24T06:00:32.454933,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-24T06:00:32.547347,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.033333333333333,68.4929889298893,0.2,Blue,2024-09-24T06:00:32.630021,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.05,69.60497925311203,-1.6,Blue,2024-09-24T06:00:32.730563,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.883333333333334,72.55290102389078,-0.36666666666666664,Blue,2024-09-24T06:00:32.799804,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
