road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.916666666666668,33.24687224669603,-1.55,Blue,2024-09-24T07:00:30.051067,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.05,23.77190082644628,-0.9333333333333333,Blue,2024-09-24T07:00:30.150032,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.3,38.03626943005181,-0.6,Blue,2024-09-24T07:00:30.255845,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.533333333333335,87.57580645161289,-1.7166666666666666,Blue,2024-09-24T07:00:30.383222,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.283333333333333,93.01506646971936,-1.0,Blue,2024-09-24T07:00:30.474742,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.716666666666667,43.781165919282515,-0.38333333333333336,Blue,2024-09-24T07:00:30.566964,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.016666666666666,48.452029136316334,-0.45,Blue,2024-09-24T07:00:30.652980,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.533333333333333,96.2256880733945,-0.65,Blue,2024-09-24T07:00:30.730102,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.233333333333333,53.59572192513369,-0.13333333333333333,Blue,2024-09-24T07:00:30.820827,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.25,47.17818181818181,-0.9666666666666667,Blue,2024-09-24T07:00:30.939029,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.55,43.46387434554973,-0.05,Blue,2024-09-24T07:00:31.022465,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.566666666666666,62.49682997118156,-1.0833333333333333,Blue,2024-09-24T07:00:31.098174,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.783333333333333,43.71736526946108,-0.26666666666666666,Blue,2024-09-24T07:00:31.182780,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,18.333333333333332,39.164727272727276,1.0,Yellow,2024-09-24T07:00:31.269345,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.916666666666666,43.60373831775701,-0.6833333333333333,Blue,2024-09-24T07:00:31.368979,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
