road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.6,33.81290322580645,-1.8666666666666667,Blue,2024-09-24T08:00:30.380902,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.066666666666666,23.706593406593406,-0.9166666666666666,Blue,2024-09-24T08:00:30.499651,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.316666666666666,38.003451251078516,-0.5833333333333334,Blue,2024-09-24T08:00:30.618633,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.6,87.22409638554217,-1.65,Blue,2024-09-24T08:00:30.730986,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.166666666666666,93.98686567164181,-1.1166666666666667,Blue,2024-09-24T08:00:30.825599,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.783333333333333,43.009691629955945,-0.31666666666666665,Blue,2024-09-24T08:00:30.913922,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.1,48.20124223602483,-0.36666666666666664,Blue,2024-09-24T08:00:31.021434,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.3,97.7958041958042,-0.8833333333333333,Blue,2024-09-24T08:00:31.093519,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.05,55.2198347107438,-0.31666666666666665,Blue,2024-09-24T08:00:31.213599,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.033333333333333,48.450622406639006,-1.1833333333333333,Blue,2024-09-24T08:00:31.362260,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.283333333333333,44.71238779174147,-0.31666666666666665,Blue,2024-09-24T08:00:31.465003,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.483333333333333,62.95036284470247,-1.1666666666666667,Blue,2024-09-24T08:00:31.559869,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7333333333333334,44.517073170731706,-0.31666666666666665,Blue,2024-09-24T08:00:31.662067,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,20.316666666666666,35.3414273995078,2.9833333333333334,Yellow,2024-09-24T08:00:31.753327,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.283333333333333,41.881508078994614,-0.31666666666666665,Blue,2024-09-24T08:00:31.845893,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.266666666666667,44.714018691588784,-0.6833333333333333,Blue,2024-09-24T08:00:31.922764,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.8,40.2609375,-0.3,Blue,2024-09-24T08:00:31.989314,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,14.648,15.216666666666667,57.75772179627601,0.23333333333333334,Blue,2024-09-24T08:00:32.075230,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.783333333333333,46.677588871715606,-0.5166666666666667,Blue,2024-09-24T08:00:32.165726,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.866666666666667,54.45,-1.7833333333333334,Blue,2024-09-24T08:00:32.261106,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.233333333333333,49.20656455142232,-1.65,Blue,2024-09-24T08:00:32.344203,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.85,71.65914396887159,-0.4666666666666667,Blue,2024-09-24T08:00:32.437258,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.866666666666666,45.76438356164384,0.03333333333333333,Blue,2024-09-24T08:00:32.513169,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.05,44.41988950276243,-0.5166666666666667,Blue,2024-09-24T08:00:32.594670,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-24T08:00:32.680258,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.6,71.94418604651162,-0.23333333333333334,Blue,2024-09-24T08:00:32.780404,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.566666666666666,66.74323607427056,-1.0833333333333333,Blue,2024-09-24T08:00:32.851377,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.866666666666666,72.8013698630137,-0.38333333333333336,Blue,2024-09-24T08:00:32.927130,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,38.61666666666667,85.45843763487268,-1.6666666666666667,Blue,2024-09-24T08:00:33.021545,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.716666666666665,79.69585382993677,-1.95,Blue,2024-09-24T08:00:33.117014,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.183333333333334,90.21151586368977,-0.4,Blue,2024-09-24T08:00:33.216067,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,25.566666666666666,73.69439374185137,-1.9666666666666666,Blue,2024-09-24T08:00:33.319152,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.033333333333333,89.52199170124481,-0.45,Blue,2024-09-24T08:00:33.395299,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.366666666666667,42.482868525896414,-0.5666666666666667,Blue,2024-09-24T08:00:33.468422,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.25,39.581538461538464,0.06666666666666667,Blue,2024-09-24T08:00:33.574905,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,11.15,102.85022421524663,-0.6833333333333333,Blue,2024-09-24T08:00:33.653705,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,14.266666666666667,81.79485981308412,-1.35,Blue,2024-09-24T08:00:33.718557,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.883333333333334,31.761092150170644,0.5333333333333333,Yellow,2024-09-24T08:00:33.789756,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,13.466666666666667,62.22920792079208,-0.1,Blue,2024-09-24T08:00:33.870024,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,12.816666666666666,84.25123537061118,-1.15,Blue,2024-09-24T08:00:33.941383,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,10.666666666666666,44.38125,0.0,Blue,2024-09-24T08:00:34.021262,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.583333333333333,87.15956043956044,-0.5666666666666667,Blue,2024-09-24T08:00:34.084750,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.483333333333333,102.27866473149491,-0.6666666666666666,Blue,2024-09-24T08:00:34.134509,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,7.066666666666666,64.68962264150943,-0.4666666666666667,Blue,2024-09-24T08:00:34.222198,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,9.916666666666666,66.87529411764706,-0.6833333333333333,Blue,2024-09-24T08:00:34.325598,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,12.45,69.93734939759037,1.3666666666666667,Yellow,2024-09-24T08:00:34.393065,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,10.366666666666667,67.6475884244373,0.4,Blue,2024-09-24T08:00:34.476457,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.283333333333335,37.624430264357336,-0.4,Blue,2024-09-24T08:00:34.594939,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,9.95,79.44120603015075,-0.7333333333333333,Blue,2024-09-24T08:00:34.663896,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,9.9,65.70303030303029,1.45,Yellow,2024-09-24T08:00:34.757757,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.6,39.98333333333333,-0.11666666666666667,Blue,2024-09-24T08:00:34.832797,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.745,16.95,62.814159292035406,-1.5166666666666666,Blue,2024-09-24T08:00:34.914182,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.602,15.15,49.90891089108911,2.033333333333333,Yellow,2024-09-24T08:00:35.001750,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
East Ring Road,2.072,5.266666666666667,23.605063291139242,-0.11666666666666667,Blue,2024-09-24T08:00:35.090386,"(24.6280957, 46.7049403)","(24.6217419, 46.716629)"
Western Ring Rd,28.072,20.7,81.368115942029,-1.85,Blue,2024-09-24T08:00:35.198583,"(24.7396285, 46.6461567)","(24.5622416, 46.5102615)"
Western Ring Rd,6.121,8.383333333333333,43.808349900596426,-1.0666666666666667,Blue,2024-09-24T08:00:35.285640,"(24.5622416, 46.5102615)","(24.5537007, 46.5576904)"
شارع المدينة المنورة,16.691,25.6,39.119531249999994,9.25,Red,2024-09-24T08:00:35.440268,"(24.6637137, 46.7962236)","(24.5854047, 46.71030630000001)"
شارع المدينة المنورة,12.634,9.183333333333334,82.54519056261343,-0.43333333333333335,Blue,2024-09-24T08:00:35.540911,"(24.5854047, 46.71030630000001)","(24.5819658, 46.6013966)"
شارع المدينة المنورة,4.817,9.1,31.76043956043956,-0.7333333333333333,Blue,2024-09-24T08:00:35.625378,"(24.5819658, 46.6013966)","(24.5633024, 46.57389740000001)"
Al Thoumamah Rd,16.885,14.416666666666666,70.27283236994221,-1.2,Blue,2024-09-24T08:00:35.706876,"(24.9379168, 46.8154625)","(24.828963, 46.7249418)"
Al Thoumamah Rd,14.449,13.266666666666667,65.34723618090452,-1.1833333333333333,Blue,2024-09-24T08:00:35.783325,"(24.828963, 46.7249418)","(24.7478186, 46.64167339999999)"
Al Thoumamah Rd,2.366,3.95,35.939240506329114,0.016666666666666666,Blue,2024-09-24T08:00:35.859551,"(24.7478186, 46.64167339999999)","(24.7457307, 46.6293496)"
الشرق,28.75,19.4,88.91752577319589,-1.0,Blue,2024-09-24T08:00:35.938415,"(24.9969248, 47.0206805)","(24.836873, 46.8415833)"
الشرق,3.416,5.016666666666667,40.85581395348837,-0.48333333333333334,Blue,2024-09-24T08:00:36.026337,"(24.836873, 46.8415833)","(24.8396783, 46.8220465)"
طريق الجنادرية,13.418,17.616666666666667,45.69990539262062,-0.55,Blue,2024-09-24T08:00:36.099798,"(24.9709788, 46.86326409999999)","(24.8839823, 46.8066945)"
طريق الجنادرية,11.404,11.25,60.821333333333335,-1.15,Blue,2024-09-24T08:00:36.208602,"(24.8839823, 46.8066945)","(24.8095731, 46.8085962)"
طريق الجنادرية,5.586,5.266666666666667,63.63797468354431,-0.3,Blue,2024-09-24T08:00:36.296243,"(24.8095731, 46.8085962)","(24.7796768, 46.78538289999999)"
وادي لبن,12.958,13.15,59.12395437262357,-1.1666666666666667,Blue,2024-09-24T08:00:36.401822,"(24.6413405, 46.6497779)","(24.6171257, 46.5705705)"
