road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.533,20.283333333333335,31.15760065735414,-0.3,Blue,2024-09-24T13:00:29.684941,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.216666666666667,23.134584450402144,-0.7666666666666667,Blue,2024-09-24T13:00:29.820365,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.266666666666666,38.102076124567475,-0.6333333333333333,Blue,2024-09-24T13:00:29.928623,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,20.4,70.9764705882353,2.15,Yellow,2024-09-24T13:00:30.039297,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,13.75,76.32872727272728,1.4666666666666666,Yellow,2024-09-24T13:00:30.144214,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,5.283333333333333,30.798738170347004,1.1833333333333333,Orange,2024-09-24T13:00:30.265761,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.2,47.903703703703705,-0.26666666666666666,Blue,2024-09-24T13:00:30.389645,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,18.266666666666666,76.55912408759124,3.0833333333333335,Orange,2024-09-24T13:00:30.471018,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.166666666666667,54.17513513513513,-0.2,Blue,2024-09-24T13:00:30.588019,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,31.183333333333334,66.5855692143239,-3.25,Blue,2024-09-24T13:00:30.690951,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.383333333333333,44.23587921847247,-0.21666666666666667,Blue,2024-09-24T13:00:30.784738,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
