road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,22.0,28.587272727272726,1.5333333333333334,Yellow,2024-09-24T16:00:30.383351,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.566666666666666,21.901522842639594,-0.4166666666666667,Blue,2024-09-24T16:00:30.503653,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.516666666666666,37.61400512382579,-0.38333333333333336,Blue,2024-09-24T16:00:30.616233,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.366666666666667,83.37351247600768,-0.8833333333333333,Blue,2024-09-24T16:00:30.727594,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,16.466666666666665,63.73603238866397,4.183333333333334,Orange,2024-09-24T16:00:30.842605,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,6.933333333333334,23.46923076923077,2.8333333333333335,Red,2024-09-24T16:00:30.937906,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.533333333333335,46.93790322580644,0.06666666666666667,Blue,2024-09-24T16:00:31.028262,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.233333333333333,91.80393873085339,0.05,Blue,2024-09-24T16:00:31.096810,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.233333333333333,53.59572192513369,-0.13333333333333333,Blue,2024-09-24T16:00:31.243441,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.55,45.522807017543855,-0.6666666666666666,Blue,2024-09-24T16:00:31.376852,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.7,42.79175257731959,0.1,Blue,2024-09-24T16:00:31.473044,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.016666666666667,60.15644937586684,-0.6333333333333333,Blue,2024-09-24T16:00:31.557361,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.0166666666666666,40.33591160220995,-0.03333333333333333,Blue,2024-09-24T16:00:31.638328,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,19.433333333333334,36.94785591766724,2.1,Yellow,2024-09-24T16:00:31.728190,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,10.4,37.38461538461539,0.8,Yellow,2024-09-24T16:00:31.825092,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.666666666666666,43.49454545454545,-0.2833333333333333,Blue,2024-09-24T16:00:31.909750,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.75,40.41882352941177,-0.35,Blue,2024-09-24T16:00:31.988869,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.469,16.35,56.766972477064215,0.9333333333333333,Yellow,2024-09-24T16:00:32.073362,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,7.693,11.816666666666666,39.06177715091678,-0.25,Blue,2024-09-24T16:00:32.187096,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.75,50.67764705882353,-0.9,Blue,2024-09-24T16:00:32.334385,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.266666666666666,46.080737704918036,-0.6166666666666667,Blue,2024-09-24T16:00:32.432111,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,21.4,43.02897196261682,8.083333333333334,Red,2024-09-24T16:00:32.538354,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,6.616666666666666,33.66045340050378,1.7833333333333334,Orange,2024-09-24T16:00:32.628370,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.983333333333333,44.74953617810761,-0.5833333333333334,Blue,2024-09-24T16:00:32.723494,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-24T16:00:32.833375,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.933333333333334,69.2597014925373,0.1,Blue,2024-09-24T16:00:32.923305,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.866666666666667,65.18704663212434,-0.7833333333333333,Blue,2024-09-24T16:00:33.002229,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.516666666666667,64.22356495468279,0.26666666666666666,Yellow,2024-09-24T16:00:33.087902,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,39.916666666666664,82.67524008350732,-0.36666666666666664,Blue,2024-09-24T16:00:33.227648,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,33.0,57.27636363636363,7.333333333333333,Orange,2024-09-24T16:00:33.382935,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.283333333333333,89.57992998833139,-0.3,Blue,2024-09-24T16:00:33.468215,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,27.066666666666666,69.6103448275862,-0.4666666666666667,Blue,2024-09-24T16:00:33.559298,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.633333333333333,83.30038610038612,0.15,Blue,2024-09-24T16:00:33.647329,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.866666666666667,40.087218045112785,-0.06666666666666667,Blue,2024-09-24T16:00:33.740527,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.4166666666666665,37.65073170731708,0.23333333333333334,Yellow,2024-09-24T16:00:33.822337,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,11.216666666666667,102.23893016344725,-0.6166666666666667,Blue,2024-09-24T16:00:33.917099,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,26.35,44.286148007590135,10.733333333333333,Red,2024-09-24T16:00:34.018594,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.533333333333333,34.213235294117645,0.18333333333333332,Blue,2024-09-24T16:00:34.094895,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,13.183333333333334,63.56662452591656,-0.38333333333333336,Blue,2024-09-24T16:00:34.215551,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.166666666666666,82.01164556962026,-0.8,Blue,2024-09-24T16:00:34.345025,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,12.266666666666667,38.59239130434782,1.6,Yellow,2024-09-24T16:00:34.441570,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
