road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.366666666666667,29.434633385335413,0.9,Blue,2024-09-24T18:00:29.978063,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.0,23.969999999999995,-0.9833333333333333,Blue,2024-09-24T18:00:30.105456,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.383333333333333,37.87274290627687,-0.5166666666666667,Blue,2024-09-24T18:00:30.217318,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,18.933333333333334,76.47464788732395,0.6833333333333333,Blue,2024-09-24T18:00:30.340582,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.666666666666666,89.95885714285714,-0.6166666666666667,Blue,2024-09-24T18:00:30.440271,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,5.35,30.414953271028043,1.25,Orange,2024-09-24T18:00:30.549743,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.366666666666667,47.41588594704684,-0.1,Blue,2024-09-24T18:00:30.647071,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.95,87.67899686520377,0.7666666666666667,Yellow,2024-09-24T18:00:30.730221,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.433333333333334,51.92953367875647,0.06666666666666667,Blue,2024-09-24T18:00:30.841578,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.546,31.916666666666668,64.94287206266318,-3.2333333333333334,Blue,2024-09-24T18:00:30.936807,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.55,43.46387434554973,-0.05,Blue,2024-09-24T18:00:31.033968,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,11.25,57.888,-0.21666666666666667,Blue,2024-09-24T18:00:31.122879,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.0,40.559999999999995,-0.05,Blue,2024-09-24T18:00:31.226514,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,17.8,40.33820224719101,0.4666666666666667,Blue,2024-09-24T18:00:31.329775,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.7,40.08247422680413,0.1,Blue,2024-09-24T18:00:31.441348,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.566666666666666,43.79313501144164,-0.38333333333333336,Blue,2024-09-24T18:00:31.549244,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.766666666666667,40.36605744125326,-0.3333333333333333,Blue,2024-09-24T18:00:31.634709,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.9,42.12517985611511,-0.4666666666666667,Blue,2024-09-24T18:00:31.713299,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,13.333333333333334,37.750499999999995,2.033333333333333,Yellow,2024-09-24T18:00:31.803015,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,13.15,49.1361216730038,-0.5,Blue,2024-09-24T18:00:31.889496,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.2,46.27037037037038,-0.6833333333333333,Blue,2024-09-24T18:00:31.974332,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.1,76.10082644628099,-1.2166666666666666,Blue,2024-09-24T18:00:32.064182,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.716666666666667,47.21978798586572,-0.11666666666666667,Blue,2024-09-24T18:00:32.191800,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
