road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.433333333333334,30.77911908646003,-0.03333333333333333,Blue,2024-09-24T19:00:30.308075,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.966666666666667,24.103910614525137,-1.0166666666666666,Blue,2024-09-24T19:00:30.432659,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.5,37.646153846153844,-0.4,Blue,2024-09-24T19:00:30.567732,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.4,83.21379310344828,-0.85,Blue,2024-09-24T19:00:30.678539,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.35,92.46872246696037,-0.9333333333333333,Blue,2024-09-24T19:00:30.774940,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.166666666666667,39.0528,0.06666666666666667,Blue,2024-09-24T19:00:30.880324,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.3,47.60981595092024,-0.16666666666666666,Blue,2024-09-24T19:00:30.993625,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.833333333333334,94.27955056179775,-0.35,Blue,2024-09-24T19:00:31.054800,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.516666666666667,51.26547314578004,0.15,Blue,2024-09-24T19:00:31.177994,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,7.9,49.268354430379745,-1.3166666666666667,Blue,2024-09-24T19:00:31.293528,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.416666666666666,44.07929203539823,-0.18333333333333332,Blue,2024-09-24T19:00:31.382339,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.666666666666666,61.05375,-0.8,Blue,2024-09-24T19:00:31.471130,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.9166666666666665,41.71885714285714,-0.13333333333333333,Blue,2024-09-24T19:00:31.564249,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.683333333333334,43.03816183816184,-0.65,Blue,2024-09-24T19:00:31.666319,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.083333333333334,42.80366972477064,-0.5166666666666667,Blue,2024-09-24T19:00:31.763165,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.466666666666667,44.09585253456221,-0.48333333333333334,Blue,2024-09-24T19:00:31.853637,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.75,40.41882352941177,-0.35,Blue,2024-09-24T19:00:31.941838,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.883333333333333,45.44941785252264,-1.4833333333333334,Blue,2024-09-24T19:00:32.020989,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.55,40.10677290836653,1.25,Yellow,2024-09-24T19:00:32.118301,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.5,51.691199999999995,-1.15,Blue,2024-09-24T19:00:32.228484,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.183333333333334,46.31802265705458,-0.7,Blue,2024-09-24T19:00:32.332563,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.133333333333333,75.89175824175824,-1.1833333333333333,Blue,2024-09-24T19:00:32.420140,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.616666666666666,48.24259927797834,-0.21666666666666667,Blue,2024-09-24T19:00:32.499583,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.033333333333333,44.50184501845018,-0.5333333333333333,Blue,2024-09-24T19:00:32.582709,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-24T19:00:32.784654,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.216666666666667,67.13056057866184,0.38333333333333336,Blue,2024-09-24T19:00:32.892948,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.3,63.06315789473683,-0.35,Blue,2024-09-24T19:00:32.969765,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.266666666666667,67.27215189873418,0.016666666666666666,Blue,2024-09-24T19:00:33.052835,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,38.416666666666664,85.90334056399134,-1.8666666666666667,Blue,2024-09-24T19:00:33.153952,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,24.566666666666666,76.93839891451832,-1.1,Blue,2024-09-24T19:00:33.254550,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.133333333333333,90.53066037735849,-0.45,Blue,2024-09-24T19:00:33.343581,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
