road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.133333333333333,29.7596214511041,0.6666666666666666,Blue,2024-09-24T20:00:30.713195,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.15,23.385365853658534,-0.8333333333333334,Blue,2024-09-24T20:00:30.811915,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.566666666666666,37.51788756388415,-0.3333333333333333,Blue,2024-09-24T20:00:30.907057,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,18.266666666666666,79.26569343065695,0.016666666666666666,Blue,2024-09-24T20:00:31.021872,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.816666666666666,88.81692524682651,-0.4666666666666667,Blue,2024-09-24T20:00:31.106300,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.95,41.19493670886076,-0.15,Blue,2024-09-24T20:00:31.204166,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.35,47.46422018348623,-0.11666666666666667,Blue,2024-09-24T20:00:31.294176,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.483333333333333,90.3216361679225,0.3,Blue,2024-09-24T20:00:31.353859,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.783333333333333,49.25012285012285,0.4166666666666667,Yellow,2024-09-24T20:00:31.447387,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.216666666666667,47.36957403651115,-1.0,Blue,2024-09-24T20:00:31.553150,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.883333333333333,41.997976391231035,0.2833333333333333,Blue,2024-09-24T20:00:31.637434,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
