road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.633333333333333,32.03327674023769,-0.8333333333333334,Blue,2024-09-24T21:00:29.979997,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.233333333333333,23.07272727272727,-0.75,Blue,2024-09-24T21:00:30.101818,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.716666666666665,37.23245984784447,-0.18333333333333332,Blue,2024-09-24T21:00:30.206218,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,20.433333333333334,70.86068515497553,2.183333333333333,Yellow,2024-09-24T21:00:30.323340,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,13.616666666666667,77.07613219094247,1.3333333333333333,Yellow,2024-09-24T21:00:30.434444,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.8,42.82105263157896,-0.3,Blue,2024-09-24T21:00:30.533344,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.233333333333334,47.80533880903491,-0.23333333333333334,Blue,2024-09-24T21:00:30.625527,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,17.7,79.01016949152543,2.5166666666666666,Yellow,2024-09-24T21:00:30.697033,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,8.279,6.816666666666666,72.87139364303178,-0.1,Blue,2024-09-24T21:00:30.788155,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.483333333333333,45.880550098231836,-0.7333333333333333,Blue,2024-09-24T21:00:30.896399,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.65,43.013471502590676,0.05,Blue,2024-09-24T21:00:30.980218,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.666666666666666,61.05375,-0.8,Blue,2024-09-24T21:00:31.062977,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.85,42.694736842105264,-0.2,Blue,2024-09-24T21:00:31.139211,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.133333333333333,44.50537190082645,-1.2,Blue,2024-09-24T21:00:31.240552,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.8,44.18181818181819,-0.8,Blue,2024-09-24T21:00:31.322967,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
