road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.766666666666666,33.51261101243339,-1.7,Blue,2024-09-24T23:00:30.255361,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.983333333333333,24.03676880222841,-1.0,Blue,2024-09-24T23:00:30.379954,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.916666666666668,36.85857740585774,0.016666666666666666,Blue,2024-09-24T23:00:30.467581,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.4,83.21379310344828,-0.85,Blue,2024-09-24T23:00:30.590300,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.533333333333333,90.99884393063584,-0.75,Blue,2024-09-24T23:00:30.691431,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.466666666666667,46.93846153846154,-0.6333333333333333,Blue,2024-09-24T23:00:30.779805,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.366666666666667,47.41588594704684,-0.1,Blue,2024-09-24T23:00:30.861109,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.783333333333333,94.59842164599775,-0.4,Blue,2024-09-24T23:00:30.915210,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.933333333333334,48.18461538461538,0.5666666666666667,Yellow,2024-09-24T23:00:31.006021,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,7.85,49.58216560509555,-1.3666666666666667,Blue,2024-09-24T23:00:31.147365,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.316666666666666,44.552415026833636,-0.2833333333333333,Blue,2024-09-24T23:00:31.228054,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.416666666666666,62.51904,-1.05,Blue,2024-09-24T23:00:31.309074,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7666666666666666,43.980722891566266,-0.2833333333333333,Blue,2024-09-24T23:00:31.386063,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.333333333333334,46.82739130434782,-2.0,Blue,2024-09-24T23:00:31.477381,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.833333333333334,44.01509433962264,-0.7666666666666667,Blue,2024-09-24T23:00:31.560636,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.033333333333333,42.433702882483374,0.08333333333333333,Blue,2024-09-24T23:00:31.647039,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.85,37.2086642599278,0.75,Yellow,2024-09-24T23:00:31.715956,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.933333333333334,45.273711340206184,-1.4333333333333333,Blue,2024-09-24T23:00:31.792632,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.583333333333334,47.55968503937007,-0.7166666666666667,Blue,2024-09-24T23:00:31.871373,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.383333333333333,52.178196500672954,-1.2666666666666666,Blue,2024-09-24T23:00:31.947209,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.183333333333334,46.31802265705458,-0.7,Blue,2024-09-24T23:00:32.023010,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,13.8,66.72608695652174,0.48333333333333334,Blue,2024-09-24T23:00:32.099095,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.683333333333334,47.555871886121,-0.15,Blue,2024-09-24T23:00:32.207524,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.933333333333334,45.0,-0.6333333333333333,Blue,2024-09-24T23:00:32.287332,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-24T23:00:32.470701,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.266666666666667,66.76834532374099,0.43333333333333335,Blue,2024-09-24T23:00:32.555336,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,14.166666666666666,59.205176470588235,0.5166666666666667,Blue,2024-09-24T23:00:32.624134,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.233333333333333,67.70063694267516,-0.016666666666666666,Blue,2024-09-24T23:00:32.690285,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,39.2,84.18673469387754,-1.0833333333333333,Blue,2024-09-24T23:00:32.807856,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,24.216666666666665,78.05037852718513,-1.45,Blue,2024-09-24T23:00:32.901819,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.933333333333334,91.83014354066985,-0.65,Blue,2024-09-24T23:00:32.973696,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.8,70.30298507462687,-0.7333333333333333,Blue,2024-09-24T23:00:33.051147,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.266666666666667,86.99516129032257,-0.21666666666666667,Blue,2024-09-24T23:00:33.132754,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.616666666666667,41.250290135396526,-0.31666666666666665,Blue,2024-09-24T23:00:33.222858,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.066666666666667,41.947826086956525,-0.11666666666666667,Blue,2024-09-24T23:00:33.316855,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,12.833333333333334,89.35948051948051,1.0,Yellow,2024-09-24T23:00:33.393435,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,15.05,77.5375415282392,-0.5666666666666667,Blue,2024-09-24T23:00:33.473523,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,3.816666666666667,40.637554585152834,-0.5333333333333333,Blue,2024-09-24T23:00:33.548989,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
