road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.116666666666667,34.71499540018399,-2.35,Blue,2024-09-25T01:00:30.391667,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.9,24.376271186440675,-1.0833333333333333,Blue,2024-09-25T01:00:30.502171,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.7,37.263959390862944,-0.2,Blue,2024-09-25T01:00:30.595077,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.216666666666665,84.09990319457891,-1.0333333333333334,Blue,2024-09-25T01:00:30.712624,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.416666666666666,91.9287591240876,-0.8666666666666667,Blue,2024-09-25T01:00:30.806703,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.6666666666666665,44.37818181818182,-0.43333333333333335,Blue,2024-09-25T01:00:30.900520,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.366666666666667,47.41588594704684,-0.1,Blue,2024-09-25T01:00:31.009690,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.533333333333333,96.2256880733945,-0.65,Blue,2024-09-25T01:00:31.074166,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.366666666666666,52.47329842931937,0.0,Blue,2024-09-25T01:00:31.171594,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.05,48.3503105590062,-1.1666666666666667,Blue,2024-09-25T01:00:31.309778,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.5,43.69263157894737,-0.1,Blue,2024-09-25T01:00:31.385440,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.35,62.92173913043478,-1.1166666666666667,Blue,2024-09-25T01:00:31.473437,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.65,45.91698113207547,-0.4,Blue,2024-09-25T01:00:31.550059,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.566666666666666,46.12548179871521,-1.7666666666666666,Blue,2024-09-25T01:00:31.632857,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.066666666666666,42.88235294117647,-0.5333333333333333,Blue,2024-09-25T01:00:31.718920,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.766666666666667,43.199999999999996,-0.18333333333333332,Blue,2024-09-25T01:00:31.788472,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.766666666666667,37.433898305084746,0.6666666666666666,Yellow,2024-09-25T01:00:31.871314,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.416666666666666,43.64273291925466,-0.95,Blue,2024-09-25T01:00:31.946704,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,9.883333333333333,50.92816188870152,-1.4166666666666667,Blue,2024-09-25T01:00:32.027584,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.733333333333333,50.74397905759163,-0.9166666666666666,Blue,2024-09-25T01:00:32.105101,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.183333333333334,46.31802265705458,-0.7,Blue,2024-09-25T01:00:32.177162,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,13.833333333333334,66.56530120481928,0.5166666666666667,Blue,2024-09-25T01:00:32.257480,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.75,46.888421052631585,-0.08333333333333333,Blue,2024-09-25T01:00:32.339736,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.016666666666667,44.584103512014785,-0.55,Blue,2024-09-25T01:00:32.412451,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-25T01:00:32.567824,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.266666666666667,66.76834532374099,0.43333333333333335,Blue,2024-09-25T01:00:32.651362,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.633333333333333,61.52127139364303,-0.016666666666666666,Blue,2024-09-25T01:00:32.716775,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.133333333333334,69.01948051948051,-0.11666666666666667,Blue,2024-09-25T01:00:32.795482,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,42.21666666666667,78.17102250296091,1.9333333333333333,Blue,2024-09-25T01:00:32.904418,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,24.05,78.59126819126818,-1.6166666666666667,Blue,2024-09-25T01:00:33.004237,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.8,92.71739130434781,-0.7833333333333333,Blue,2024-09-25T01:00:33.092478,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.55,70.96497175141243,-0.9833333333333333,Blue,2024-09-25T01:00:33.171951,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.333333333333334,86.2992,-0.15,Blue,2024-09-25T01:00:33.245728,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.816666666666666,40.31455576559547,-0.11666666666666667,Blue,2024-09-25T01:00:33.321238,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.1666666666666665,40.62315789473684,-0.016666666666666666,Blue,2024-09-25T01:00:33.401794,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,15.05,76.19800664451826,3.216666666666667,Orange,2024-09-25T01:00:33.471459,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,14.183333333333334,82.27544065804936,-1.4333333333333333,Blue,2024-09-25T01:00:33.548080,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,3.966666666666667,39.10084033613445,-0.38333333333333336,Blue,2024-09-25T01:00:33.634803,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,13.716666666666667,61.09501822600243,0.15,Blue,2024-09-25T01:00:33.716135,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.333333333333334,80.98649999999999,-0.6333333333333333,Blue,2024-09-25T01:00:33.810101,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,8.933333333333334,52.99253731343283,-1.7333333333333334,Blue,2024-09-25T01:00:33.900883,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,8.783333333333333,75.25161290322582,0.6333333333333333,Yellow,2024-09-25T01:00:33.982666,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,15.45,76.01941747572815,3.3,Orange,2024-09-25T01:00:34.019087,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,7.316666666666666,62.479271070615034,-0.21666666666666667,Blue,2024-09-25T01:00:34.098434,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
