road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.316666666666666,30.955865463494668,-0.15,Blue,2024-09-25T04:00:29.928537,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.0,23.969999999999995,-0.9833333333333333,Blue,2024-09-25T04:00:30.037002,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.333333333333332,37.970689655172414,-0.5666666666666667,Blue,2024-09-25T04:00:30.146862,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.033333333333335,85.0050880626223,-1.2166666666666666,Blue,2024-09-25T04:00:30.249156,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.9,96.28623853211009,-1.3833333333333333,Blue,2024-09-25T04:00:30.343377,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.8666666666666667,42.08275862068966,-0.23333333333333334,Blue,2024-09-25T04:00:30.447461,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.083333333333332,48.251191709844555,-0.38333333333333336,Blue,2024-09-25T04:00:30.533152,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.85,94.17373737373737,-0.3333333333333333,Blue,2024-09-25T04:00:30.609023,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,5.966666666666667,55.99106145251396,-0.4,Blue,2024-09-25T04:00:30.689743,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,30.533333333333335,68.00305676855895,-3.9,Blue,2024-09-25T04:00:30.810568,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.416666666666666,44.07929203539823,-0.18333333333333332,Blue,2024-09-25T04:00:30.895382,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,14.366666666666667,50.31647331786542,1.7166666666666666,Yellow,2024-09-25T04:00:30.974925,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
