road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.533333333333335,32.19726962457337,-0.9333333333333333,Blue,2024-09-25T15:00:30.505813,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.266666666666667,22.95,-0.7166666666666667,Blue,2024-09-25T15:00:30.625729,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.366666666666667,37.90533562822719,-0.5333333333333333,Blue,2024-09-25T15:00:30.726629,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,18.833333333333332,76.88070796460178,0.5833333333333334,Blue,2024-09-25T15:00:30.843624,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.512,20.966666666666665,50.11383147853737,7.85,Red,2024-09-25T15:00:30.954979,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,7.95,20.467924528301886,3.85,Red,2024-09-25T15:00:31.054014,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.116666666666667,48.15139607032057,-0.35,Blue,2024-09-25T15:00:31.153773,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,16.9,82.75029585798818,1.7166666666666666,Yellow,2024-09-25T15:00:31.225244,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.366666666666666,52.47329842931937,0.0,Blue,2024-09-25T15:00:31.363876,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,7.966666666666667,48.8560669456067,-1.25,Blue,2024-09-25T15:00:31.474294,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.6,43.2375,0.0,Blue,2024-09-25T15:00:31.561822,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.916666666666666,60.66125874125874,-0.7333333333333333,Blue,2024-09-25T15:00:31.653287,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.9166666666666665,41.71885714285714,-0.13333333333333333,Blue,2024-09-25T15:00:31.751498,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,15.221,26.616666666666667,34.31158422041327,3.9833333333333334,Yellow,2024-09-25T15:00:31.860715,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,11.866666666666667,32.764044943820224,2.2666666666666666,Orange,2024-09-25T15:00:31.943949,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
