road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.416666666666668,29.365914396887156,0.95,Blue,2024-09-25T18:00:30.047208,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.95,24.17142857142857,-1.0333333333333334,Blue,2024-09-25T18:00:30.195090,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.383333333333333,37.87274290627687,-0.5166666666666667,Blue,2024-09-25T18:00:30.372137,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,19.716666666666665,73.43634826711751,1.4666666666666666,Yellow,2024-09-25T18:00:30.522560,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.866666666666667,88.44269662921349,-0.4166666666666667,Blue,2024-09-25T18:00:30.620375,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.95,32.872727272727275,0.85,Orange,2024-09-25T18:00:30.719588,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.416666666666668,47.27147208121826,-0.05,Blue,2024-09-25T18:00:30.819228,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,17.55,79.68547008547007,2.3666666666666667,Yellow,2024-09-25T18:00:30.918655,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.733333333333333,49.61584158415841,0.36666666666666664,Yellow,2024-09-25T18:00:31.023282,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.546,31.683333333333334,65.4211467648606,-3.466666666666667,Blue,2024-09-25T18:00:31.130709,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.5,43.69263157894737,-0.1,Blue,2024-09-25T18:00:31.264072,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.416666666666666,58.21852348993289,-0.23333333333333334,Blue,2024-09-25T18:00:31.394778,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.033333333333333,40.114285714285714,-0.016666666666666666,Blue,2024-09-25T18:00:31.537602,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,17.783333333333335,40.37600749765698,0.45,Blue,2024-09-25T18:00:31.657028,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.75,39.87692307692308,0.15,Blue,2024-09-25T18:00:31.744212,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.066666666666666,42.33982300884956,0.11666666666666667,Blue,2024-09-25T18:00:31.829480,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.033333333333333,39.54015345268542,-0.06666666666666667,Blue,2024-09-25T18:00:31.927052,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.1,44.69770992366413,-1.2666666666666666,Blue,2024-09-25T18:00:32.042605,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.4,40.59193548387096,1.1,Yellow,2024-09-25T18:00:32.149867,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,13.133333333333333,49.19847715736041,-0.5166666666666667,Blue,2024-09-25T18:00:32.277038,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.216666666666665,46.222816032887984,-0.6666666666666666,Blue,2024-09-25T18:00:32.389406,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.866666666666667,77.59719101123595,-1.45,Blue,2024-09-25T18:00:32.477944,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.75,46.888421052631585,-0.08333333333333333,Blue,2024-09-25T18:00:32.605842,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.233333333333333,43.537906137184116,-0.3333333333333333,Blue,2024-09-25T18:00:32.695697,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
