road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.8,30.23653846153846,0.3333333333333333,Blue,2024-09-25T20:00:30.193587,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.016666666666667,23.90360110803324,-0.9666666666666667,Blue,2024-09-25T20:00:30.318665,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.716666666666665,37.23245984784447,-0.18333333333333332,Blue,2024-09-25T20:00:30.423473,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.633333333333333,82.11266540642723,-0.6166666666666667,Blue,2024-09-25T20:00:30.536231,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.883333333333333,88.3186535764376,-0.4,Blue,2024-09-25T20:00:30.633486,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.816666666666667,42.63406113537118,-0.2833333333333333,Blue,2024-09-25T20:00:30.732140,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.283333333333335,47.65854657113613,-0.18333333333333332,Blue,2024-09-25T20:00:30.824992,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.65,89.35974440894567,0.4666666666666667,Blue,2024-09-25T20:00:30.882047,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.633333333333334,50.36381909547738,0.26666666666666666,Blue,2024-09-25T20:00:30.975606,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.383333333333333,46.42783300198807,-0.8333333333333334,Blue,2024-09-25T20:00:31.068713,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.733333333333333,42.64520547945206,0.13333333333333333,Blue,2024-09-25T20:00:31.149317,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.05,59.990041493775934,-0.6,Blue,2024-09-25T20:00:31.229567,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8833333333333333,42.20115606936417,-0.16666666666666666,Blue,2024-09-25T20:00:31.304188,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.266666666666666,44.14057377049181,-1.0666666666666667,Blue,2024-09-25T20:00:31.404113,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.0,43.2,-0.6,Blue,2024-09-25T20:00:31.485502,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.366666666666667,44.402784222737814,-0.5833333333333334,Blue,2024-09-25T20:00:31.562374,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.766666666666667,40.36605744125326,-0.3333333333333333,Blue,2024-09-25T20:00:31.665863,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,15.05,38.906312292358805,0.6833333333333333,Blue,2024-09-25T20:00:31.749842,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,13.1,38.422900763358776,1.8,Yellow,2024-09-25T20:00:31.826272,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.633333333333333,51.14564643799473,-1.0166666666666666,Blue,2024-09-25T20:00:31.926926,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.2,46.27037037037038,-0.6833333333333333,Blue,2024-09-25T20:00:32.013349,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.933333333333334,71.19742268041237,-0.38333333333333336,Blue,2024-09-25T20:00:32.114059,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.083333333333333,43.81377049180328,0.25,Yellow,2024-09-25T20:00:32.222287,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.166666666666666,43.85454545454546,-0.4,Blue,2024-09-25T20:00:32.332412,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-25T20:00:32.424589,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.9,62.49696969696969,1.0666666666666667,Yellow,2024-09-25T20:00:32.514128,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.35,62.82696629213483,-0.3,Blue,2024-09-25T20:00:32.595814,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.466666666666667,64.8109756097561,0.21666666666666667,Blue,2024-09-25T20:00:32.673157,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,44.516666666666666,74.13223511793336,4.233333333333333,Yellow,2024-09-25T20:00:32.778097,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,24.533333333333335,77.04293478260868,-1.1333333333333333,Blue,2024-09-25T20:00:32.881332,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.4,88.85416666666666,-0.18333333333333332,Blue,2024-09-25T20:00:32.960752,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,27.5,68.51345454545455,-0.03333333333333333,Blue,2024-09-25T20:00:33.050897,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.466666666666667,84.94015748031497,-0.016666666666666666,Blue,2024-09-25T20:00:33.141348,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.683333333333334,40.93358925143954,-0.25,Blue,2024-09-25T20:00:33.226856,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.066666666666667,41.947826086956525,-0.11666666666666667,Blue,2024-09-25T20:00:33.338890,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,14.116666666666667,81.23589138134592,2.283333333333333,Yellow,2024-09-25T20:00:33.430494,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,18.116666666666667,64.41251149954002,2.5,Yellow,2024-09-25T20:00:33.514711,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.316666666666666,35.93050193050193,-0.03333333333333333,Blue,2024-09-25T20:00:33.630646,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,14.05,59.645551601423485,0.48333333333333334,Blue,2024-09-25T20:00:33.713419,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.183333333333334,81.9079646017699,-0.7833333333333333,Blue,2024-09-25T20:00:33.799340,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,12.916666666666666,36.65032258064516,2.25,Orange,2024-09-25T20:00:33.876482,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
