road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.65,33.722252010723864,-1.8166666666666667,Blue,2024-09-26T02:00:29.887557,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.866666666666666,24.514772727272728,-1.1166666666666667,Blue,2024-09-26T02:00:29.992944,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.533333333333335,37.58191126279863,-0.36666666666666664,Blue,2024-09-26T02:00:30.098227,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.016666666666666,85.08834476003919,-1.2333333333333334,Blue,2024-09-26T02:00:30.227464,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.266666666666667,93.15266272189349,-1.0166666666666666,Blue,2024-09-26T02:00:30.319539,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.5,46.49142857142857,-0.6,Blue,2024-09-26T02:00:30.415996,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.466666666666665,47.127935222672065,0.0,Blue,2024-09-26T02:00:30.507288,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.466666666666667,96.66912442396314,-0.7166666666666667,Blue,2024-09-26T02:00:30.562106,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.15,54.32195121951219,-0.21666666666666667,Blue,2024-09-26T02:00:30.647341,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.133333333333333,47.85491803278689,-1.0833333333333333,Blue,2024-09-26T02:00:30.751341,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.4,44.157446808510635,-0.2,Blue,2024-09-26T02:00:30.818718,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,13.59,13.25,61.53962264150943,-0.8166666666666667,Blue,2024-09-26T02:00:30.896786,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.933333333333333,41.481818181818184,-0.11666666666666667,Blue,2024-09-26T02:00:30.977044,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.85,45.30094637223975,-1.4833333333333334,Blue,2024-09-26T02:00:31.072974,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.0,43.2,-0.6,Blue,2024-09-26T02:00:31.156371,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.5,41.15612903225806,0.55,Blue,2024-09-26T02:00:31.228521,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.95,39.7945945945946,-0.15,Blue,2024-09-26T02:00:31.294647,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.5,43.373333333333335,-0.8666666666666667,Blue,2024-09-26T02:00:31.378540,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.95,45.96712328767123,-0.35,Blue,2024-09-26T02:00:31.450249,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.083333333333334,53.47365517241379,-1.5666666666666667,Blue,2024-09-26T02:00:31.531143,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.3,45.98650306748466,-0.5833333333333334,Blue,2024-09-26T02:00:31.605022,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.816666666666666,71.84551365409622,-0.5,Blue,2024-09-26T02:00:31.697766,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.8,46.4,-0.03333333333333333,Blue,2024-09-26T02:00:31.774119,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.716666666666667,41.37221269296741,0.15,Blue,2024-09-26T02:00:31.854829,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-26T02:00:31.932107,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.333333333333334,66.29142857142857,0.5,Yellow,2024-09-26T02:00:32.015572,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.05,64.27126436781609,-0.6,Blue,2024-09-26T02:00:32.073019,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
