road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.316666666666666,32.558412424503885,-1.15,Blue,2024-09-26T03:00:30.060199,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.883333333333334,24.445325779036825,-1.1,Blue,2024-09-26T03:00:30.161769,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.216666666666665,38.20121422376409,-0.6833333333333333,Blue,2024-09-26T03:00:30.256931,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.466666666666665,87.93036437246964,-1.7833333333333334,Blue,2024-09-26T03:00:30.359796,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.75,97.62976744186047,-1.5333333333333334,Blue,2024-09-26T03:00:30.448872,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.016666666666667,40.51120331950208,-0.08333333333333333,Blue,2024-09-26T03:00:30.544762,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.15,48.05201238390092,-0.31666666666666665,Blue,2024-09-26T03:00:30.636178,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.15,98.83250883392226,-1.0333333333333334,Blue,2024-09-26T03:00:30.691633,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,5.866666666666666,56.945454545454545,-0.5,Blue,2024-09-26T03:00:30.776041,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.183333333333334,47.56252545824847,-1.0333333333333334,Blue,2024-09-26T03:00:30.882496,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.516666666666667,43.61611208406305,-0.08333333333333333,Blue,2024-09-26T03:00:30.962462,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.116666666666667,59.65997248968363,-0.5333333333333333,Blue,2024-09-26T03:00:31.039576,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8833333333333333,42.20115606936417,-0.16666666666666666,Blue,2024-09-26T03:00:31.114943,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.466666666666667,46.42370689655173,-1.8666666666666667,Blue,2024-09-26T03:00:31.201585,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.016666666666667,43.12014787430684,-0.5833333333333334,Blue,2024-09-26T03:00:31.278607,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.166666666666666,42.06065934065934,0.21666666666666667,Blue,2024-09-26T03:00:31.354324,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.766666666666667,40.36605744125326,-0.3333333333333333,Blue,2024-09-26T03:00:31.429839,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.883333333333333,45.44941785252264,-1.4833333333333334,Blue,2024-09-26T03:00:31.503996,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.0,41.94499999999999,0.7,Yellow,2024-09-26T03:00:31.582139,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.766666666666667,54.91274787535411,-1.8833333333333333,Blue,2024-09-26T03:00:31.657507,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.333333333333332,45.89265306122449,-0.55,Blue,2024-09-26T03:00:31.743291,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.9,77.3798319327731,-1.4166666666666667,Blue,2024-09-26T03:00:31.818873,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.566666666666666,48.77080291970804,-0.26666666666666666,Blue,2024-09-26T03:00:31.896108,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.466666666666667,42.46478873239437,-0.1,Blue,2024-09-26T03:00:31.985646,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-26T03:00:32.067516,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.7,71.11724137931034,-0.13333333333333333,Blue,2024-09-26T03:00:32.141003,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.2,68.74918032786886,-1.45,Blue,2024-09-26T03:00:32.204399,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.9,72.30612244897958,-0.35,Blue,2024-09-26T03:00:32.280170,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,38.666666666666664,85.34793103448277,-1.6166666666666667,Blue,2024-09-26T03:00:32.366023,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.333333333333332,81.00514285714286,-2.3333333333333335,Blue,2024-09-26T03:00:32.449540,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.45,95.13011152416357,-1.1333333333333333,Blue,2024-09-26T03:00:32.516330,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,25.283333333333335,74.5202373104812,-2.25,Blue,2024-09-26T03:00:32.610615,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,7.833333333333333,91.80765957446809,-0.65,Blue,2024-09-26T03:00:32.689504,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
