road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.933333333333334,31.55117056856187,-0.5333333333333333,Blue,2024-09-26T04:00:30.155011,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.05,23.77190082644628,-0.9333333333333333,Blue,2024-09-26T04:00:30.276085,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.45,37.742930591259636,-0.45,Blue,2024-09-26T04:00:30.368777,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,21.783333333333335,66.46916602907422,3.533333333333333,Yellow,2024-09-26T04:00:30.472750,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.95,95.84657534246575,-1.3333333333333333,Blue,2024-09-26T04:00:30.563208,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.283333333333333,37.98910505836576,0.18333333333333332,Blue,2024-09-26T04:00:30.675115,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.033333333333335,48.4016632016632,-0.43333333333333335,Blue,2024-09-26T04:00:30.767092,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,19.2,72.83749999999999,4.016666666666667,Orange,2024-09-26T04:00:30.833796,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.066666666666666,55.068131868131864,-0.3,Blue,2024-09-26T04:00:30.919687,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,31.183333333333334,66.5855692143239,-3.25,Blue,2024-09-26T04:00:31.005615,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.416666666666666,44.07929203539823,-0.18333333333333332,Blue,2024-09-26T04:00:31.079484,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,13.789,13.45,61.51226765799257,-1.1166666666666667,Blue,2024-09-26T04:00:31.177704,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.183333333333333,38.22408376963351,0.13333333333333333,Blue,2024-09-26T04:00:31.260242,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.366666666666667,46.72581344902386,-1.9666666666666666,Blue,2024-09-26T04:00:31.341589,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.15,42.49180327868853,-0.45,Blue,2024-09-26T04:00:31.420297,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.216666666666667,41.92245345016429,0.26666666666666666,Blue,2024-09-26T04:00:31.493203,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.716666666666667,40.52477064220184,-0.38333333333333336,Blue,2024-09-26T04:00:31.565980,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,11.966666666666667,48.93091922005571,-2.4,Blue,2024-09-26T04:00:31.641070,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.25,41.08897959183673,0.95,Yellow,2024-09-26T04:00:31.715726,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.866666666666667,54.45,-1.7833333333333334,Blue,2024-09-26T04:00:31.795757,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.25,46.12800000000001,-0.6333333333333333,Blue,2024-09-26T04:00:31.867726,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.55,73.37211155378486,-0.7666666666666667,Blue,2024-09-26T04:00:31.942167,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.533333333333333,49.129411764705885,-0.3,Blue,2024-09-26T04:00:32.013879,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.4,42.76595744680851,-0.16666666666666666,Blue,2024-09-26T04:00:32.091312,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-26T04:00:32.260415,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.366666666666667,73.95059760956174,-0.4666666666666667,Blue,2024-09-26T04:00:32.339764,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.283333333333333,68.28276797829037,-1.3666666666666667,Blue,2024-09-26T04:00:32.402038,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.0,70.86000000000001,-0.25,Blue,2024-09-26T04:00:32.473873,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.007,52.7,62.62656546489563,10.983333333333333,Orange,2024-09-26T04:00:32.646808,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,22.966666666666665,82.29840348330914,-2.7,Blue,2024-09-26T04:00:32.746784,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.633333333333333,93.85085574572128,-0.95,Blue,2024-09-26T04:00:32.823536,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
