road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.333333333333332,32.530344827586205,-1.1333333333333333,Blue,2024-09-26T07:00:30.125353,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.183333333333334,23.259299191374662,-0.8,Blue,2024-09-26T07:00:30.268503,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.35,37.93798449612403,-0.55,Blue,2024-09-26T07:00:30.374823,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.0,85.17176470588237,-1.25,Blue,2024-09-26T07:00:30.501020,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.383333333333333,92.19795021961934,-0.9,Blue,2024-09-26T07:00:30.597373,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.0,40.68000000000001,-0.1,Blue,2024-09-26T07:00:30.681809,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.133333333333333,48.10165289256198,-0.3333333333333333,Blue,2024-09-26T07:00:30.763749,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.783333333333333,94.59842164599775,-0.4,Blue,2024-09-26T07:00:30.837144,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.15,54.32195121951219,-0.21666666666666667,Blue,2024-09-26T07:00:30.931010,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.366666666666667,46.5203187250996,-0.85,Blue,2024-09-26T07:00:31.045745,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.483333333333333,43.769420035149395,-0.11666666666666667,Blue,2024-09-26T07:00:31.129481,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
