road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.166666666666668,31.186115702479334,-0.3,Blue,2024-09-26T10:00:29.823711,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.983333333333333,24.03676880222841,-1.0,Blue,2024-09-26T10:00:29.927983,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.2,38.234375,-0.7,Blue,2024-09-26T10:00:30.040736,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.983333333333334,85.25534838076545,-1.2666666666666666,Blue,2024-09-26T10:00:30.155282,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.516666666666667,91.13053545586108,-0.7666666666666667,Blue,2024-09-26T10:00:30.275575,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.816666666666667,42.63406113537118,-0.2833333333333333,Blue,2024-09-26T10:00:30.381271,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.116666666666667,48.15139607032057,-0.35,Blue,2024-09-26T10:00:30.487620,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.583333333333334,95.89577142857144,-0.6,Blue,2024-09-26T10:00:30.532245,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.0,55.67999999999999,-0.36666666666666664,Blue,2024-09-26T10:00:30.680623,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,30.633333333333333,67.7810663764962,-3.8,Blue,2024-09-26T10:00:30.779796,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.466666666666667,43.84647887323944,-0.13333333333333333,Blue,2024-09-26T10:00:30.864547,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.1,59.74214876033058,-0.55,Blue,2024-09-26T10:00:30.948417,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.9166666666666665,41.71885714285714,-0.13333333333333333,Blue,2024-09-26T10:00:31.039032,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,18.766666666666666,38.26039076376554,1.4333333333333333,Yellow,2024-09-26T10:00:31.128035,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.283333333333333,41.881508078994614,-0.31666666666666665,Blue,2024-09-26T10:00:31.229295,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.35,44.45435540069686,-0.6,Blue,2024-09-26T10:00:31.346393,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.466666666666667,41.33743315508021,-0.6333333333333333,Blue,2024-09-26T10:00:31.443847,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.474,14.616666666666667,63.51927023945268,-0.4,Blue,2024-09-26T10:00:31.526206,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,7.693,12.416666666666666,37.17422818791946,0.35,Blue,2024-09-26T10:00:31.611542,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.25,52.74612244897959,-1.4,Blue,2024-09-26T10:00:31.706436,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.2,49.31447368421053,-1.6833333333333333,Blue,2024-09-26T10:00:31.798410,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.633333333333333,72.88812664907651,-0.6833333333333333,Blue,2024-09-26T10:00:31.875176,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.05,44.10297029702971,0.21666666666666667,Blue,2024-09-26T10:00:31.954773,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.7,46.20689655172414,-0.8666666666666667,Blue,2024-09-26T10:00:32.046537,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-26T10:00:32.291626,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.5,72.79058823529411,-0.3333333333333333,Blue,2024-09-26T10:00:32.397800,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.516666666666667,67.00985352862848,-1.1333333333333333,Blue,2024-09-26T10:00:32.471493,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.966666666666667,71.33557046979865,-0.2833333333333333,Blue,2024-09-26T10:00:32.553115,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,41.28333333333333,79.93831247476787,1.0,Blue,2024-09-26T10:00:32.704548,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.783333333333335,79.47245970567624,-1.8833333333333333,Blue,2024-09-26T10:00:32.798601,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.383333333333333,88.95712630359212,-0.2,Blue,2024-09-26T10:00:32.873959,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.066666666666666,72.28081841432225,-1.4666666666666666,Blue,2024-09-26T10:00:32.955358,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.183333333333334,87.88105906313646,-0.3,Blue,2024-09-26T10:00:33.044577,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,11.183333333333334,31.783010432190764,2.25,Orange,2024-09-26T10:00:33.131812,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,4.2,30.628571428571426,1.0166666666666666,Orange,2024-09-26T10:00:33.238212,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.666666666666666,107.510625,-1.1666666666666667,Blue,2024-09-26T10:00:33.334387,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,19.366666666666667,60.25507745266782,3.75,Orange,2024-09-26T10:00:33.424997,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,6.066666666666666,25.565934065934066,1.7166666666666666,Orange,2024-09-26T10:00:33.537663,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.683333333333334,66.07253613666228,-0.8833333333333333,Blue,2024-09-26T10:00:33.634293,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.116666666666667,82.32426937738246,-0.85,Blue,2024-09-26T10:00:33.711279,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
