road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.633333333333333,29.071802773497687,1.1666666666666667,Yellow,2024-09-26T19:00:30.652888,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.066666666666666,23.706593406593406,-0.9166666666666666,Blue,2024-09-26T19:00:30.788988,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.483333333333334,37.678357570573134,-0.4166666666666667,Blue,2024-09-26T19:00:30.906157,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,19.8,73.12727272727273,1.55,Yellow,2024-09-26T19:00:31.026347,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.0,87.46,-0.2833333333333333,Blue,2024-09-26T19:00:31.141611,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,5.916666666666667,27.501971830985916,1.8166666666666667,Orange,2024-09-26T19:00:31.257288,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.383333333333333,47.3676500508647,-0.08333333333333333,Blue,2024-09-26T19:00:31.341201,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,17.8,78.56629213483146,2.6166666666666667,Yellow,2024-09-26T19:00:31.401814,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.7,49.862686567164175,0.3333333333333333,Yellow,2024-09-26T19:00:31.511264,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.546,32.016666666666666,64.74003123373242,-3.1333333333333333,Blue,2024-09-26T19:00:31.610854,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.7,42.79175257731959,0.1,Blue,2024-09-26T19:00:31.717501,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,13.75,52.57309090909091,1.1,Yellow,2024-09-26T19:00:31.800279,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.1,39.251612903225805,0.05,Blue,2024-09-26T19:00:31.886716,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
