road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.2,29.666037735849056,0.7333333333333333,Blue,2024-09-26T21:00:30.744083,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.25,23.0112,-0.7333333333333333,Blue,2024-09-26T21:00:30.842962,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.483333333333334,37.678357570573134,-0.4166666666666667,Blue,2024-09-26T21:00:30.948798,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.933333333333334,80.73903345724908,-0.31666666666666665,Blue,2024-09-26T21:00:31.048131,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,17.866666666666667,58.741791044776114,5.583333333333333,Orange,2024-09-26T21:00:31.138395,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.083333333333333,39.849795918367356,-0.016666666666666666,Blue,2024-09-26T21:00:31.251017,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.25,47.75630769230769,-0.21666666666666667,Blue,2024-09-26T21:00:31.346458,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,16.083333333333332,86.95212435233161,0.9,Yellow,2024-09-26T21:00:31.398979,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.716666666666667,49.738957816377166,0.35,Yellow,2024-09-26T21:00:31.487529,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.283333333333335,58.08764940239044,-1.35,Blue,2024-09-26T21:00:31.576983,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.716666666666667,42.71835334476844,0.11666666666666667,Blue,2024-09-26T21:00:31.663013,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,11.016666666666667,59.11406959152798,-0.45,Blue,2024-09-26T21:00:31.736678,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.966666666666667,41.01573033707865,-0.08333333333333333,Blue,2024-09-26T21:00:31.813141,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,17.166666666666668,41.826407766990286,-0.16666666666666666,Blue,2024-09-26T21:00:31.909093,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.816666666666666,44.09829867674859,-0.7833333333333333,Blue,2024-09-26T21:00:31.994802,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.666666666666666,43.49454545454545,-0.2833333333333333,Blue,2024-09-26T21:00:32.081074,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.333333333333334,41.784324324324324,-0.7666666666666667,Blue,2024-09-26T21:00:32.150492,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.466666666666667,46.96844919786096,-1.9,Blue,2024-09-26T21:00:32.235452,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,13.333333333333334,37.750499999999995,2.033333333333333,Yellow,2024-09-26T21:00:32.323118,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.983333333333333,49.76688061617458,-0.6666666666666666,Blue,2024-09-26T21:00:32.404506,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.083333333333332,46.606010362694306,-0.8,Blue,2024-09-26T21:00:32.488617,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.35,74.56032388663967,-0.9666666666666667,Blue,2024-09-26T21:00:32.568659,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.683333333333334,47.555871886121,-0.15,Blue,2024-09-26T21:00:32.640497,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.916666666666666,45.084112149532714,-0.65,Blue,2024-09-26T21:00:32.715961,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-26T21:00:32.805402,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.983333333333333,68.87421150278294,0.15,Blue,2024-09-26T21:00:32.894835,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.266666666666667,63.221608040201,-0.38333333333333336,Blue,2024-09-26T21:00:32.962446,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.55,63.83783783783784,0.3,Yellow,2024-09-26T21:00:33.056170,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,41.7,79.13956834532374,1.4166666666666667,Blue,2024-09-26T21:00:33.180344,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,29.966666666666665,63.07408231368187,4.3,Yellow,2024-09-26T21:00:33.307901,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.95,91.72043010752688,-0.6333333333333333,Blue,2024-09-26T21:00:33.382577,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
