road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.45,34.08780487804878,-2.0166666666666666,Blue,2024-09-27T01:00:30.112698,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.716666666666667,25.158017492711366,-1.2666666666666666,Blue,2024-09-27T01:00:30.215175,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.266666666666666,38.102076124567475,-0.6333333333333333,Blue,2024-09-27T01:00:30.325460,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.65,86.96216216216217,-1.6,Blue,2024-09-27T01:00:30.427614,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,15.366666666666667,68.29848156182213,3.0833333333333335,Orange,2024-09-27T01:00:30.518267,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.65,44.58082191780822,-0.45,Blue,2024-09-27T01:00:30.605886,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.216666666666665,47.85447070914697,-0.25,Blue,2024-09-27T01:00:30.700773,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.483333333333333,96.55788262370541,-0.7,Blue,2024-09-27T01:00:30.745379,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,5.983333333333333,55.83509749303621,-0.38333333333333336,Blue,2024-09-27T01:00:30.828450,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.45,57.75891341256367,-1.1833333333333333,Blue,2024-09-27T01:00:30.907886,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.216666666666667,45.035804701627484,-0.38333333333333336,Blue,2024-09-27T01:00:30.991372,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.366666666666667,63.59648093841642,-1.2833333333333334,Blue,2024-09-27T01:00:31.088446,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.9833333333333334,40.78659217877095,-0.06666666666666667,Blue,2024-09-27T01:00:31.156628,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.066666666666666,47.65619469026549,-2.2666666666666666,Blue,2024-09-27T01:00:31.237557,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.458,8.3,46.68433734939759,-1.0666666666666667,Blue,2024-09-27T01:00:31.309262,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.85,42.95757575757575,-0.1,Blue,2024-09-27T01:00:31.383953,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.7,40.57795275590552,-0.4,Blue,2024-09-27T01:00:31.461169,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.35,47.412145748987854,-2.0166666666666666,Blue,2024-09-27T01:00:31.534282,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.183333333333334,49.4278232405892,-1.1166666666666667,Blue,2024-09-27T01:00:31.610544,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.25,52.74612244897959,-1.4,Blue,2024-09-27T01:00:31.688521,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.066666666666666,46.65435684647303,-0.8166666666666667,Blue,2024-09-27T01:00:31.756981,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.75,72.22117647058823,-0.5666666666666667,Blue,2024-09-27T01:00:31.830227,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.65,47.89677419354839,-0.18333333333333332,Blue,2024-09-27T01:00:31.910114,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.6,46.74418604651163,-0.9666666666666667,Blue,2024-09-27T01:00:31.988901,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-27T01:00:32.069528,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.283333333333333,74.69456740442656,-0.55,Blue,2024-09-27T01:00:32.152309,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.933333333333334,64.85103092783505,-0.7166666666666667,Blue,2024-09-27T01:00:32.212457,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.233333333333333,67.70063694267516,-0.016666666666666666,Blue,2024-09-27T01:00:32.288164,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,36.21666666666667,91.12158306488726,-4.066666666666666,Blue,2024-09-27T01:00:32.379219,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,22.933333333333334,82.41802325581395,-2.7333333333333334,Blue,2024-09-27T01:00:32.477949,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.933333333333334,91.83014354066985,-0.65,Blue,2024-09-27T01:00:32.557261,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,25.966666666666665,72.55917843388961,-1.5666666666666667,Blue,2024-09-27T01:00:32.632561,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,7.95,90.46037735849056,-0.5333333333333333,Blue,2024-09-27T01:00:32.709605,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.233333333333333,43.17085020242915,-0.7,Blue,2024-09-27T01:00:32.773587,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.3833333333333333,38.02167487684729,0.2,Yellow,2024-09-27T01:00:32.851903,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,11.516666666666667,99.57568740955138,-0.31666666666666665,Blue,2024-09-27T01:00:32.924548,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,13.6,85.80441176470589,-2.0166666666666666,Blue,2024-09-27T01:00:33.004973,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,3.816666666666667,40.637554585152834,-0.5333333333333333,Blue,2024-09-27T01:00:33.084828,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,13.3,63.009022556390974,-0.26666666666666666,Blue,2024-09-27T01:00:33.161609,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,12.933333333333334,83.49123711340206,-1.0333333333333334,Blue,2024-09-27T01:00:33.229703,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,8.783333333333333,53.89753320683112,-1.8833333333333333,Blue,2024-09-27T01:00:33.294561,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,8.483333333333333,77.91277013752457,0.3333333333333333,Blue,2024-09-27T01:00:33.361135,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
