road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.383333333333333,34.21142339075249,-2.0833333333333335,Blue,2024-09-27T02:00:30.025463,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.666666666666667,25.379999999999995,-1.3166666666666667,Blue,2024-09-27T02:00:30.120690,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.016666666666666,38.60297984224365,-0.8833333333333333,Blue,2024-09-27T02:00:30.220830,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.85,85.92997032640949,-1.4,Blue,2024-09-27T02:00:30.322339,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.0,95.4109090909091,-1.2833333333333334,Blue,2024-09-27T02:00:30.416032,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.4833333333333334,46.713875598086126,-0.6166666666666667,Blue,2024-09-27T02:00:30.514762,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.15,48.05201238390092,-0.31666666666666665,Blue,2024-09-27T02:00:30.605681,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.616666666666667,95.67708095781072,-0.5666666666666667,Blue,2024-09-27T02:00:30.657245,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.333333333333333,52.74947368421052,-0.03333333333333333,Blue,2024-09-27T02:00:30.747771,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,30.0,56.7,-0.6333333333333333,Blue,2024-09-27T02:00:30.842255,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.466666666666667,43.84647887323944,-0.13333333333333333,Blue,2024-09-27T02:00:30.917789,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.183333333333334,64.63904619970194,-1.4666666666666666,Blue,2024-09-27T02:00:30.999707,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.6666666666666665,45.63,-0.38333333333333336,Blue,2024-09-27T02:00:31.091921,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.633333333333333,45.92878464818764,-1.7,Blue,2024-09-27T02:00:31.180367,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.533333333333333,45.5625,-1.0666666666666667,Blue,2024-09-27T02:00:31.258405,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.9,42.81342281879194,-0.05,Blue,2024-09-27T02:00:31.344063,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.533333333333333,41.117553191489364,-0.5666666666666667,Blue,2024-09-27T02:00:31.418406,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.466666666666667,46.96844919786096,-1.9,Blue,2024-09-27T02:00:31.493161,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.45,48.16650717703349,-0.85,Blue,2024-09-27T02:00:31.567950,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.9,54.29747899159664,-1.75,Blue,2024-09-27T02:00:31.655852,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.083333333333332,46.606010362694306,-0.8,Blue,2024-09-27T02:00:31.732590,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.0,76.735,-1.3166666666666667,Blue,2024-09-27T02:00:31.818918,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.55,48.94945054945055,-0.2833333333333333,Blue,2024-09-27T02:00:31.898101,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.0,44.66666666666667,-0.5666666666666667,Blue,2024-09-27T02:00:31.979711,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
