road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.183333333333334,34.58771769019248,-2.283333333333333,Blue,2024-09-27T06:00:30.403420,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.883333333333334,24.445325779036825,-1.1,Blue,2024-09-27T06:00:30.517165,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.1,38.43455497382198,-0.8,Blue,2024-09-27T06:00:30.668242,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.433333333333334,88.10872210953347,-1.8166666666666667,Blue,2024-09-27T06:00:30.778705,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.9,96.28623853211009,-1.3833333333333333,Blue,2024-09-27T06:00:30.887617,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.9833333333333334,40.850209205020924,-0.11666666666666667,Blue,2024-09-27T06:00:30.985313,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.033333333333335,48.4016632016632,-0.43333333333333335,Blue,2024-09-27T06:00:31.078501,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.166666666666666,98.71623529411765,-1.0166666666666666,Blue,2024-09-27T06:00:31.143786,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.0,55.67999999999999,-0.36666666666666664,Blue,2024-09-27T06:00:31.236349,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.411,27.416666666666668,62.176048632218844,-2.5,Blue,2024-09-27T06:00:31.322091,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.233333333333333,44.95451263537907,-0.36666666666666664,Blue,2024-09-27T06:00:31.428727,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.216666666666667,64.44695393759287,-1.4333333333333333,Blue,2024-09-27T06:00:31.510870,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.75,44.24727272727273,-0.3,Blue,2024-09-27T06:00:31.588034,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,14.083333333333334,50.983668639053256,-3.25,Blue,2024-09-27T06:00:31.675294,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.95,43.441340782122914,-0.65,Blue,2024-09-27T06:00:31.760181,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.55,43.84329896907216,-0.4,Blue,2024-09-27T06:00:31.837844,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.783333333333333,40.313428943937424,-0.31666666666666665,Blue,2024-09-27T06:00:31.938259,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.033333333333333,48.65983379501385,-2.3333333333333335,Blue,2024-09-27T06:00:32.036093,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.383333333333333,44.21727672035139,0.08333333333333333,Blue,2024-09-27T06:00:32.125007,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.933333333333334,54.14581005586592,-1.7166666666666666,Blue,2024-09-27T06:00:32.210001,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.05,46.702803738317755,-0.8333333333333334,Blue,2024-09-27T06:00:32.304511,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.5,73.6656,-0.8166666666666667,Blue,2024-09-27T06:00:32.381042,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.6,48.41739130434783,-0.23333333333333334,Blue,2024-09-27T06:00:32.460508,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.816666666666666,45.59546313799623,-0.75,Blue,2024-09-27T06:00:32.541416,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-27T06:00:32.639101,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.916666666666666,69.38915887850467,0.08333333333333333,Blue,2024-09-27T06:00:32.730882,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.05,69.60497925311203,-1.6,Blue,2024-09-27T06:00:32.798616,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.166666666666667,68.5741935483871,-0.08333333333333333,Blue,2024-09-27T06:00:32.880562,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,36.5,90.41424657534247,-3.783333333333333,Blue,2024-09-27T06:00:32.969714,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,22.85,82.71859956236322,-2.816666666666667,Blue,2024-09-27T06:00:33.072789,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.4,88.85416666666666,-0.18333333333333332,Blue,2024-09-27T06:00:33.148399,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,25.333333333333332,74.37315789473685,-2.2,Blue,2024-09-27T06:00:33.242997,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,7.8,92.2,-0.6833333333333333,Blue,2024-09-27T06:00:33.322146,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.116666666666667,43.79137577002054,-0.8166666666666667,Blue,2024-09-27T06:00:33.423661,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.1666666666666665,40.62315789473684,-0.016666666666666666,Blue,2024-09-27T06:00:33.504753,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,12.183333333333334,94.12694938440491,0.35,Blue,2024-09-27T06:00:33.588084,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,13.366666666666667,87.30224438902744,-2.25,Blue,2024-09-27T06:00:33.666550,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,3.816666666666667,40.637554585152834,-0.5333333333333333,Blue,2024-09-27T06:00:33.757975,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,13.033333333333333,64.29820971867008,-0.5333333333333333,Blue,2024-09-27T06:00:33.875857,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,12.583333333333334,85.81350993377484,-1.3833333333333333,Blue,2024-09-27T06:00:33.964211,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,9.333333333333334,50.72142857142857,-1.3333333333333333,Blue,2024-09-27T06:00:34.047053,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,8.083333333333334,81.7682474226804,-0.06666666666666667,Blue,2024-09-27T06:00:34.117716,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,12.5,93.96,0.35,Blue,2024-09-27T06:00:34.174996,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,6.833333333333333,66.89853658536585,-0.7,Blue,2024-09-27T06:00:34.263787,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,9.666666666666666,68.60482758620691,-0.9333333333333333,Blue,2024-09-27T06:00:34.350082,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,9.183333333333334,94.81524500907442,-1.9,Blue,2024-09-27T06:00:34.448098,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,9.166666666666666,76.50327272727274,-0.8,Blue,2024-09-27T06:00:34.527221,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.066666666666666,38.07564575645756,-0.6166666666666667,Blue,2024-09-27T06:00:34.609709,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,9.633333333333333,82.05259515570935,-1.05,Blue,2024-09-27T06:00:34.700772,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
