road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.633333333333333,33.75241502683363,-1.8333333333333333,Blue,2024-09-27T09:00:30.049140,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.866666666666666,24.514772727272728,-1.1166666666666667,Blue,2024-09-27T09:00:30.161679,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.816666666666666,39.0132860938884,-1.0833333333333333,Blue,2024-09-27T09:00:30.314507,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.15,89.6544891640867,-2.1,Blue,2024-09-27T09:00:30.445647,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.6,99.01132075471699,-1.6833333333333333,Blue,2024-09-27T09:00:30.561150,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.85,42.26493506493507,-0.25,Blue,2024-09-27T09:00:30.667563,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.933333333333334,48.70543933054393,-0.5333333333333333,Blue,2024-09-27T09:00:30.762063,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,13.7,102.07883211678832,-1.4833333333333334,Blue,2024-09-27T09:00:30.833570,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.0,55.67999999999999,-0.36666666666666664,Blue,2024-09-27T09:00:30.950525,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,28.266666666666666,49.47665094339623,-3.816666666666667,Blue,2024-09-27T09:00:31.062232,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.1,45.613186813186815,-0.5,Blue,2024-09-27T09:00:31.198702,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.0,65.71636363636364,-1.65,Blue,2024-09-27T09:00:31.315101,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.95,41.24745762711864,-0.1,Blue,2024-09-27T09:00:31.401108,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,14.816666666666666,48.46029246344207,-2.5166666666666666,Blue,2024-09-27T09:00:31.518149,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.6,45.2093023255814,-1.0,Blue,2024-09-27T09:00:31.639037,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.533333333333333,43.893577981651376,-0.4166666666666667,Blue,2024-09-27T09:00:31.729392,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.733333333333333,40.47172774869111,-0.36666666666666664,Blue,2024-09-27T09:00:31.808057,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.55,46.656573705179284,-1.8166666666666667,Blue,2024-09-27T09:00:31.903451,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.15,49.59014778325123,-1.15,Blue,2024-09-27T09:00:32.014274,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.666666666666666,55.383428571428574,-1.9833333333333334,Blue,2024-09-27T09:00:32.113321,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.916666666666666,47.09403141361257,-0.9666666666666667,Blue,2024-09-27T09:00:32.220821,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.85,77.70632911392406,-1.4666666666666666,Blue,2024-09-27T09:00:32.330283,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.9,45.453061224489794,0.06666666666666667,Blue,2024-09-27T09:00:32.434037,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.616666666666667,46.65377176015474,-0.95,Blue,2024-09-27T09:00:32.527930,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-27T09:00:32.747809,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.45,73.22130177514794,-0.38333333333333336,Blue,2024-09-27T09:00:32.844467,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.083333333333334,69.41296551724137,-1.5666666666666667,Blue,2024-09-27T09:00:32.918681,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.966666666666667,71.33557046979865,-0.2833333333333333,Blue,2024-09-27T09:00:33.016732,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,34.35,96.07336244541484,-5.933333333333334,Blue,2024-09-27T09:00:33.112865,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,22.866666666666667,82.65830903790086,-2.8,Blue,2024-09-27T09:00:33.234022,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.783333333333333,92.82950423216445,-0.8,Blue,2024-09-27T09:00:33.315726,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,24.983333333333334,75.41507671781187,-2.55,Blue,2024-09-27T09:00:33.405569,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,7.566666666666666,95.04317180616741,-0.9166666666666666,Blue,2024-09-27T09:00:33.500603,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.183333333333334,43.434623217922606,-0.75,Blue,2024-09-27T09:00:33.590068,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.1,41.49677419354839,-0.08333333333333333,Blue,2024-09-27T09:00:33.687981,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.683333333333334,107.34290171606864,-1.15,Blue,2024-09-27T09:00:33.777694,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,12.983333333333333,89.87984595635432,-2.6333333333333333,Blue,2024-09-27T09:00:33.884617,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,3.7,41.91891891891892,-0.65,Blue,2024-09-27T09:00:33.980916,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.6,66.50952380952381,-0.9666666666666667,Blue,2024-09-27T09:00:34.071429,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,12.416666666666666,86.96536912751678,-1.55,Blue,2024-09-27T09:00:34.161711,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,8.916666666666666,53.091588785046724,-1.75,Blue,2024-09-27T09:00:34.266414,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.6,86.96842105263158,-0.55,Blue,2024-09-27T09:00:34.371244,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.016666666666667,106.61119515885022,-1.1333333333333333,Blue,2024-09-27T09:00:34.410825,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,6.916666666666667,66.09253012048192,-0.6166666666666667,Blue,2024-09-27T09:00:34.508005,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,9.733333333333333,68.13493150684933,-0.8666666666666667,Blue,2024-09-27T09:00:34.601089,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,9.0,96.74666666666667,-2.0833333333333335,Blue,2024-09-27T09:00:34.702528,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,8.75,80.14628571428571,-1.2166666666666666,Blue,2024-09-27T09:00:34.805261,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,17.816666666666666,38.60991580916745,-0.8666666666666667,Blue,2024-09-27T09:00:34.926105,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,9.55,82.76858638743454,-1.1333333333333333,Blue,2024-09-27T09:00:35.027996,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,6.8,95.65588235294118,-1.65,Blue,2024-09-27T09:00:35.111634,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.683333333333333,39.07873303167421,-0.03333333333333333,Blue,2024-09-27T09:00:35.240859,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.745,16.366666666666667,65.05295315682281,-2.1,Blue,2024-09-27T09:00:35.371448,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.602,9.65,78.35440414507772,-3.466666666666667,Blue,2024-09-27T09:00:35.473132,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
East Ring Road,2.072,4.283333333333333,29.024124513618677,-1.1,Blue,2024-09-27T09:00:35.569281,"(24.6280957, 46.7049403)","(24.6217419, 46.716629)"
Western Ring Rd,28.072,19.033333333333335,88.49316987740805,-3.5166666666666666,Blue,2024-09-27T09:00:35.690972,"(24.7396285, 46.6461567)","(24.5622416, 46.5102615)"
Western Ring Rd,6.121,7.866666666666666,46.685593220338994,-1.5833333333333333,Blue,2024-09-27T09:00:35.801198,"(24.5622416, 46.5102615)","(24.5537007, 46.5576904)"
شارع المدينة المنورة,16.691,13.216666666666667,75.77250945775536,-3.1333333333333333,Blue,2024-09-27T09:00:35.895871,"(24.6637137, 46.7962236)","(24.5854047, 46.71030630000001)"
شارع المدينة المنورة,12.634,8.133333333333333,93.2016393442623,-1.4833333333333334,Blue,2024-09-27T09:00:35.986605,"(24.5854047, 46.71030630000001)","(24.5819658, 46.6013966)"
شارع المدينة المنورة,4.817,7.566666666666666,38.19647577092511,-2.2666666666666666,Blue,2024-09-27T09:00:36.083314,"(24.5819658, 46.6013966)","(24.5633024, 46.57389740000001)"
Al Thoumamah Rd,16.885,14.666666666666666,69.075,-0.95,Blue,2024-09-27T09:00:36.206630,"(24.9379168, 46.8154625)","(24.828963, 46.7249418)"
Al Thoumamah Rd,14.449,12.066666666666666,71.84585635359116,-2.3833333333333333,Blue,2024-09-27T09:00:36.313586,"(24.828963, 46.7249418)","(24.7478186, 46.64167339999999)"
Al Thoumamah Rd,2.366,3.75,37.856,-0.18333333333333332,Blue,2024-09-27T09:00:36.404881,"(24.7478186, 46.64167339999999)","(24.7457307, 46.6293496)"
الشرق,28.75,18.333333333333332,94.0909090909091,-2.066666666666667,Blue,2024-09-27T09:00:36.517407,"(24.9969248, 47.0206805)","(24.836873, 46.8415833)"
الشرق,3.416,4.75,43.14947368421053,-0.75,Blue,2024-09-27T09:00:36.621602,"(24.836873, 46.8415833)","(24.8396783, 46.8220465)"
طريق الجنادرية,13.418,17.883333333333333,45.01845293569431,-0.2833333333333333,Blue,2024-09-27T09:00:36.707379,"(24.9709788, 46.86326409999999)","(24.8839823, 46.8066945)"
طريق الجنادرية,11.404,10.466666666666667,65.3732484076433,-1.9333333333333333,Blue,2024-09-27T09:00:36.800831,"(24.8839823, 46.8066945)","(24.8095731, 46.8085962)"
طريق الجنادرية,5.586,4.95,67.7090909090909,-0.6166666666666667,Blue,2024-09-27T09:00:36.886385,"(24.8095731, 46.8085962)","(24.7796768, 46.78538289999999)"
وادي لبن,12.958,12.483333333333333,62.281441922563424,-1.8333333333333333,Blue,2024-09-27T09:00:36.985549,"(24.6413405, 46.6497779)","(24.6171257, 46.5705705)"
وادي لبن,13.787,18.083333333333332,45.744884792626735,-3.3666666666666667,Blue,2024-09-27T09:00:37.081618,"(24.6171257, 46.5705705)","(24.5678286, 46.4490594)"
King Abdullah Road,24.171,18.483333333333334,78.46311992786293,-2.7,Blue,2024-09-27T09:00:37.195589,"(24.8027161, 46.8191147)","(24.70444, 46.6237931)"
جبل طويق,22.467,15.833333333333334,85.13810526315788,-2.0,Blue,2024-09-27T09:00:37.293619,"(24.6110185, 46.5970853)","(24.5314227, 46.44674269999999)"
جبل طويق,2.031,2.933333333333333,41.54318181818182,-0.15,Blue,2024-09-27T09:00:37.373825,"(24.5314227, 46.44674269999999)","(24.5247086, 46.4398135)"
شارع وادي حنيفة,18.494,15.916666666666666,69.71560209424084,-4.1,Blue,2024-09-27T09:00:37.479086,"(24.7034634, 46.68073680000001)","(24.6250566, 46.5780259)"
شارع وادي حنيفة,6.064,5.883333333333334,61.842492917847025,-1.4166666666666667,Blue,2024-09-27T09:00:37.563435,"(24.6250566, 46.5780259)","(24.6000653, 46.6023406)"
خالد ابن الوليد,11.226,9.666666666666666,69.67862068965519,-1.95,Blue,2024-09-27T09:00:37.651414,"(24.8178307, 46.7892589)","(24.7924503, 46.7216817)"
خالد ابن الوليد,11.113,11.166666666666666,59.711641791044784,-2.25,Blue,2024-09-27T09:00:37.733725,"(24.7924503, 46.7216817)","(24.723778, 46.7334527)"
التخصصي,11.952,10.4,68.95384615384616,-2.566666666666667,Blue,2024-09-27T09:00:37.820183,"(24.7575596, 46.6895021)","(24.70444, 46.6237931)"
التخصصي,10.133,10.566666666666666,57.53753943217665,-1.6333333333333333,Blue,2024-09-27T09:00:37.915201,"(24.70444, 46.6237931)","(24.6460356, 46.635986)"
Al Abbas Al Rashidi St.,10.56,10.7,59.214953271028044,-1.2333333333333334,Blue,2024-09-27T09:00:38.002734,"(24.6923553, 46.84949959999999)","(24.632121, 46.8075755)"
Al Abbas Al Rashidi St.,10.676,10.65,60.14647887323943,-1.9833333333333334,Blue,2024-09-27T09:00:38.109838,"(24.632121, 46.8075755)","(24.5901945, 46.7873646)"
Imam Malik Road,10.762,12.516666666666667,51.58881491344873,-2.033333333333333,Blue,2024-09-27T09:00:38.270127,"(24.8504746, 46.717642)","(24.8387167, 46.6422775)"
Imam Malik Road,10.953,7.033333333333333,93.43791469194313,-1.0333333333333334,Blue,2024-09-27T09:00:38.390326,"(24.8387167, 46.6422775)","(24.7873741, 46.5671724)"
طريق الأمير سعد بن عبدالرحمن الأول,15.38,12.833333333333334,71.9064935064935,-2.5166666666666666,Blue,2024-09-27T09:00:38.486068,"(24.727747, 46.8699947)","(24.7173974, 46.7662467)"
طريق الأمير سعد بن عبدالرحمن الأول,5.948,5.466666666666667,65.28292682926829,-1.3833333333333333,Blue,2024-09-27T09:00:38.588449,"(24.7173974, 46.7662467)","(24.6790397, 46.7766463)"
Al Muhareb,11.769,11.15,63.33094170403587,-4.233333333333333,Blue,2024-09-27T09:00:38.684629,"(24.6432381, 46.7284768)","(24.5853478, 46.7106843)"
Al Muhareb,8.708,8.95,58.37765363128493,-0.45,Blue,2024-09-27T09:00:38.766634,"(24.5853478, 46.7106843)","(24.5476694, 46.6484324)"
Othman Bin Affan Road,13.485,9.566666666666666,84.57491289198606,-1.7,Blue,2024-09-27T09:00:38.855597,"(24.8541823, 46.7284922)","(24.7712434, 46.6712966)"
Othman Bin Affan Road,5.705,6.366666666666666,53.76439790575917,-1.3666666666666667,Blue,2024-09-27T09:00:38.939149,"(24.7712434, 46.6712966)","(24.7410192, 46.6707912)"
Al Nahdha road,10.89,10.25,63.74634146341464,-2.466666666666667,Blue,2024-09-27T09:00:39.028985,"(24.7084279, 46.7865834)","(24.6365608, 46.8002853)"
Al Nahdha road,8.132,6.983333333333333,69.86921241050119,-1.2666666666666666,Blue,2024-09-27T09:00:39.115208,"(24.6365608, 46.8002853)","(24.6250042, 46.74273400000001)"
طريق العروبة,15.799,13.966666666666667,67.87159904534606,-2.816666666666667,Blue,2024-09-27T09:00:39.224416,"(24.7435352, 46.7525945)","(24.70444, 46.6237931)"
طريق العروبة,2.665,3.3833333333333333,47.26108374384236,-0.2833333333333333,Blue,2024-09-27T09:00:39.336187,"(24.70444, 46.6237931)","(24.6894848, 46.6294245)"
Irqah,16.999,19.3,52.84663212435233,-1.9666666666666666,Blue,2024-09-27T09:00:39.474488,"(24.7092533, 46.6160959)","(24.6643553, 46.48941989999999)"
الضوء,11.805,10.166666666666666,69.6688524590164,0.26666666666666666,Blue,2024-09-27T09:00:39.570004,"(24.8929013, 46.8431832)","(24.8839823, 46.8066945)"
الضوء,5.724,4.85,70.81237113402062,-0.4,Blue,2024-09-27T09:00:39.665183,"(24.8839823, 46.8066945)","(24.8693908, 46.8040022)"
الدائري الثاني,14.018,13.383333333333333,62.84533001245331,-0.9833333333333333,Blue,2024-09-27T09:00:39.754228,"(24.7609512, 46.8691728)","(24.662313, 46.8567589)"
الدائري الثاني,2.949,3.35,52.81791044776119,0.016666666666666666,Blue,2024-09-27T09:00:39.839386,"(24.662313, 46.8567589)","(24.6525801, 46.8461368)"
المعيزيلة,12.541,12.25,61.42530612244898,-1.85,Blue,2024-09-27T09:00:39.928630,"(24.8192265, 46.8603337)","(24.7577306, 46.8310673)"
المعيزيلة,3.376,4.383333333333334,46.211406844106456,-0.95,Blue,2024-09-27T09:00:40.038410,"(24.7577306, 46.8310673)","(24.7645772, 46.8148493)"
رقوان,10.866,12.866666666666667,50.67046632124352,-2.3666666666666667,Blue,2024-09-27T09:00:40.137699,"(24.6273575, 46.61191650000001)","(24.5924335, 46.5453261)"
رقوان,4.435,7.25,36.703448275862065,-2.8333333333333335,Blue,2024-09-27T09:00:40.259766,"(24.5924335, 46.5453261)","(24.5761648, 46.5651915)"
Al Naqeel,11.868,10.083333333333334,70.6195041322314,-1.8166666666666667,Blue,2024-09-27T09:00:40.355654,"(24.7610771, 46.65565100000001)","(24.7357661, 46.5894917)"
Al Naqeel,2.707,4.133333333333334,39.29516129032257,-0.5666666666666667,Blue,2024-09-27T09:00:40.447997,"(24.7357661, 46.5894917)","(24.7245598, 46.5905193)"
Yanbu,13.647,15.666666666666666,52.26510638297872,-1.25,Blue,2024-09-27T09:00:40.546224,"(24.649823, 46.5868484)","(24.59217, 46.50841390000001)"
الحيازين,12.4,13.983333333333333,53.2061978545888,-3.6,Blue,2024-09-27T09:00:40.642283,"(24.768248, 46.779689)","(24.6909009, 46.7748545)"
عثمان الضبي,10.768,15.85,40.762145110410096,-3.7,Blue,2024-09-27T09:00:40.785033,"(24.6710541, 46.7077782)","(24.6083471, 46.6666318)"
ممر قرطبة,11.921,11.25,63.57866666666666,-1.5666666666666667,Blue,2024-09-27T09:00:40.882039,"(24.8375078, 46.7583126)","(24.7921872, 46.7123915)"
طريق الامير مساعد بن جلوي,10.489,9.216666666666667,68.28282097649186,-3.45,Blue,2024-09-27T09:00:40.993156,"(24.7117035, 46.7194247)","(24.6478383, 46.6914704)"
المهندس مساعد العنقري,10.399,11.333333333333334,55.05352941176469,-5.683333333333334,Blue,2024-09-27T09:00:41.092931,"(24.7260147, 46.6878901)","(24.7055096, 46.6753812)"
Dhalam,10.326,10.916666666666666,56.753587786259544,-1.4833333333333334,Blue,2024-09-27T09:00:41.199568,"(24.8319199, 46.6933066)","(24.8181882, 46.6670222)"
Al Jabour,8.517,13.466666666666667,37.9470297029703,-5.25,Blue,2024-09-27T09:00:41.311010,"(24.6443403, 46.7653899)","(24.6118611, 46.7158466)"
الملد,9.858,13.416666666666666,44.08546583850932,-1.9666666666666666,Blue,2024-09-27T09:00:41.410202,"(24.7980226, 46.58132759999999)","(24.754385, 46.5452765)"
سامطة,9.234,8.566666666666666,64.6739299610895,-1.3,Blue,2024-09-27T09:00:41.509593,"(24.7545502, 46.8359161)","(24.7384414, 46.7997081)"
FAHHAD MOHAMMAD AL JFIRAN STREET,8.936,13.683333333333334,39.18343483556638,-2.3,Blue,2024-09-27T09:00:41.596966,"(24.688903, 46.7639947)","(24.6853532, 46.7123488)"
Abi Hasain Al Hanbali,8.421,13.1,38.56946564885496,-2.3666666666666667,Blue,2024-09-27T09:00:41.697389,"(24.8021898, 46.66384100000001)","(24.7835076, 46.6237006)"
وادي الجناح,7.803,7.416666666666667,63.12539325842696,-0.8833333333333333,Blue,2024-09-27T09:00:41.795236,"(24.7058565, 46.6214901)","(24.7049319, 46.6187987)"
Prince Ahmed Bin Abdulaziz,7.899,10.35,45.79130434782609,-1.2666666666666666,Blue,2024-09-27T09:00:41.881752,"(24.6444269, 46.64639349999999)","(24.6300965, 46.5908374)"
الشعيرة,8.003,8.35,57.50658682634731,-2.216666666666667,Blue,2024-09-27T09:00:41.968659,"(24.7469056, 46.7478243)","(24.7443431, 46.71069019999999)"
Maan Bin Ows,5.405,7.3,44.42465753424658,0.26666666666666666,Blue,2024-09-27T09:00:42.051961,"(24.6319775, 46.8013918)","(24.6365608, 46.8002853)"
محمد بن البشير ألازهري,6.434,8.55,45.15087719298245,-0.4166666666666667,Blue,2024-09-27T09:00:42.134832,"(24.6758702, 46.8405904)","(24.6676627, 46.8161734)"
