road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.2,32.756249999999994,-1.2666666666666666,Blue,2024-09-27T10:00:30.392649,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.9,24.376271186440675,-1.0833333333333333,Blue,2024-09-27T10:00:30.515128,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.783333333333335,39.08251996450753,-1.1166666666666667,Blue,2024-09-27T10:00:30.620645,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.633333333333333,87.0492985971944,-1.6166666666666667,Blue,2024-09-27T10:00:30.766322,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.6,99.01132075471699,-1.6833333333333333,Blue,2024-09-27T10:00:30.868686,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.783333333333333,43.009691629955945,-0.31666666666666665,Blue,2024-09-27T10:00:31.011889,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.966666666666667,48.60375782881002,-0.5,Blue,2024-09-27T10:00:31.119835,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.083333333333334,99.3003550295858,-1.1,Blue,2024-09-27T10:00:31.174141,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,5.866666666666666,56.945454545454545,-0.5,Blue,2024-09-27T10:00:31.321317,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,26.766666666666666,52.24931506849316,-5.316666666666666,Blue,2024-09-27T10:00:31.438008,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.133333333333333,45.44671532846716,-0.4666666666666667,Blue,2024-09-27T10:00:31.532897,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.1,65.12432432432432,-1.55,Blue,2024-09-27T10:00:31.629458,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.816666666666667,43.199999999999996,-0.23333333333333334,Blue,2024-09-27T10:00:31.732243,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.333333333333334,46.82739130434782,-2.0,Blue,2024-09-27T10:00:31.847112,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.35,46.562874251497014,-1.25,Blue,2024-09-27T10:00:31.933367,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.25,44.76631578947369,-0.7,Blue,2024-09-27T10:00:32.019680,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.266666666666667,42.011413043478264,-0.8333333333333334,Blue,2024-09-27T10:00:32.097579,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.383333333333333,47.28452220726784,-1.9833333333333334,Blue,2024-09-27T10:00:32.284679,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.233333333333333,44.807715133531154,-0.06666666666666667,Blue,2024-09-27T10:00:32.413445,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.783333333333333,54.83507779349363,-1.8666666666666667,Blue,2024-09-27T10:00:32.512789,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.933333333333334,47.04476987447699,-0.95,Blue,2024-09-27T10:00:32.623005,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.583333333333334,79.49525179856114,-1.7333333333333334,Blue,2024-09-27T10:00:32.718994,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.55,48.94945054945055,-0.2833333333333333,Blue,2024-09-27T10:00:32.805336,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.3,48.433734939759034,-1.2666666666666666,Blue,2024-09-27T10:00:32.901026,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-27T10:00:32.999800,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.866666666666667,69.78045112781955,0.03333333333333333,Blue,2024-09-27T10:00:33.107071,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.283333333333333,68.28276797829037,-1.3666666666666667,Blue,2024-09-27T10:00:33.200587,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.816666666666666,73.55709342560554,-0.43333333333333335,Blue,2024-09-27T10:00:33.388038,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,34.53333333333333,95.56332046332048,-5.75,Blue,2024-09-27T10:00:33.486717,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.016666666666666,82.11962346125996,-2.65,Blue,2024-09-27T10:00:33.608327,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.516666666666667,94.66091245376077,-1.0666666666666667,Blue,2024-09-27T10:00:33.715899,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,25.583333333333332,73.64638436482085,-1.95,Blue,2024-09-27T10:00:33.819683,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,7.633333333333334,94.21310043668122,-0.85,Blue,2024-09-27T10:00:33.915817,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.216666666666667,43.25841784989858,-0.7166666666666667,Blue,2024-09-27T10:00:34.013862,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
