road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.55,33.90404312668463,-1.9166666666666667,Blue,2024-09-27T11:00:30.467056,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.933333333333334,24.239325842696626,-1.05,Blue,2024-09-27T11:00:30.568653,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.633333333333333,39.39713774597496,-1.2666666666666666,Blue,2024-09-27T11:00:30.730373,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.333333333333332,88.64816326530614,-1.9166666666666667,Blue,2024-09-27T11:00:30.859666,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.75,89.32085106382979,-0.5333333333333333,Blue,2024-09-27T11:00:30.968476,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.816666666666667,42.63406113537118,-0.2833333333333333,Blue,2024-09-27T11:00:31.080582,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.966666666666667,48.60375782881002,-0.5,Blue,2024-09-27T11:00:31.214443,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,13.883333333333333,100.73085234093637,-1.3,Blue,2024-09-27T11:00:31.280938,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.116666666666666,54.61798365122616,-0.25,Blue,2024-09-27T11:00:31.436775,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,28.066666666666666,60.605700712589076,-2.566666666666667,Blue,2024-09-27T11:00:31.543062,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.1,45.613186813186815,-0.5,Blue,2024-09-27T11:00:31.652917,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.083333333333334,65.22225563909774,-1.5666666666666667,Blue,2024-09-27T11:00:31.748125,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.716666666666667,44.790184049079755,-0.3333333333333333,Blue,2024-09-27T11:00:31.839982,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.45,46.473786407766994,-1.8833333333333333,Blue,2024-09-27T11:00:31.950567,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.35,46.562874251497014,-1.25,Blue,2024-09-27T11:00:32.056020,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.5,43.99448275862069,-0.45,Blue,2024-09-27T11:00:32.141583,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,11.883333333333333,43.36661991584853,-1.2166666666666666,Blue,2024-09-27T11:00:32.272218,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.433333333333334,47.09436997319035,-1.9333333333333333,Blue,2024-09-27T11:00:32.428510,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.516666666666667,47.861172741679866,-0.7833333333333333,Blue,2024-09-27T11:00:32.518866,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.733333333333333,55.06875000000001,-1.9166666666666667,Blue,2024-09-27T11:00:32.610588,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.933333333333334,47.04476987447699,-0.95,Blue,2024-09-27T11:00:32.723266,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.766666666666667,78.25665722379603,-1.55,Blue,2024-09-27T11:00:32.820998,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.6,48.41739130434783,-0.23333333333333334,Blue,2024-09-27T11:00:32.906498,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.366666666666667,48.047808764940235,-1.2,Blue,2024-09-27T11:00:32.993200,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-27T11:00:33.225790,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,7.983333333333333,77.50146137787056,-0.85,Blue,2024-09-27T11:00:33.370461,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.1,69.31735537190083,-1.55,Blue,2024-09-27T11:00:33.450307,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.116666666666666,69.24429967426711,-0.13333333333333333,Blue,2024-09-27T11:00:33.546066,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,34.3,96.2134110787172,-5.983333333333333,Blue,2024-09-27T11:00:33.629957,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.066666666666666,81.94161849710983,-2.6,Blue,2024-09-27T11:00:33.734219,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.45,88.54671280276817,-0.13333333333333333,Blue,2024-09-27T11:00:33.829159,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,25.15,74.91530815109344,-2.3833333333333333,Blue,2024-09-27T11:00:33.921801,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,7.683333333333334,93.6,-0.8,Blue,2024-09-27T11:00:34.011497,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.233333333333333,43.17085020242915,-0.7,Blue,2024-09-27T11:00:34.099850,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.05,42.17704918032788,-0.13333333333333333,Blue,2024-09-27T11:00:34.246526,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.316666666666666,111.15799676898224,-1.5166666666666666,Blue,2024-09-27T11:00:34.371930,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,13.333333333333334,87.5205,-2.283333333333333,Blue,2024-09-27T11:00:34.467868,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,3.783333333333333,40.99559471365639,-0.5666666666666667,Blue,2024-09-27T11:00:34.556688,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
