road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.85,33.36445623342174,-1.6166666666666667,Blue,2024-09-27T12:00:30.417376,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.85,24.584615384615386,-1.1333333333333333,Blue,2024-09-27T12:00:30.539198,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.766666666666666,39.11722912966252,-1.1333333333333333,Blue,2024-09-27T12:00:30.645137,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.416666666666668,88.19817258883248,-1.8333333333333333,Blue,2024-09-27T12:00:30.769953,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.75,97.62976744186047,-1.5333333333333334,Blue,2024-09-27T12:00:30.888190,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.8833333333333333,41.90214592274678,-0.21666666666666667,Blue,2024-09-27T12:00:31.012832,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.95,48.654545454545456,-0.5166666666666667,Blue,2024-09-27T12:00:31.113644,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,13.933333333333334,100.36937799043062,-1.25,Blue,2024-09-27T12:00:31.164820,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.05,55.2198347107438,-0.31666666666666665,Blue,2024-09-27T12:00:31.315175,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,25.933333333333334,54.0694087403599,-5.433333333333334,Blue,2024-09-27T12:00:31.410565,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.133333333333333,45.44671532846716,-0.4666666666666667,Blue,2024-09-27T12:00:31.500661,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.15,64.83228699551569,-1.5,Blue,2024-09-27T12:00:31.646322,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.6666666666666665,45.63,-0.38333333333333336,Blue,2024-09-27T12:00:31.729370,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,14.866666666666667,48.29730941704036,-2.466666666666667,Blue,2024-09-27T12:00:31.817405,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.766666666666667,44.349809885931556,-0.8333333333333334,Blue,2024-09-27T12:00:31.910877,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.383333333333333,44.351332560834294,-0.5666666666666667,Blue,2024-09-27T12:00:31.994280,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.083333333333334,42.6488275862069,-1.0166666666666666,Blue,2024-09-27T12:00:32.067275,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.466666666666667,46.96844919786096,-1.9,Blue,2024-09-27T12:00:32.160823,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.05,45.55113122171945,-0.25,Blue,2024-09-27T12:00:32.279481,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.75,54.990638297872344,-1.9,Blue,2024-09-27T12:00:32.383111,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.966666666666667,46.946555323590815,-0.9166666666666666,Blue,2024-09-27T12:00:32.467591,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.7,78.70256410256411,-1.6166666666666667,Blue,2024-09-27T12:00:32.559752,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.716666666666667,47.21978798586572,-0.11666666666666667,Blue,2024-09-27T12:00:32.635891,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.55,47.017543859649116,-1.0166666666666666,Blue,2024-09-27T12:00:32.734204,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
