road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.55,30.604379562043793,0.08333333333333333,Blue,2024-09-27T21:00:30.543900,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.816666666666666,24.725501432664753,-1.1666666666666667,Blue,2024-09-27T21:00:30.651773,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.133333333333333,38.36759581881533,-0.7666666666666667,Blue,2024-09-27T21:00:30.754170,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,18.433333333333334,78.5490054249548,0.18333333333333332,Blue,2024-09-27T21:00:30.866039,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.183333333333334,86.1439124487004,-0.1,Blue,2024-09-27T21:00:30.959029,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.4,36.981818181818184,0.3,Yellow,2024-09-27T21:00:31.073646,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.2,47.903703703703705,-0.26666666666666666,Blue,2024-09-27T21:00:31.164459,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,16.216666666666665,86.23720452209662,1.0333333333333334,Yellow,2024-09-27T21:00:31.214643,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.333333333333333,52.74947368421052,-0.03333333333333333,Blue,2024-09-27T21:00:31.316764,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,28.583333333333332,59.51020408163266,-2.05,Blue,2024-09-27T21:00:31.408846,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.483333333333333,43.769420035149395,-0.11666666666666667,Blue,2024-09-27T21:00:31.495257,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.75,61.52170212765957,-0.9,Blue,2024-09-27T21:00:31.617394,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
