road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.233333333333334,32.69948006932408,-1.2333333333333334,Blue,2024-09-27T22:00:30.171531,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.816666666666666,24.725501432664753,-1.1666666666666667,Blue,2024-09-27T22:00:30.278433,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.183333333333334,38.26759339704604,-0.7166666666666667,Blue,2024-09-27T22:00:30.387842,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,19.183333333333334,75.47801911381407,0.9333333333333333,Yellow,2024-09-27T22:00:30.505583,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,13.616666666666667,77.07613219094247,1.3333333333333333,Yellow,2024-09-27T22:00:30.598429,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.8666666666666667,42.08275862068966,-0.23333333333333334,Blue,2024-09-27T22:00:30.690057,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.183333333333334,47.95303810504634,-0.2833333333333333,Blue,2024-09-27T22:00:30.785792,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,17.35,80.60403458213256,2.1666666666666665,Yellow,2024-09-27T22:00:30.856126,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.35,52.61102362204725,-0.016666666666666666,Blue,2024-09-27T22:00:30.940660,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,28.066666666666666,60.605700712589076,-2.566666666666667,Blue,2024-09-27T22:00:31.025642,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.75,42.57230769230769,0.15,Blue,2024-09-27T22:00:31.120100,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.716666666666667,61.696728307254624,-0.9333333333333333,Blue,2024-09-27T22:00:31.199453,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.9166666666666665,41.71885714285714,-0.13333333333333333,Blue,2024-09-27T22:00:31.278038,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.133333333333333,47.446255506607926,-2.2,Blue,2024-09-27T22:00:31.363530,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.45,46.011834319526635,-1.15,Blue,2024-09-27T22:00:31.447272,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.05,45.403558718861206,-0.9,Blue,2024-09-27T22:00:31.526561,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.25,42.06857142857143,-0.85,Blue,2024-09-27T22:00:31.598818,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.6,46.471428571428575,-1.7666666666666666,Blue,2024-09-27T22:00:31.674963,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,7.693,11.65,39.620600858369095,-0.43333333333333335,Blue,2024-09-27T22:00:31.757330,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.583333333333334,51.34887417218543,-1.0666666666666667,Blue,2024-09-27T22:00:31.845435,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.1,46.557763975155275,-0.7833333333333333,Blue,2024-09-27T22:00:31.937807,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.966666666666667,76.94874651810585,-1.35,Blue,2024-09-27T22:00:32.018358,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
