road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.233333333333334,32.69948006932408,-1.2333333333333334,Blue,2024-09-27T23:00:29.813148,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.85,24.584615384615386,-1.1333333333333333,Blue,2024-09-27T23:00:29.932349,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.266666666666666,38.102076124567475,-0.6333333333333333,Blue,2024-09-27T23:00:30.030716,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.933333333333334,80.73903345724908,-0.31666666666666665,Blue,2024-09-27T23:00:30.145198,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.233333333333333,85.79182561307903,-0.05,Blue,2024-09-27T23:00:30.235342,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.8,42.82105263157896,-0.3,Blue,2024-09-27T23:00:30.339664,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.166666666666668,48.00247422680411,-0.3,Blue,2024-09-27T23:00:30.432622,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.916666666666666,87.86261780104712,0.7333333333333333,Blue,2024-09-27T23:00:30.499421,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.666666666666667,50.111999999999995,0.3,Blue,2024-09-27T23:00:30.591664,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,28.75,59.165217391304346,-1.8833333333333333,Blue,2024-09-27T23:00:30.685674,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.55,43.46387434554973,-0.05,Blue,2024-09-27T23:00:30.766462,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.433333333333334,63.225655976676386,-1.2166666666666666,Blue,2024-09-27T23:00:30.851037,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.85,42.694736842105264,-0.2,Blue,2024-09-27T23:00:30.922063,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.066666666666666,47.65619469026549,-2.2666666666666666,Blue,2024-09-27T23:00:31.014587,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.683333333333334,44.77543186180422,-0.9166666666666666,Blue,2024-09-27T23:00:31.094908,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.216666666666667,44.87127784290738,-0.7333333333333333,Blue,2024-09-27T23:00:31.169205,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.716666666666667,37.570352369380316,0.6166666666666667,Blue,2024-09-27T23:00:31.240484,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.083333333333334,44.75464968152866,-1.2833333333333334,Blue,2024-09-27T23:00:31.328389,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,7.693,10.933333333333334,42.21768292682926,-1.1333333333333333,Blue,2024-09-27T23:00:31.401321,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.2,52.96229508196722,-1.45,Blue,2024-09-27T23:00:31.499740,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.1,46.557763975155275,-0.7833333333333333,Blue,2024-09-27T23:00:31.577531,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.95,77.0560669456067,-1.3666666666666667,Blue,2024-09-27T23:00:31.683274,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.516666666666667,49.31070110701107,-0.31666666666666665,Blue,2024-09-27T23:00:31.763572,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.916666666666666,45.084112149532714,-0.65,Blue,2024-09-27T23:00:31.842943,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-27T23:00:31.925430,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.266666666666667,74.84516129032257,-0.5666666666666667,Blue,2024-09-27T23:00:32.010458,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.65,66.30355731225296,-1.0,Blue,2024-09-27T23:00:32.081751,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.283333333333333,67.05993690851736,0.03333333333333333,Blue,2024-09-27T23:00:32.161851,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,37.96666666666667,86.92151009657594,-2.316666666666667,Blue,2024-09-27T23:00:32.278630,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.683333333333334,79.80802251935256,-1.9833333333333334,Blue,2024-09-27T23:00:32.374169,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.933333333333334,91.83014354066985,-0.65,Blue,2024-09-27T23:00:32.446410,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.633333333333333,70.74292866082604,-0.9,Blue,2024-09-27T23:00:32.543894,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.733333333333333,82.34656488549619,0.25,Blue,2024-09-27T23:00:32.621346,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.466666666666667,41.98110236220473,-0.4666666666666667,Blue,2024-09-27T23:00:32.699814,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.0166666666666666,42.643093922651936,-0.16666666666666666,Blue,2024-09-27T23:00:32.779429,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
