road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.05,33.01417322834645,-1.4166666666666667,Blue,2024-09-28T00:00:29.930879,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.866666666666666,24.514772727272728,-1.1166666666666667,Blue,2024-09-28T00:00:30.043592,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.516666666666666,37.61400512382579,-0.38333333333333336,Blue,2024-09-28T00:00:30.155850,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.633333333333333,87.0492985971944,-1.6166666666666667,Blue,2024-09-28T00:00:30.262935,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.283333333333333,85.442605156038,0.0,Blue,2024-09-28T00:00:30.366199,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.6666666666666665,44.37818181818182,-0.43333333333333335,Blue,2024-09-28T00:00:30.459976,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.183333333333334,47.95303810504634,-0.2833333333333333,Blue,2024-09-28T00:00:30.542470,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.7,95.13469387755102,-0.48333333333333334,Blue,2024-09-28T00:00:30.599433,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.65,50.2375939849624,0.2833333333333333,Blue,2024-09-28T00:00:30.688428,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.783333333333335,57.112479015109116,-0.85,Blue,2024-09-28T00:00:30.785014,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.466666666666667,43.84647887323944,-0.13333333333333333,Blue,2024-09-28T00:00:30.882820,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.3,63.9716814159292,-1.35,Blue,2024-09-28T00:00:30.963781,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.9166666666666665,41.71885714285714,-0.13333333333333333,Blue,2024-09-28T00:00:31.036863,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.6,46.026923076923076,-1.7333333333333334,Blue,2024-09-28T00:00:31.141681,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.183333333333334,47.51120162932791,-1.4166666666666667,Blue,2024-09-28T00:00:31.224392,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.75,43.24881355932204,-0.2,Blue,2024-09-28T00:00:31.314473,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.033333333333333,39.54015345268542,-0.06666666666666667,Blue,2024-09-28T00:00:31.388338,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
