road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.333333333333332,34.30472727272728,-2.1333333333333333,Blue,2024-09-28T01:00:30.427771,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.733333333333333,25.08488372093023,-1.25,Blue,2024-09-28T01:00:30.544616,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.366666666666667,37.90533562822719,-0.5333333333333333,Blue,2024-09-28T01:00:30.642285,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.75,86.44298507462688,-1.5,Blue,2024-09-28T01:00:30.776229,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,17.35,60.491066282420746,5.066666666666666,Orange,2024-09-28T01:00:30.866312,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.816666666666667,42.63406113537118,-0.2833333333333333,Blue,2024-09-28T01:00:30.960758,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.25,47.75630769230769,-0.21666666666666667,Blue,2024-09-28T01:00:31.045633,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.466666666666667,96.66912442396314,-0.7166666666666667,Blue,2024-09-28T01:00:31.112851,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.466666666666667,51.66185567010309,0.1,Blue,2024-09-28T01:00:31.204360,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.75,57.1764705882353,-0.8833333333333333,Blue,2024-09-28T01:00:31.299371,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.383333333333333,44.23587921847247,-0.21666666666666667,Blue,2024-09-28T01:00:31.388005,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.433333333333334,63.225655976676386,-1.2166666666666666,Blue,2024-09-28T01:00:31.467816,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8333333333333335,42.94588235294117,-0.21666666666666667,Blue,2024-09-28T01:00:31.543854,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.183333333333334,44.36786817713697,-1.15,Blue,2024-09-28T01:00:31.628550,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.55,45.473684210526315,-1.05,Blue,2024-09-28T01:00:31.710802,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,22.169,20.016666666666666,66.45162364696087,0.5833333333333334,Blue,2024-09-28T01:00:31.782978,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.45,38.315241635687734,0.35,Blue,2024-09-28T01:00:31.856445,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.666666666666666,46.22684210526316,-1.7,Blue,2024-09-28T01:00:31.934819,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.866666666666667,46.31963190184049,-0.43333333333333335,Blue,2024-09-28T01:00:32.014668,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.216666666666667,52.89004092769441,-1.4333333333333333,Blue,2024-09-28T01:00:32.095630,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.216666666666665,46.222816032887984,-0.6666666666666666,Blue,2024-09-28T01:00:32.179721,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,14.283333333333333,64.4681446907818,0.9666666666666667,Yellow,2024-09-28T01:00:32.253206,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.7,47.38723404255319,-0.13333333333333333,Blue,2024-09-28T01:00:32.333573,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.833333333333334,45.509433962264154,-0.7333333333333333,Blue,2024-09-28T01:00:32.423918,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-28T01:00:32.508807,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.366666666666667,73.95059760956174,-0.4666666666666667,Blue,2024-09-28T01:00:32.587530,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.083333333333334,64.10751592356688,-0.5666666666666667,Blue,2024-09-28T01:00:32.651965,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.216666666666667,67.91693290734824,-0.03333333333333333,Blue,2024-09-28T01:00:32.726871,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,36.7,89.92152588555858,-3.5833333333333335,Blue,2024-09-28T01:00:32.809113,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
