road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.566666666666666,33.87360861759425,-1.9,Blue,2024-09-28T03:00:30.235913,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.766666666666667,24.939884393063583,-1.2166666666666666,Blue,2024-09-28T03:00:30.337745,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.2,38.234375,-0.7,Blue,2024-09-28T03:00:30.448267,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.783333333333335,86.27130089374378,-1.4666666666666666,Blue,2024-09-28T03:00:30.552966,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,22.79,19.483333333333334,70.18306244653549,-2.3,Blue,2024-09-28T03:00:30.675662,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.5833333333333335,45.41023255813953,-0.5166666666666667,Blue,2024-09-28T03:00:30.762938,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.133333333333333,48.10165289256198,-0.3333333333333333,Blue,2024-09-28T03:00:30.856935,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.8,94.49189189189188,-0.38333333333333336,Blue,2024-09-28T03:00:30.923441,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.283333333333333,53.169230769230765,-0.08333333333333333,Blue,2024-09-28T03:00:31.008859,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.033333333333335,58.58783008036739,-1.6,Blue,2024-09-28T03:00:31.092615,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.3,44.63225806451613,-0.3,Blue,2024-09-28T03:00:31.173275,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.8,61.261016949152534,-0.85,Blue,2024-09-28T03:00:31.268641,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8666666666666667,42.44651162790697,-0.18333333333333332,Blue,2024-09-28T03:00:31.346756,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
