road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.316666666666666,34.33594176524113,-2.15,Blue,2024-09-28T05:00:30.092851,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.0,23.969999999999995,-0.9833333333333333,Blue,2024-09-28T05:00:30.191624,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.316666666666666,38.003451251078516,-0.5833333333333334,Blue,2024-09-28T05:00:30.293466,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.416666666666668,88.19817258883248,-1.8333333333333333,Blue,2024-09-28T05:00:30.395982,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.133333333333333,94.26826347305389,-1.15,Blue,2024-09-28T05:00:30.486424,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.816666666666667,42.63406113537118,-0.2833333333333333,Blue,2024-09-28T05:00:30.588319,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.933333333333334,48.70543933054393,-0.5333333333333333,Blue,2024-09-28T05:00:30.684030,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.333333333333334,97.56837209302326,-0.85,Blue,2024-09-28T05:00:30.734989,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.0,55.67999999999999,-0.36666666666666664,Blue,2024-09-28T05:00:30.824622,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,28.283333333333335,49.44749558043606,-3.8,Blue,2024-09-28T05:00:30.897931,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.383333333333333,44.23587921847247,-0.21666666666666667,Blue,2024-09-28T05:00:30.984973,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.516666666666667,62.768162083936325,-1.1333333333333333,Blue,2024-09-28T05:00:31.063163,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.783333333333333,43.71736526946108,-0.26666666666666666,Blue,2024-09-28T05:00:31.138932,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.1,44.59751552795031,-1.2333333333333334,Blue,2024-09-28T05:00:31.228393,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
