road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.75,33.5424,-1.7166666666666666,Blue,2024-09-28T09:00:29.929913,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.933333333333334,24.239325842696626,-1.05,Blue,2024-09-28T09:00:30.054040,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.083333333333332,38.468122270742356,-0.8166666666666667,Blue,2024-09-28T09:00:30.155986,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.85,85.92997032640949,-1.4,Blue,2024-09-28T09:00:30.294046,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,22.79,20.65,66.2179176755448,-1.1333333333333333,Blue,2024-09-28T09:00:30.480713,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.966666666666667,41.0218487394958,-0.13333333333333333,Blue,2024-09-28T09:00:30.589106,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.05,48.35140186915887,-0.4166666666666667,Blue,2024-09-28T09:00:30.682507,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.45,96.78062283737025,-0.7333333333333333,Blue,2024-09-28T09:00:30.723027,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.25,53.452799999999996,-0.11666666666666667,Blue,2024-09-28T09:00:30.815531,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.7,50.62093862815885,-3.6666666666666665,Blue,2024-09-28T09:00:30.894915,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.233333333333333,44.95451263537907,-0.36666666666666664,Blue,2024-09-28T09:00:30.979804,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.733333333333333,61.60909090909092,-0.9166666666666666,Blue,2024-09-28T09:00:31.074170,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.716666666666667,44.790184049079755,-0.3333333333333333,Blue,2024-09-28T09:00:31.157137,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,22.683333333333334,31.654077883908894,5.35,Orange,2024-09-28T09:00:31.270864,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.65,40.29015544041451,0.05,Blue,2024-09-28T09:00:31.357195,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,22.169,19.116666666666667,69.58012205754142,-0.31666666666666665,Blue,2024-09-28T09:00:31.442180,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.05,39.4896551724138,-0.05,Blue,2024-09-28T09:00:31.531267,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,14.366666666666667,40.7568445475638,0.0,Blue,2024-09-28T09:00:31.616335,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.333333333333334,44.412352941176465,0.03333333333333333,Blue,2024-09-28T09:00:31.711170,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.2,52.96229508196722,-1.45,Blue,2024-09-28T09:00:31.797416,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.966666666666667,46.946555323590815,-0.9166666666666666,Blue,2024-09-28T09:00:31.888162,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.916666666666666,71.28929032258065,-0.4,Blue,2024-09-28T09:00:31.986526,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.666666666666667,47.72571428571429,-0.16666666666666666,Blue,2024-09-28T09:00:32.065326,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.75,45.94285714285714,-0.8166666666666667,Blue,2024-09-28T09:00:32.160742,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-28T09:00:32.306907,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.716666666666667,70.9812619502868,-0.11666666666666667,Blue,2024-09-28T09:00:32.415753,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.433333333333334,67.45898123324396,-1.2166666666666666,Blue,2024-09-28T09:00:32.496368,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.833333333333333,73.30344827586208,-0.4166666666666667,Blue,2024-09-28T09:00:32.579671,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,36.21666666666667,91.12158306488726,-4.066666666666666,Blue,2024-09-28T09:00:32.669470,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.216666666666665,81.41220387652548,-2.45,Blue,2024-09-28T09:00:32.763000,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.0,91.39285714285714,-0.5833333333333334,Blue,2024-09-28T09:00:32.845824,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,25.866666666666667,72.83969072164949,-1.6666666666666667,Blue,2024-09-28T09:00:32.934046,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.066666666666666,89.15206611570248,-0.4166666666666667,Blue,2024-09-28T09:00:33.017577,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.333333333333334,42.6528,-0.6,Blue,2024-09-28T09:00:33.101423,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.066666666666667,41.947826086956525,-0.11666666666666667,Blue,2024-09-28T09:00:33.227655,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,11.033333333333333,103.93776435045318,-0.8,Blue,2024-09-28T09:00:33.354545,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,13.733333333333333,84.971359223301,-1.8833333333333333,Blue,2024-09-28T09:00:33.437221,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.216666666666667,36.78260869565217,-0.13333333333333333,Blue,2024-09-28T09:00:33.526597,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.8,65.47031249999999,-0.7666666666666667,Blue,2024-09-28T09:00:33.616373,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,12.916666666666666,83.5989677419355,-1.05,Blue,2024-09-28T09:00:33.709994,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,9.95,47.57788944723618,-0.7166666666666667,Blue,2024-09-28T09:00:33.790250,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.7,85.83896103896105,-0.45,Blue,2024-09-28T09:00:33.862819,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.333333333333334,103.63235294117645,-0.8166666666666667,Blue,2024-09-28T09:00:33.918831,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,6.75,67.72444444444444,-0.7833333333333333,Blue,2024-09-28T09:00:34.009938,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,10.133333333333333,65.4453947368421,-0.4666666666666667,Blue,2024-09-28T09:00:34.094273,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,9.633333333333333,90.38615916955018,-1.45,Blue,2024-09-28T09:00:34.209144,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,9.2,76.22608695652175,-0.7666666666666667,Blue,2024-09-28T09:00:34.314659,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.033333333333335,38.14602587800369,-0.65,Blue,2024-09-28T09:00:34.412018,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,9.8,80.65714285714284,-0.8833333333333333,Blue,2024-09-28T09:00:34.497990,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,7.35,88.49795918367346,-1.1,Blue,2024-09-28T09:00:34.582019,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.5166666666666666,40.930805687203794,-0.2,Blue,2024-09-28T09:00:34.660480,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.745,17.033333333333335,62.50684931506849,-1.4333333333333333,Blue,2024-09-28T09:00:34.757164,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.602,11.116666666666667,68.01679160419789,-2.0,Blue,2024-09-28T09:00:34.849095,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
East Ring Road,2.072,4.916666666666667,25.28542372881356,-0.4666666666666667,Blue,2024-09-28T09:00:34.940977,"(24.6280957, 46.7049403)","(24.6217419, 46.716629)"
Western Ring Rd,28.072,19.683333333333334,85.57087214225233,-2.8666666666666667,Blue,2024-09-28T09:00:35.065079,"(24.7396285, 46.6461567)","(24.5622416, 46.5102615)"
Western Ring Rd,6.121,8.366666666666667,43.895617529880475,-1.0833333333333333,Blue,2024-09-28T09:00:35.176167,"(24.5622416, 46.5102615)","(24.5537007, 46.5576904)"
شارع المدينة المنورة,16.691,20.766666666666666,48.22439807383628,4.416666666666667,Orange,2024-09-28T09:00:35.298587,"(24.6637137, 46.7962236)","(24.5854047, 46.71030630000001)"
شارع المدينة المنورة,12.634,9.033333333333333,83.91586715867159,-0.5833333333333334,Blue,2024-09-28T09:00:35.394433,"(24.5854047, 46.71030630000001)","(24.5819658, 46.6013966)"
شارع المدينة المنورة,4.817,8.733333333333333,33.093893129771,-1.1,Blue,2024-09-28T09:00:35.476742,"(24.5819658, 46.6013966)","(24.5633024, 46.57389740000001)"
Al Thoumamah Rd,16.885,14.35,70.5993031358885,-1.2666666666666666,Blue,2024-09-28T09:00:35.566435,"(24.9379168, 46.8154625)","(24.828963, 46.7249418)"
Al Thoumamah Rd,14.449,12.483333333333333,69.44779706275034,-1.9666666666666666,Blue,2024-09-28T09:00:35.650593,"(24.828963, 46.7249418)","(24.7478186, 46.64167339999999)"
Al Thoumamah Rd,2.366,3.6666666666666665,38.71636363636364,-0.26666666666666666,Blue,2024-09-28T09:00:35.733252,"(24.7478186, 46.64167339999999)","(24.7457307, 46.6293496)"
الشرق,28.75,19.016666666666666,90.70990359333918,-1.3833333333333333,Blue,2024-09-28T09:00:35.818897,"(24.9969248, 47.0206805)","(24.836873, 46.8415833)"
الشرق,3.416,5.15,39.798058252427175,-0.35,Blue,2024-09-28T09:00:35.905645,"(24.836873, 46.8415833)","(24.8396783, 46.8220465)"
طريق الجنادرية,13.418,17.55,45.87350427350427,-0.6166666666666667,Blue,2024-09-28T09:00:35.983054,"(24.9709788, 46.86326409999999)","(24.8839823, 46.8066945)"
طريق الجنادرية,11.404,10.933333333333334,62.58292682926829,-1.4666666666666666,Blue,2024-09-28T09:00:36.061495,"(24.8839823, 46.8066945)","(24.8095731, 46.8085962)"
طريق الجنادرية,5.586,5.183333333333334,64.66109324758843,-0.38333333333333336,Blue,2024-09-28T09:00:36.153638,"(24.8095731, 46.8085962)","(24.7796768, 46.78538289999999)"
وادي لبن,12.958,12.516666666666667,62.1155792276964,-1.8,Blue,2024-09-28T09:00:36.265212,"(24.6413405, 46.6497779)","(24.6171257, 46.5705705)"
وادي لبن,13.787,18.183333333333334,45.49330889092575,-3.2666666666666666,Blue,2024-09-28T09:00:36.362868,"(24.6171257, 46.5705705)","(24.5678286, 46.4490594)"
King Abdullah Road,24.171,19.55,74.18209718670076,-1.6333333333333333,Blue,2024-09-28T09:00:36.470673,"(24.8027161, 46.8191147)","(24.70444, 46.6237931)"
