road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.933333333333334,33.21760563380282,-1.5333333333333334,Blue,2024-09-28T10:00:30.451284,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.883333333333334,24.445325779036825,-1.1,Blue,2024-09-28T10:00:30.556040,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.033333333333335,38.56917688266199,-0.8666666666666667,Blue,2024-09-28T10:00:30.673561,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.7,86.70179640718564,-1.55,Blue,2024-09-28T10:00:30.798603,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.283333333333333,93.01506646971936,-1.0,Blue,2024-09-28T10:00:30.898452,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.8,42.82105263157896,-0.3,Blue,2024-09-28T10:00:30.992504,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.05,48.35140186915887,-0.4166666666666667,Blue,2024-09-28T10:00:31.079113,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.4,97.11666666666666,-0.7833333333333333,Blue,2024-09-28T10:00:31.117447,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.166666666666667,54.17513513513513,-0.2,Blue,2024-09-28T10:00:31.260385,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.566666666666666,50.865779927448614,-3.8,Blue,2024-09-28T10:00:31.350499,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.5,43.69263157894737,-0.1,Blue,2024-09-28T10:00:31.438468,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.416666666666666,63.31795620437956,-1.2333333333333334,Blue,2024-09-28T10:00:31.527683,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.716666666666667,44.790184049079755,-0.3333333333333333,Blue,2024-09-28T10:00:31.611153,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.716666666666667,45.685259809119835,-1.6166666666666667,Blue,2024-09-28T10:00:31.708669,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.8,44.18181818181819,-0.8,Blue,2024-09-28T10:00:31.792372,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,22.169,18.966666666666665,70.1304042179262,-0.4666666666666667,Blue,2024-09-28T10:00:31.869785,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.783333333333333,40.313428943937424,-0.31666666666666665,Blue,2024-09-28T10:00:31.943105,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.4,43.69701492537314,-0.9666666666666667,Blue,2024-09-28T10:00:32.021396,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.783333333333333,42.71626591230551,0.48333333333333334,Blue,2024-09-28T10:00:32.106340,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.716666666666667,55.1470839260313,-1.9333333333333333,Blue,2024-09-28T10:00:32.226963,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.0,46.84875,-0.8833333333333333,Blue,2024-09-28T10:00:32.347558,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.616666666666667,72.98441215323645,-0.7,Blue,2024-09-28T10:00:32.431595,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.666666666666667,47.72571428571429,-0.16666666666666666,Blue,2024-09-28T10:00:32.511138,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.666666666666666,46.38461538461539,-0.9,Blue,2024-09-28T10:00:32.596298,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-28T10:00:32.816626,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.416666666666666,73.51128712871287,-0.4166666666666667,Blue,2024-09-28T10:00:32.943751,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.4,67.64032258064516,-1.25,Blue,2024-09-28T10:00:33.008544,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.033333333333333,70.3907284768212,-0.21666666666666667,Blue,2024-09-28T10:00:33.086440,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,35.68333333333333,92.48351237739375,-4.6,Blue,2024-09-28T10:00:33.190485,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.266666666666666,81.23724928366762,-2.4,Blue,2024-09-28T10:00:33.317369,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.65,93.73626373626372,-0.9333333333333333,Blue,2024-09-28T10:00:33.405393,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,25.766666666666666,73.12238033635188,-1.7666666666666666,Blue,2024-09-28T10:00:33.507176,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.0,89.89500000000001,-0.48333333333333334,Blue,2024-09-28T10:00:33.591082,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.233333333333333,43.17085020242915,-0.7,Blue,2024-09-28T10:00:33.676317,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.0833333333333335,41.72108108108108,-0.1,Blue,2024-09-28T10:00:33.760361,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
