road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.4,32.41855670103093,-1.0666666666666667,Blue,2024-09-28T13:00:30.293918,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.083333333333333,23.641643835616435,-0.9,Blue,2024-09-28T13:00:30.494029,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.95,38.73878627968338,-0.95,Blue,2024-09-28T13:00:30.605746,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.3,83.69479768786128,-0.95,Blue,2024-09-28T13:00:30.736699,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.583333333333334,90.60604316546763,-0.7,Blue,2024-09-28T13:00:30.834200,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.016666666666667,40.51120331950208,-0.08333333333333333,Blue,2024-09-28T13:00:30.931701,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.0,48.5025,-0.4666666666666667,Blue,2024-09-28T13:00:31.019705,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.1,92.61456953642384,-0.08333333333333333,Blue,2024-09-28T13:00:31.065752,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.133333333333334,54.4695652173913,-0.23333333333333334,Blue,2024-09-28T13:00:31.210720,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,27.95,60.85867620751342,-2.683333333333333,Blue,2024-09-28T13:00:31.319521,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.4,44.157446808510635,-0.2,Blue,2024-09-28T13:00:31.419781,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.8,61.261016949152534,-0.85,Blue,2024-09-28T13:00:31.512145,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7666666666666666,43.980722891566266,-0.2833333333333333,Blue,2024-09-28T13:00:31.594379,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,20.9,34.355023923444975,3.566666666666667,Orange,2024-09-28T13:00:31.693828,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.166666666666666,42.41454545454546,-0.43333333333333335,Blue,2024-09-28T13:00:31.789349,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,22.169,18.85,70.56445623342174,-0.5833333333333334,Blue,2024-09-28T13:00:31.883109,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.516666666666667,41.17230359520639,-0.5833333333333334,Blue,2024-09-28T13:00:31.965068,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,14.616666666666667,40.05974914481186,0.25,Blue,2024-09-28T13:00:32.073001,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.533333333333333,40.160106382978725,1.2333333333333334,Yellow,2024-09-28T13:00:32.198502,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.0,53.845,-1.65,Blue,2024-09-28T13:00:32.303639,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.016666666666666,46.800000000000004,-0.8666666666666667,Blue,2024-09-28T13:00:32.391189,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.666666666666666,72.69631578947369,-0.65,Blue,2024-09-28T13:00:32.491125,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
