road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.383333333333333,30.854619787408012,-0.08333333333333333,Blue,2024-09-28T14:00:30.285474,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.2,23.196774193548386,-0.7833333333333333,Blue,2024-09-28T14:00:30.432087,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.983333333333334,38.670763827919224,-0.9166666666666666,Blue,2024-09-28T14:00:30.570221,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,23.65,61.22283298097252,5.4,Orange,2024-09-28T14:00:30.687706,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.916666666666666,88.07160839160841,-0.36666666666666664,Blue,2024-09-28T14:00:30.798357,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,5.0,32.544000000000004,0.9,Orange,2024-09-28T14:00:30.897178,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.933333333333334,48.70543933054393,-0.5333333333333333,Blue,2024-09-28T14:00:30.994065,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,21.95,63.712072892938494,6.766666666666667,Orange,2024-09-28T14:00:31.069133,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.5,51.39692307692307,0.13333333333333333,Blue,2024-09-28T14:00:31.222556,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,28.05,49.98930481283423,-3.316666666666667,Blue,2024-09-28T14:00:31.364674,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.3,44.63225806451613,-0.3,Blue,2024-09-28T14:00:31.481211,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,18.083333333333332,39.97493087557604,5.433333333333334,Orange,2024-09-28T14:00:31.598807,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.75,44.24727272727273,-0.3,Blue,2024-09-28T14:00:31.676711,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,20.533333333333335,34.96850649350649,3.2,Yellow,2024-09-28T14:00:31.766608,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,10.1,38.495049504950494,0.5,Yellow,2024-09-28T14:00:31.854633,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,22.169,18.883333333333333,70.43989408649603,-0.55,Blue,2024-09-28T14:00:31.948702,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.683333333333334,40.63127463863338,-0.4166666666666667,Blue,2024-09-28T14:00:32.039747,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.474,14.716666666666667,63.0876557191393,-0.3,Blue,2024-09-28T14:00:32.128518,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,7.693,11.783333333333333,39.17227722772277,-0.2833333333333333,Blue,2024-09-28T14:00:32.295158,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,14.366666666666667,44.97494199535963,0.7166666666666667,Yellow,2024-09-28T14:00:32.466861,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.016666666666666,46.800000000000004,-0.8666666666666667,Blue,2024-09-28T14:00:32.559330,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.25,75.16897959183673,-1.0666666666666667,Blue,2024-09-28T14:00:32.646491,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.8,46.4,-0.03333333333333333,Blue,2024-09-28T14:00:32.729415,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.9,45.168539325842694,-0.6666666666666666,Blue,2024-09-28T14:00:32.815848,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-28T14:00:32.918287,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.15,75.91656441717791,-0.6833333333333333,Blue,2024-09-28T14:00:33.014007,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.016666666666667,69.79805825242717,-1.6333333333333333,Blue,2024-09-28T14:00:33.084866,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.15,68.79611650485437,-0.1,Blue,2024-09-28T14:00:33.210274,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,43.266666666666666,76.27395993836672,2.9833333333333334,Yellow,2024-09-28T14:00:33.324643,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,25.966666666666665,72.79024390243903,0.3,Blue,2024-09-28T14:00:33.470150,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
