road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.716666666666665,28.96024558710668,1.25,Yellow,2024-09-28T15:00:30.547407,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.233333333333333,23.07272727272727,-0.75,Blue,2024-09-28T15:00:30.684539,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.983333333333334,38.670763827919224,-0.9166666666666666,Blue,2024-09-28T15:00:30.788235,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,20.266666666666666,71.44342105263158,2.0166666666666666,Yellow,2024-09-28T15:00:30.903562,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,15.033333333333333,69.8128603104213,2.75,Orange,2024-09-28T15:00:31.014002,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,6.35,25.625196850393706,2.25,Red,2024-09-28T15:00:31.124345,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.0,48.5025,-0.4666666666666667,Blue,2024-09-28T15:00:31.263250,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,18.133333333333333,77.12205882352941,2.95,Yellow,2024-09-28T15:00:31.313654,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.45,51.795348837209296,0.08333333333333333,Blue,2024-09-28T15:00:31.426132,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,28.416666666666668,59.85923753665689,-2.216666666666667,Blue,2024-09-28T15:00:31.508632,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.45,43.923809523809524,-0.15,Blue,2024-09-28T15:00:31.653548,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,13.59,13.2,61.77272727272727,-0.8666666666666667,Blue,2024-09-28T15:00:31.753224,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8833333333333333,42.20115606936417,-0.16666666666666666,Blue,2024-09-28T15:00:31.879425,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,25.25,28.43643564356436,7.916666666666667,Orange,2024-09-28T15:00:31.964686,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
