road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.233333333333334,29.61946624803767,0.7666666666666667,Blue,2024-09-28T17:00:30.497141,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.183333333333334,23.259299191374662,-0.8,Blue,2024-09-28T17:00:30.618315,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.133333333333333,38.36759581881533,-0.7666666666666667,Blue,2024-09-28T17:00:30.732502,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.233333333333334,84.01856866537719,-1.0166666666666666,Blue,2024-09-28T17:00:30.838477,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.833333333333334,88.69183098591549,-0.45,Blue,2024-09-28T17:00:30.934058,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.783333333333333,34.018118466898954,0.6833333333333333,Yellow,2024-09-28T17:00:31.035533,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.25,47.75630769230769,-0.21666666666666667,Blue,2024-09-28T17:00:31.149834,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.816666666666666,94.38560179977503,-0.36666666666666664,Blue,2024-09-28T17:00:31.193907,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.883333333333334,48.534624697336554,0.5166666666666667,Yellow,2024-09-28T17:00:31.313022,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,28.816666666666666,59.02834008097167,-1.8166666666666667,Blue,2024-09-28T17:00:31.408643,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.65,43.013471502590676,0.05,Blue,2024-09-28T17:00:31.492165,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.866666666666667,60.916853932584274,-0.7833333333333333,Blue,2024-09-28T17:00:31.576200,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.933333333333333,41.481818181818184,-0.11666666666666667,Blue,2024-09-28T17:00:31.650036,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,23.55,30.489171974522293,6.216666666666667,Orange,2024-09-28T17:00:31.757171,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.716666666666667,40.01372212692968,0.11666666666666667,Blue,2024-09-28T17:00:31.841805,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,22.169,18.933333333333334,70.25387323943663,-0.5,Blue,2024-09-28T17:00:31.962103,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.0,39.64153846153846,-0.1,Blue,2024-09-28T17:00:32.037629,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.266666666666667,44.13618090452261,-1.1,Blue,2024-09-28T17:00:32.116508,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,13.766666666666667,36.562227602905566,2.466666666666667,Orange,2024-09-28T17:00:32.235399,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.383333333333333,52.178196500672954,-1.2666666666666666,Blue,2024-09-28T17:00:32.349244,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.966666666666667,46.946555323590815,-0.9166666666666666,Blue,2024-09-28T17:00:32.441340,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.85,77.70632911392406,-1.4666666666666666,Blue,2024-09-28T17:00:32.520116,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.766666666666667,46.72447552447553,-0.06666666666666667,Blue,2024-09-28T17:00:32.614264,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.166666666666666,43.85454545454546,-0.4,Blue,2024-09-28T17:00:32.698551,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-28T17:00:32.797329,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.516666666666667,72.64814090019568,-0.31666666666666665,Blue,2024-09-28T17:00:32.894921,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.666666666666666,66.21631578947368,-0.9833333333333333,Blue,2024-09-28T17:00:32.977701,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.366666666666666,66.01863354037268,0.11666666666666667,Blue,2024-09-28T17:00:33.067754,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,38.35,86.05267275097783,-1.9333333333333333,Blue,2024-09-28T17:00:33.193246,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,25.283333333333335,74.75754779169412,-0.38333333333333336,Blue,2024-09-28T17:00:33.327403,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.1,90.74468085106383,-0.48333333333333334,Blue,2024-09-28T17:00:33.430421,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.633333333333333,70.74292866082604,-0.9,Blue,2024-09-28T17:00:33.515627,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.716666666666667,82.50401529636711,0.23333333333333334,Blue,2024-09-28T17:00:33.617106,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.75,40.62171428571428,-0.18333333333333332,Blue,2024-09-28T17:00:33.699004,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.1333333333333333,41.05531914893618,-0.05,Blue,2024-09-28T17:00:33.787914,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.483333333333333,109.39077901430844,-1.35,Blue,2024-09-28T17:00:33.870940,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,18.916666666666668,61.688458149779734,3.3,Orange,2024-09-28T17:00:33.980265,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.933333333333334,31.43918918918919,0.5833333333333334,Yellow,2024-09-28T17:00:34.057728,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.6,66.50952380952381,-0.9666666666666667,Blue,2024-09-28T17:00:34.141158,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.0,83.06307692307692,-0.9666666666666667,Blue,2024-09-28T17:00:34.254067,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,12.418,11.266666666666667,66.13136094674556,0.016666666666666666,Blue,2024-09-28T17:00:34.342435,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.866666666666666,84.02033898305086,-0.2833333333333333,Blue,2024-09-28T17:00:34.427517,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,10.8,108.74999999999999,-1.35,Blue,2024-09-28T17:00:34.477151,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,6.883333333333334,66.41259079903148,-0.65,Blue,2024-09-28T17:00:34.557056,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,10.566666666666666,62.7615141955836,-0.03333333333333333,Blue,2024-09-28T17:00:34.648580,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,12.05,72.25892116182573,0.9666666666666667,Yellow,2024-09-28T17:00:34.738091,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,9.783333333333333,71.68109028960818,-0.18333333333333332,Blue,2024-09-28T17:00:34.829712,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.133333333333333,37.935661764705884,-0.55,Blue,2024-09-28T17:00:34.928989,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,9.9,79.84242424242423,-0.7833333333333333,Blue,2024-09-28T17:00:35.005842,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,9.5,68.46947368421053,1.05,Yellow,2024-09-28T17:00:35.088096,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.85,37.38701298701299,0.13333333333333333,Blue,2024-09-28T17:00:35.200868,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.851,21.65,49.4715935334873,2.5833333333333335,Yellow,2024-09-28T17:00:35.358685,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.602,19.966666666666665,37.86911519198665,6.85,Red,2024-09-28T17:00:35.456224,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
East Ring Road,2.072,7.616666666666666,16.32210065645514,2.2333333333333334,Orange,2024-09-28T17:00:35.560425,"(24.6280957, 46.7049403)","(24.6217419, 46.716629)"
Western Ring Rd,31.578,23.766666666666666,79.72005610098176,0.6166666666666667,Blue,2024-09-28T17:00:35.705687,"(24.7396285, 46.6461567)","(24.5622416, 46.5102615)"
Western Ring Rd,6.121,10.5,34.97714285714286,1.05,Yellow,2024-09-28T17:00:35.796463,"(24.5622416, 46.5102615)","(24.5537007, 46.5576904)"
شارع المدينة المنورة,15.191,32.0,28.483125,12.866666666666667,Red,2024-09-28T17:00:35.991567,"(24.6637137, 46.7962236)","(24.5854047, 46.71030630000001)"
شارع المدينة المنورة,12.634,10.066666666666666,75.30198675496689,0.45,Blue,2024-09-28T17:00:36.089564,"(24.5854047, 46.71030630000001)","(24.5819658, 46.6013966)"
شارع المدينة المنورة,4.817,13.433333333333334,21.5151364764268,3.6,Orange,2024-09-28T17:00:36.235726,"(24.5819658, 46.6013966)","(24.5633024, 46.57389740000001)"
Al Thoumamah Rd,16.885,15.133333333333333,66.94493392070486,-0.48333333333333334,Blue,2024-09-28T17:00:36.349846,"(24.9379168, 46.8154625)","(24.828963, 46.7249418)"
Al Thoumamah Rd,14.449,15.633333333333333,55.454584221748405,1.1833333333333333,Yellow,2024-09-28T17:00:36.435255,"(24.828963, 46.7249418)","(24.7478186, 46.64167339999999)"
Al Thoumamah Rd,2.366,3.783333333333333,37.522466960352425,-0.15,Blue,2024-09-28T17:00:36.532301,"(24.7478186, 46.64167339999999)","(24.7457307, 46.6293496)"
الشرق,28.75,18.5,93.24324324324324,-1.9,Blue,2024-09-28T17:00:36.624135,"(24.9969248, 47.0206805)","(24.836873, 46.8415833)"
الشرق,4.089,5.916666666666667,41.46591549295775,-0.43333333333333335,Blue,2024-09-28T17:00:36.724917,"(24.836873, 46.8415833)","(24.8396783, 46.8220465)"
طريق الجنادرية,13.418,17.966666666666665,44.80964749536179,-0.2,Blue,2024-09-28T17:00:36.803034,"(24.9709788, 46.86326409999999)","(24.8839823, 46.8066945)"
طريق الجنادرية,11.404,12.966666666666667,52.76915167095115,0.5666666666666667,Blue,2024-09-28T17:00:36.903390,"(24.8839823, 46.8066945)","(24.8095731, 46.8085962)"
طريق الجنادرية,5.586,5.566666666666666,60.208383233532935,0.0,Blue,2024-09-28T17:00:37.005906,"(24.8095731, 46.8085962)","(24.7796768, 46.78538289999999)"
وادي لبن,12.958,15.15,51.31881188118812,0.8333333333333334,Yellow,2024-09-28T17:00:37.087436,"(24.6413405, 46.6497779)","(24.6171257, 46.5705705)"
وادي لبن,13.787,18.133333333333333,45.618750000000006,-3.316666666666667,Blue,2024-09-28T17:00:37.223069,"(24.6171257, 46.5705705)","(24.5678286, 46.4490594)"
King Abdullah Road,24.181,25.066666666666666,57.88005319148937,3.45,Yellow,2024-09-28T17:00:37.414229,"(24.8027161, 46.8191147)","(24.70444, 46.6237931)"
جبل طويق,22.467,17.433333333333334,77.32428298279157,-0.4,Blue,2024-09-28T17:00:37.502341,"(24.6110185, 46.5970853)","(24.5314227, 46.44674269999999)"
جبل طويق,2.031,2.966666666666667,41.076404494382025,-0.11666666666666667,Blue,2024-09-28T17:00:37.578008,"(24.5314227, 46.44674269999999)","(24.5247086, 46.4398135)"
شارع وادي حنيفة,18.494,23.5,47.21872340425532,3.4833333333333334,Yellow,2024-09-28T17:00:37.685063,"(24.7034634, 46.68073680000001)","(24.6250566, 46.5780259)"
شارع وادي حنيفة,6.064,10.333333333333334,35.21032258064516,3.033333333333333,Orange,2024-09-28T17:00:37.767303,"(24.6250566, 46.5780259)","(24.6000653, 46.6023406)"
خالد ابن الوليد,11.226,22.15,30.409029345372463,10.533333333333333,Red,2024-09-28T17:00:37.879228,"(24.8178307, 46.7892589)","(24.7924503, 46.7216817)"
خالد ابن الوليد,11.101,13.966666666666667,47.6892601431981,-0.08333333333333333,Blue,2024-09-28T17:00:37.981049,"(24.7924503, 46.7216817)","(24.723778, 46.7334527)"
التخصصي,12.587,14.05,53.75231316725978,0.7333333333333333,Yellow,2024-09-28T17:00:38.070438,"(24.7575596, 46.6895021)","(24.70444, 46.6237931)"
التخصصي,10.133,11.35,53.566519823788546,-0.85,Blue,2024-09-28T17:00:38.153810,"(24.70444, 46.6237931)","(24.6460356, 46.635986)"
Al Abbas Al Rashidi St.,10.56,11.7,54.15384615384616,-0.23333333333333334,Blue,2024-09-28T17:00:38.282819,"(24.6923553, 46.84949959999999)","(24.632121, 46.8075755)"
Al Abbas Al Rashidi St.,10.676,19.25,33.275844155844155,6.616666666666666,Red,2024-09-28T17:00:38.429022,"(24.632121, 46.8075755)","(24.5901945, 46.7873646)"
Imam Malik Road,10.762,15.083333333333334,42.81016574585636,0.5333333333333333,Blue,2024-09-28T17:00:38.529562,"(24.8504746, 46.717642)","(24.8387167, 46.6422775)"
Imam Malik Road,10.953,7.983333333333333,82.31899791231731,-0.08333333333333333,Blue,2024-09-28T17:00:38.621759,"(24.8387167, 46.6422775)","(24.7873741, 46.5671724)"
طريق الأمير سعد بن عبدالرحمن الأول,15.38,18.416666666666668,50.10678733031674,3.066666666666667,Yellow,2024-09-28T17:00:38.707466,"(24.727747, 46.8699947)","(24.7173974, 46.7662467)"
طريق الأمير سعد بن عبدالرحمن الأول,5.948,7.716666666666667,46.24794816414687,0.8666666666666667,Yellow,2024-09-28T17:00:38.810945,"(24.7173974, 46.7662467)","(24.6790397, 46.7766463)"
Al Muhareb,10.493,27.95,22.525223613595706,5.2,Orange,2024-09-28T17:00:38.978447,"(24.6432381, 46.7284768)","(24.5853478, 46.7106843)"
Al Muhareb,8.708,12.633333333333333,41.357255936675465,3.2333333333333334,Orange,2024-09-28T17:00:39.093259,"(24.5853478, 46.7106843)","(24.5476694, 46.6484324)"
Othman Bin Affan Road,13.485,12.216666666666667,66.22919508867668,0.95,Yellow,2024-09-28T17:00:39.303398,"(24.8541823, 46.7284922)","(24.7712434, 46.6712966)"
Othman Bin Affan Road,5.705,7.8,43.88461538461539,0.06666666666666667,Blue,2024-09-28T17:00:39.419634,"(24.7712434, 46.6712966)","(24.7410192, 46.6707912)"
Al Nahdha road,10.89,12.5,52.272,-0.21666666666666667,Blue,2024-09-28T17:00:39.510021,"(24.7084279, 46.7865834)","(24.6365608, 46.8002853)"
Al Nahdha road,8.132,14.5,33.649655172413794,6.25,Red,2024-09-28T17:00:39.603769,"(24.6365608, 46.8002853)","(24.6250042, 46.74273400000001)"
طريق العروبة,16.002,17.75,54.091267605633796,0.7666666666666667,Blue,2024-09-28T17:00:39.701409,"(24.7435352, 46.7525945)","(24.70444, 46.6237931)"
طريق العروبة,2.665,3.75,42.64,0.08333333333333333,Blue,2024-09-28T17:00:39.783847,"(24.70444, 46.6237931)","(24.6894848, 46.6294245)"
Irqah,16.999,21.066666666666666,48.414873417721516,-0.2,Blue,2024-09-28T17:00:39.887267,"(24.7092533, 46.6160959)","(24.6643553, 46.48941989999999)"
الضوء,11.805,9.6,73.78125,-0.3,Blue,2024-09-28T17:00:39.986178,"(24.8929013, 46.8431832)","(24.8839823, 46.8066945)"
الضوء,5.724,5.183333333333334,66.25852090032154,-0.06666666666666667,Blue,2024-09-28T17:00:40.083499,"(24.8839823, 46.8066945)","(24.8693908, 46.8040022)"
الدائري الثاني,14.018,13.35,63.002247191011236,-1.0166666666666666,Blue,2024-09-28T17:00:40.211085,"(24.7609512, 46.8691728)","(24.662313, 46.8567589)"
الدائري الثاني,2.949,3.216666666666667,55.00725388601035,-0.11666666666666667,Blue,2024-09-28T17:00:40.311693,"(24.662313, 46.8567589)","(24.6525801, 46.8461368)"
المعيزيلة,12.541,13.3,56.575939849624056,-0.8,Blue,2024-09-28T17:00:40.401626,"(24.8192265, 46.8603337)","(24.7577306, 46.8310673)"
المعيزيلة,2.712,5.833333333333333,27.894857142857145,-0.03333333333333333,Blue,2024-09-28T17:00:40.497692,"(24.7577306, 46.8310673)","(24.7645772, 46.8148493)"
رقوان,10.866,15.6,41.79230769230769,0.36666666666666664,Blue,2024-09-28T17:00:40.583700,"(24.6273575, 46.61191650000001)","(24.5924335, 46.5453261)"
رقوان,4.435,10.466666666666667,25.42356687898089,0.38333333333333336,Blue,2024-09-28T17:00:40.672202,"(24.5924335, 46.5453261)","(24.5761648, 46.5651915)"
Al Naqeel,11.868,11.833333333333334,60.175774647887316,-0.06666666666666667,Blue,2024-09-28T17:00:40.758903,"(24.7610771, 46.65565100000001)","(24.7357661, 46.5894917)"
Al Naqeel,2.707,4.316666666666666,37.62625482625483,-0.38333333333333336,Blue,2024-09-28T17:00:40.840041,"(24.7357661, 46.5894917)","(24.7245598, 46.5905193)"
Yanbu,13.647,18.25,44.8668493150685,1.3333333333333333,Yellow,2024-09-28T17:00:40.937381,"(24.649823, 46.5868484)","(24.59217, 46.50841390000001)"
الحيازين,12.274,21.466666666666665,34.30621118012422,2.283333333333333,Yellow,2024-09-28T17:00:41.030489,"(24.768248, 46.779689)","(24.6909009, 46.7748545)"
عثمان الضبي,10.768,21.283333333333335,30.35614722004698,1.7333333333333334,Yellow,2024-09-28T17:00:41.161171,"(24.6710541, 46.7077782)","(24.6083471, 46.6666318)"
