road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.85,31.68362720403022,-0.6166666666666667,Blue,2024-09-28T20:00:30.852205,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.816666666666666,24.725501432664753,-1.1666666666666667,Blue,2024-09-28T20:00:30.957137,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.35,37.93798449612403,-0.55,Blue,2024-09-28T20:00:31.071701,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.9,85.67573964497043,-1.35,Blue,2024-09-28T20:00:31.184811,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.633333333333333,90.21661891117479,-0.65,Blue,2024-09-28T20:00:31.303781,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.033333333333333,40.343801652892566,-0.06666666666666667,Blue,2024-09-28T20:00:31.392896,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.216666666666665,47.85447070914697,-0.25,Blue,2024-09-28T20:00:31.476279,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.283333333333333,97.90991831971995,-0.9,Blue,2024-09-28T20:00:31.584778,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.316666666666666,52.888654353562,-0.05,Blue,2024-09-28T20:00:31.708771,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.316666666666666,58.021603183627064,-1.3166666666666667,Blue,2024-09-28T20:00:31.800996,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.5,43.69263157894737,-0.1,Blue,2024-09-28T20:00:31.892197,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.55,61.72890995260663,-0.9166666666666666,Blue,2024-09-28T20:00:31.971599,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.9166666666666665,41.71885714285714,-0.13333333333333333,Blue,2024-09-28T20:00:32.058205,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.466666666666667,46.42370689655173,-1.8666666666666667,Blue,2024-09-28T20:00:32.178849,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.816666666666666,44.09829867674859,-0.7833333333333333,Blue,2024-09-28T20:00:32.273702,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,22.169,18.95,70.19208443271769,-0.48333333333333334,Blue,2024-09-28T20:00:32.388929,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.4,41.55967741935484,-0.7,Blue,2024-09-28T20:00:32.467232,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.066666666666666,44.811734693877554,-1.3,Blue,2024-09-28T20:00:32.565701,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.333333333333334,44.412352941176465,0.03333333333333333,Blue,2024-09-28T20:00:32.660568,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.25,52.74612244897959,-1.4,Blue,2024-09-28T20:00:32.742039,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.983333333333333,46.89760166840459,-0.9,Blue,2024-09-28T20:00:32.834441,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.183333333333334,75.58030095759233,-1.1333333333333333,Blue,2024-09-28T20:00:32.923392,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.65,47.89677419354839,-0.18333333333333332,Blue,2024-09-28T20:00:33.013308,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.833333333333334,45.509433962264154,-0.7333333333333333,Blue,2024-09-28T20:00:33.125780,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-28T20:00:33.222658,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.633333333333333,71.66640926640927,-0.2,Blue,2024-09-28T20:00:33.332714,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.083333333333334,64.10751592356688,-0.5666666666666667,Blue,2024-09-28T20:00:33.405520,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.383333333333334,65.81424148606811,0.13333333333333333,Blue,2024-09-28T20:00:33.489947,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,35.55,92.83037974683546,-4.733333333333333,Blue,2024-09-28T20:00:33.575555,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.883333333333333,79.13970690858339,-1.7833333333333334,Blue,2024-09-28T20:00:33.672754,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
